infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;12;990;0.75;0.5454545454545454;0.75;0.631578947368421;0.75;8.0;11.0;6.0;12;8.0;0;8.0;0.0
dk;incremental;False;-1;2;23;979;0.6666666666666666;0.45454545454545453;0.6666666666666666;0.5405405405405405;0.6666666666666666;15.0;22.0;10.0;23;15.0;0;15.0;0.0
dk;incremental;False;-1;3;15;1235;0.7;0.21212121212121213;0.7;0.3255813953488372;0.7;10.0;33.0;7.0;15;10.0;0;10.0;0.0
dk;incremental;False;-1;4;13;988;0.45454545454545453;0.13513513513513514;0.45454545454545453;0.20833333333333334;0.45454545454545453;11.0;37.0;5.0;13;11.0;0;11.0;0.0
dk;incremental;False;-1;5;10;990;0.5555555555555556;0.11627906976744186;0.5555555555555556;0.19230769230769232;0.5555555555555556;9.0;43.0;5.0;10;9.0;0;9.0;0.0
dk;incremental;False;-1;6;16;484;0.875;0.13725490196078433;0.875;0.23728813559322037;0.875;8.0;51.0;7.0;16;8.0;0;8.0;0.0
dk;incremental;False;-1;7;213;885;0.75;0.27631578947368424;0.75;0.4038461538461538;0.75;28.0;76.0;21.0;39;28.0;0;28.0;0.0
dk;incremental;False;-1;8;30;472;0.6428571428571429;0.10465116279069768;0.6428571428571429;0.18000000000000002;0.6428571428571429;14.0;86.0;9.0;30;14.0;0;14.0;0.0
dk;incremental;False;-1;9;122;1215;0.7391304347826086;0.15454545454545454;0.7391304347826086;0.2556390977443609;0.7391304347826085;23.0;110.0;17.0;32;23.0;0;23.0;0.0
dk;incremental;False;-1;10;211;1184;0.8571428571428571;0.0594059405940594;0.8571428571428571;0.11111111111111112;0.8571428571428571;7.0;101.0;6.0;39;7.0;0;7.0;0.0
dk;incremental;False;-1;11;28;472;1.0;0.030612244897959183;1.0;0.05940594059405941;1.0;3.0;98.0;3.0;28;3.0;0;3.0;0.0
