infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;12;990;0.75;0.5454545454545454;0.75;0.631578947368421;0.75;8.0;11.0;6.0;12;8.0;0;8.0;0.0
dk;incremental;False;-1;2;23;979;0.6666666666666666;0.5882352941176471;0.6666666666666666;0.625;0.6666666666666666;15.0;17.0;10.0;23;15.0;0;15.0;0.0
dk;incremental;False;-1;3;15;1235;0.7;0.3333333333333333;0.7;0.45161290322580644;0.7;10.0;21.0;7.0;15;10.0;0;10.0;0.0
dk;incremental;False;-1;4;13;988;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.45454545454545453;11.0;11.0;5.0;13;11.0;0;11.0;0.0
dk;incremental;False;-1;5;10;990;0.5555555555555556;0.45454545454545453;0.5555555555555556;0.5;0.5555555555555556;9.0;11.0;5.0;10;9.0;0;9.0;0.0
dk;incremental;False;-1;6;16;484;0.875;0.5384615384615384;0.875;0.6666666666666667;0.875;8.0;13.0;7.0;16;8.0;0;8.0;0.0
dk;incremental;False;-1;7;207;876;0.75;0.65625;0.75;0.7;0.75;28.0;32.0;21.0;39;28.0;0;28.0;0.0
dk;incremental;False;-1;8;30;472;0.6428571428571429;0.2903225806451613;0.6428571428571429;0.4;0.6428571428571429;14.0;31.0;9.0;30;14.0;0;14.0;0.0
dk;incremental;False;-1;9;116;1201;0.7391304347826086;0.5151515151515151;0.7391304347826086;0.6071428571428571;0.7391304347826085;23.0;33.0;17.0;32;23.0;0;23.0;0.0
dk;incremental;False;-1;10;71;956;0.8571428571428571;0.75;0.8571428571428571;0.7999999999999999;0.8571428571428571;7.0;8.0;6.0;39;7.0;0;7.0;0.0
dk;incremental;False;-1;11;28;472;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;28;3.0;0;3.0;0.0
dk;incremental;False;-1;12;14;486;0.6923076923076923;0.6428571428571429;0.6923076923076923;0.6666666666666666;0.6923076923076923;13.0;14.0;9.0;14;13.0;0;13.0;0.0
dk;incremental;False;-1;13;343;921;0.040229885057471264;0.7777777777777778;0.7777777777777778;0.07650273224043715;0.07650273224043715;9.0;9.0;7.0;176;174.0;165.0;9.0;0.0
dk;incremental;False;-1;14;91;971;0.6666666666666666;0.2857142857142857;0.6666666666666666;0.4;0.6666666666666666;3.0;7.0;2.0;5;3.0;0;3.0;0.0
dk;incremental;False;-1;15;6;495;0.6;0.6;0.6;0.6;0.6;5.0;5.0;3.0;6;5.0;0;5.0;0.0
dk;incremental;False;-1;16;4;496;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;4;3.0;0;3.0;0.0
dk;incremental;False;-1;17;8;743;0.7142857142857143;0.5555555555555556;0.7142857142857143;0.6250000000000001;0.7142857142857143;7.0;9.0;5.0;8;7.0;0;7.0;0.0
dk;incremental;False;-1;18;9;742;0.5714285714285714;0.5714285714285714;0.5714285714285714;0.5714285714285714;0.5714285714285714;7.0;7.0;4.0;9;7.0;0;7.0;0.0
dk;incremental;False;-1;19;31;469;0.5666666666666667;0.5151515151515151;0.5666666666666667;0.5396825396825397;0.5666666666666667;30.0;33.0;17.0;31;30.0;0;30.0;0.0
dk;incremental;False;-1;20;13;489;0.5833333333333334;0.4666666666666667;0.5833333333333334;0.5185185185185186;0.5833333333333334;12.0;15.0;7.0;13;12.0;0;12.0;0.0
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;35;1969;0.6956521739130435;0.5714285714285714;0.6956521739130435;0.6274509803921569;0.6956521739130435;23.0;28.0;16.0;35;23.0;0;23.0;0.0
dk;incremental;False;-1;2;28;2473;0.6190476190476191;0.40625;0.6190476190476191;0.49056603773584906;0.6190476190476191;21.0;32.0;13.0;28;21.0;0;21.0;0.0
dk;incremental;False;-1;3;26;1974;0.6470588235294118;0.4583333333333333;0.6470588235294118;0.5365853658536585;0.6470588235294118;17.0;24.0;11.0;26;17.0;0;17.0;0.0
