infer_mode;features;train_using_all_batches;batch;featurizer;attribute;feature;weight
dk;incremental;False;1;OccurAttrFeaturizer;address;inspectionid;3.649
dk;incremental;False;1;OccurAttrFeaturizer;address;dbaname;2.018
dk;incremental;False;1;OccurAttrFeaturizer;address;akaname;1.736
dk;incremental;False;1;OccurAttrFeaturizer;address;license;3.573
dk;incremental;False;1;OccurAttrFeaturizer;address;facilitytype;0.099
dk;incremental;False;1;OccurAttrFeaturizer;address;risk;0.003
dk;incremental;False;1;OccurAttrFeaturizer;address;address;0.0
dk;incremental;False;1;OccurAttrFeaturizer;address;city;0.0
dk;incremental;False;1;OccurAttrFeaturizer;address;state;0.001
dk;incremental;False;1;OccurAttrFeaturizer;address;zip;0.073
dk;incremental;False;1;OccurAttrFeaturizer;address;inspectiondate;0.33
dk;incremental;False;1;OccurAttrFeaturizer;address;inspectiontype;0.047
dk;incremental;False;1;OccurAttrFeaturizer;address;results;0.002
dk;incremental;False;1;OccurAttrFeaturizer;address;latitude;0.147
dk;incremental;False;1;OccurAttrFeaturizer;address;longitude;0.147
dk;incremental;False;1;OccurAttrFeaturizer;city;inspectionid;0.479
dk;incremental;False;1;OccurAttrFeaturizer;city;dbaname;0.479
dk;incremental;False;1;OccurAttrFeaturizer;city;akaname;0.479
dk;incremental;False;1;OccurAttrFeaturizer;city;license;0.453
dk;incremental;False;1;OccurAttrFeaturizer;city;facilitytype;0.422
dk;incremental;False;1;OccurAttrFeaturizer;city;risk;0.416
dk;incremental;False;1;OccurAttrFeaturizer;city;address;0.454
dk;incremental;False;1;OccurAttrFeaturizer;city;city;-0.0
dk;incremental;False;1;OccurAttrFeaturizer;city;state;0.409
dk;incremental;False;1;OccurAttrFeaturizer;city;zip;0.443
dk;incremental;False;1;OccurAttrFeaturizer;city;inspectiondate;0.411
dk;incremental;False;1;OccurAttrFeaturizer;city;inspectiontype;0.409
dk;incremental;False;1;OccurAttrFeaturizer;city;results;0.408
dk;incremental;False;1;OccurAttrFeaturizer;city;latitude;0.43
dk;incremental;False;1;OccurAttrFeaturizer;city;longitude;0.43
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;inspectionid;3.235
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;dbaname;0.0
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;akaname;2.472
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;license;2.928
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;facilitytype;0.161
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;risk;0.006
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;address;2.195
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;city;0.002
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;state;0.0
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;zip;0.038
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;inspectiondate;0.239
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;inspectiontype;0.049
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;results;0.003
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;latitude;0.087
dk;incremental;False;1;OccurAttrFeaturizer;dbaname;longitude;0.087
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;inspectionid;1.679
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;dbaname;1.599
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;akaname;1.431
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;license;1.594
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;facilitytype;0.0
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;risk;0.317
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;address;1.452
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;city;0.244
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;state;0.243
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;zip;0.32
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;inspectiondate;0.389
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;inspectiontype;0.316
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;results;0.25
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;latitude;0.347
dk;incremental;False;1;OccurAttrFeaturizer;facilitytype;longitude;0.347
dk;incremental;False;1;OccurAttrFeaturizer;zip;inspectionid;1.512
dk;incremental;False;1;OccurAttrFeaturizer;zip;dbaname;1.071
dk;incremental;False;1;OccurAttrFeaturizer;zip;akaname;0.996
dk;incremental;False;1;OccurAttrFeaturizer;zip;license;1.491
dk;incremental;False;1;OccurAttrFeaturizer;zip;facilitytype;0.059
dk;incremental;False;1;OccurAttrFeaturizer;zip;risk;-0.014
dk;incremental;False;1;OccurAttrFeaturizer;zip;address;1.506
dk;incremental;False;1;OccurAttrFeaturizer;zip;city;-0.015
dk;incremental;False;1;OccurAttrFeaturizer;zip;state;-0.016
dk;incremental;False;1;OccurAttrFeaturizer;zip;zip;-0.0
dk;incremental;False;1;OccurAttrFeaturizer;zip;inspectiondate;0.095
dk;incremental;False;1;OccurAttrFeaturizer;zip;inspectiontype;0.039
dk;incremental;False;1;OccurAttrFeaturizer;zip;results;-0.014
dk;incremental;False;1;OccurAttrFeaturizer;zip;latitude;0.759
dk;incremental;False;1;OccurAttrFeaturizer;zip;longitude;0.759
all;incremental;False;1;OccurAttrFeaturizer;address;inspectionid;3.7
all;incremental;False;1;OccurAttrFeaturizer;address;dbaname;1.984
all;incremental;False;1;OccurAttrFeaturizer;address;akaname;1.718
all;incremental;False;1;OccurAttrFeaturizer;address;license;3.563
all;incremental;False;1;OccurAttrFeaturizer;address;facilitytype;0.099
all;incremental;False;1;OccurAttrFeaturizer;address;risk;0.002
all;incremental;False;1;OccurAttrFeaturizer;address;address;0.0
all;incremental;False;1;OccurAttrFeaturizer;address;city;-0.001
all;incremental;False;1;OccurAttrFeaturizer;address;state;-0.0
all;incremental;False;1;OccurAttrFeaturizer;address;zip;0.066
all;incremental;False;1;OccurAttrFeaturizer;address;inspectiondate;0.333
all;incremental;False;1;OccurAttrFeaturizer;address;inspectiontype;0.047
