train_batch;infer_batch;tid;pred;truth;probs
1;48;2381;1;2;[[0.3338942229747772, 0.33389726281166077, 0.33220845460891724]]
1;85;4214;0;2;[[0.3377690017223358, 0.33776021003723145, 0.32447078824043274]]
2;46;2252;0;2;[0.3333446681499481, 0.33334410190582275, 0.3333112299442291]
2;46;2261;0;2;[0.3333446681499481, 0.33334410190582275, 0.3333112299442291]
2;48;2381;1;2;[[0.3333333730697632, 0.3333333730697632, 0.333333283662796]]
2;62;3099;1;2;[[0.3333440124988556, 0.3333446681499481, 0.3333113193511963]]
2;63;3115;1;2;[[0.33334413170814514, 0.3333446681499481, 0.33331120014190674]]
2;85;4214;1;2;[[0.33334457874298096, 0.33334457874298096, 0.3333108723163605]]
1;34;1650;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1651;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1652;0;1;[0.5090606212615967, 0.4909394383430481]
1;34;1653;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1654;0;1;[0.5090661644935608, 0.4909338653087616]
1;34;1655;0;1;[0.5086489915847778, 0.49135103821754456]
1;34;1656;0;1;[0.5086489915847778, 0.49135103821754456]
1;34;1657;0;1;[0.5086489915847778, 0.49135103821754456]
1;34;1658;0;1;[0.509074866771698, 0.4909251928329468]
1;34;1659;0;1;[0.5086347460746765, 0.4913652837276459]
1;34;1660;0;1;[0.5086402893066406, 0.4913597106933594]
1;34;1661;0;1;[0.5086402893066406, 0.4913597106933594]
1;34;1662;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1663;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1664;0;1;[0.5090661644935608, 0.4909338653087616]
1;34;1665;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1666;0;1;[0.5086402893066406, 0.4913597106933594]
1;34;1667;0;1;[0.5086402893066406, 0.4913597106933594]
1;34;1668;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1669;0;1;[0.5090661644935608, 0.4909338653087616]
1;34;1670;0;1;[0.5090742111206055, 0.4909258484840393]
1;34;1671;0;1;[0.5086347460746765, 0.4913652837276459]
1;34;1672;0;1;[0.5086402893066406, 0.4913597106933594]
1;34;1673;0;1;[0.5086671710014343, 0.49133288860321045]
1;34;1674;0;1;[0.5086402893066406, 0.4913597106933594]
1;34;1675;0;1;[0.5086402893066406, 0.4913597106933594]
1;34;1676;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1677;0;1;[0.5090742111206055, 0.4909258484840393]
1;34;1678;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1679;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1680;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1681;0;1;[0.508651614189148, 0.4913484454154968]
1;34;1682;0;1;[0.508651614189148, 0.4913484454154968]
1;34;1683;0;1;[0.508651614189148, 0.4913484454154968]
1;34;1684;0;1;[0.5086402893066406, 0.4913597106933594]
1;34;1685;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1686;0;1;[0.5086402893066406, 0.4913597106933594]
1;34;1687;0;1;[0.5086483359336853, 0.4913516938686371]
1;34;1688;0;1;[0.5086347460746765, 0.4913652837276459]
1;34;1689;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1690;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1691;0;1;[0.5090661644935608, 0.4909338355064392]
1;34;1692;0;1;[0.5086347460746765, 0.4913652837276459]
1;34;1693;0;1;[0.5086402893066406, 0.4913597106933594]
1;34;1694;0;1;[0.5086402893066406, 0.4913597106933594]
1;34;1695;0;1;[0.5090606212615967, 0.4909394681453705]
1;34;1696;0;1;[0.5090742111206055, 0.4909258484840393]
1;34;1698;0;1;[0.5086813569068909, 0.49131861329078674]
1;34;1699;0;1;[0.5086758136749268, 0.49132421612739563]
1;35;1700;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1701;0;1;[0.5086193084716797, 0.4913807511329651]
1;35;1702;0;1;[0.5090638399124146, 0.49093616008758545]
1;35;1703;0;1;[0.5107432007789612, 0.48925673961639404]
1;35;1704;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1705;0;1;[0.5090638399124146, 0.49093616008758545]
1;35;1706;0;1;[0.5086193084716797, 0.4913807511329651]
1;35;1707;0;1;[0.5086058974266052, 0.49139413237571716]
1;35;1709;0;1;[0.5086193084716797, 0.4913807511329651]
1;35;1710;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1711;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1712;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1713;0;1;[0.509060800075531, 0.49093925952911377]
1;35;1714;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1715;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1716;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1717;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1718;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1719;0;1;[0.5107432007789612, 0.48925673961639404]
1;35;1720;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1721;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1722;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1723;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1724;0;1;[0.5090638399124146, 0.49093616008758545]
1;35;1725;0;1;[0.509060800075531, 0.4909392297267914]
1;35;1726;0;1;[0.5090826749801636, 0.4909173548221588]
1;35;1727;0;1;[0.5090826749801636, 0.4909173548221588]
1;35;1728;0;1;[0.5086089372634888, 0.4913910925388336]
1;35;1729;0;1;[0.5086089372634888, 0.4913910925388336]
1;35;1730;0;1;[0.5086058974266052, 0.49139416217803955]
1;35;1731;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1732;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1733;0;1;[0.509060800075531, 0.4909392297267914]
1;35;1734;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1735;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1736;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1737;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1738;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1739;0;1;[0.5086089372634888, 0.4913910925388336]
1;35;1740;0;1;[0.5086193084716797, 0.4913807511329651]
1;35;1741;0;1;[0.5086193084716797, 0.4913807511329651]
1;35;1742;0;1;[0.5086058974266052, 0.49139413237571716]
1;35;1743;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1744;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1745;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1746;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1747;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1748;0;1;[0.5086089372634888, 0.49139106273651123]
1;35;1749;0;1;[0.5090638399124146, 0.49093616008758545]
1;36;1750;0;1;[0.5086791515350342, 0.49132075905799866]
1;36;1751;0;1;[0.5086791515350342, 0.49132075905799866]
1;36;1752;0;1;[0.5086791515350342, 0.49132075905799866]
1;36;1753;0;1;[0.508689284324646, 0.4913107454776764]
1;36;1754;0;1;[0.5090641379356384, 0.49093592166900635]
1;36;1755;0;1;[0.5090641379356384, 0.49093592166900635]
1;36;1756;0;1;[0.5090641379356384, 0.49093592166900635]
1;36;1757;0;1;[0.5086791515350342, 0.49132075905799866]
1;36;1758;0;1;[0.5086896419525146, 0.49131035804748535]
1;36;1759;0;1;[0.5090641379356384, 0.49093592166900635]
1;36;1760;0;1;[0.5086791515350342, 0.49132075905799866]
1;36;1761;0;1;[0.5086791515350342, 0.49132075905799866]
1;36;1762;0;1;[0.5086791515350342, 0.49132075905799866]
1;36;1763;0;1;[0.5086791515350342, 0.49132075905799866]
1;36;1764;0;1;[0.5086791515350342, 0.49132075905799866]
1;36;1765;0;1;[0.5086791515350342, 0.49132075905799866]
1;36;1766;0;1;[0.5086791515350342, 0.49132075905799866]
1;36;1767;0;1;[0.5090641379356384, 0.49093592166900635]
1;36;1768;0;1;[0.5086791515350342, 0.49132078886032104]
1;36;1769;0;1;[0.5086791515350342, 0.49132075905799866]
1;36;1770;0;1;[0.5086762309074402, 0.4913237392902374]
1;36;1771;0;1;[0.5090742111206055, 0.4909258484840393]
1;36;1772;0;1;[0.5090611577033997, 0.49093884229660034]
1;36;1773;0;1;[0.5090641379356384, 0.49093592166900635]
1;36;1774;0;1;[0.5090742111206055, 0.4909258484840393]
1;36;1775;0;1;[0.5090640783309937, 0.49093589186668396]
1;36;1776;0;1;[0.5090611577033997, 0.49093884229660034]
1;36;1777;0;1;[0.5090611577033997, 0.49093884229660034]
1;36;1778;0;1;[0.5090659856796265, 0.49093398451805115]
1;36;1779;0;1;[0.5090641379356384, 0.49093592166900635]
1;36;1780;0;1;[0.5090611577033997, 0.49093884229660034]
1;36;1781;0;1;[0.5090611577033997, 0.49093884229660034]
1;36;1782;0;1;[0.5090611577033997, 0.49093884229660034]
1;36;1783;0;1;[0.5090640783309937, 0.49093589186668396]
1;36;1784;0;1;[0.5090517401695251, 0.49094825983047485]
1;36;1785;0;1;[0.5090742111206055, 0.4909258484840393]
1;36;1786;0;1;[0.5090641379356384, 0.49093592166900635]
1;36;1787;0;1;[0.5090611577033997, 0.49093884229660034]
1;36;1788;0;1;[0.5090665221214294, 0.49093347787857056]
1;36;1789;0;1;[0.5090695023536682, 0.49093055725097656]
1;36;1790;0;1;[0.5090695023536682, 0.49093055725097656]
1;36;1791;0;1;[0.5090641379356384, 0.49093592166900635]
1;36;1792;0;1;[0.5090611577033997, 0.49093884229660034]
1;36;1793;0;1;[0.5090742111206055, 0.4909258484840393]
1;36;1794;0;1;[0.5090802311897278, 0.49091973900794983]
1;36;1795;0;1;[0.5090903043746948, 0.4909096658229828]
1;36;1796;0;1;[0.5090611577033997, 0.49093884229660034]
1;36;1797;0;1;[0.5090641379356384, 0.49093592166900635]
1;36;1798;0;1;[0.5090641379356384, 0.49093592166900635]
1;36;1799;0;1;[0.5090641379356384, 0.49093592166900635]
1;37;1800;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1801;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1802;0;1;[0.5090616345405579, 0.49093830585479736]
1;37;1803;0;1;[0.5090746283531189, 0.4909254014492035]
1;37;1804;0;1;[0.509071946144104, 0.4909280836582184]
1;37;1805;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1806;0;1;[0.5090616941452026, 0.49093833565711975]
1;37;1807;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1808;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1809;0;1;[0.5090643167495728, 0.49093568325042725]
1;37;1810;0;1;[0.5090616345405579, 0.49093830585479736]
1;37;1811;0;1;[0.5090643167495728, 0.49093568325042725]
1;37;1812;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1813;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1814;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1815;0;1;[0.5090548992156982, 0.490945041179657]
1;37;1816;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1817;0;1;[0.5090522766113281, 0.4909477233886719]
1;37;1818;0;1;[0.5090643167495728, 0.49093568325042725]
1;37;1819;0;1;[0.5090616345405579, 0.49093830585479736]
1;37;1820;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1821;0;1;[0.5090643167495728, 0.49093568325042725]
1;37;1822;0;1;[0.5090616941452026, 0.49093833565711975]
1;37;1823;0;1;[0.5090742111206055, 0.4909258484840393]
1;37;1824;0;1;[0.5090742111206055, 0.4909258484840393]
1;37;1825;0;1;[0.5090898871421814, 0.4909100830554962]
1;37;1826;0;1;[0.5090898871421814, 0.4909100830554962]
1;37;1827;0;1;[0.5090898871421814, 0.4909100830554962]
1;37;1828;0;1;[0.5090898871421814, 0.4909100830554962]
1;37;1829;0;1;[0.5090898871421814, 0.49091005325317383]
1;37;1830;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1831;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1832;0;1;[0.5090742111206055, 0.4909258484840393]
1;37;1833;0;1;[0.5090522766113281, 0.49094775319099426]
1;37;1834;0;1;[0.5090944766998291, 0.4909055531024933]
1;37;1835;0;1;[0.5090944766998291, 0.4909055531024933]
1;37;1836;0;1;[0.5090944766998291, 0.4909055531024933]
1;37;1837;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1838;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1839;0;1;[0.5090643167495728, 0.49093568325042725]
1;37;1840;0;1;[0.5090522766113281, 0.49094775319099426]
1;37;1841;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1842;0;1;[0.5090616941452026, 0.49093833565711975]
1;37;1843;0;1;[0.5090704560279846, 0.4909295439720154]
1;37;1844;0;1;[0.5090677738189697, 0.49093225598335266]
1;37;1845;0;1;[0.5090643167495728, 0.49093565344810486]
1;37;1846;0;1;[0.5090616941452026, 0.49093833565711975]
1;37;1847;0;1;[0.5090616941452026, 0.49093833565711975]
1;37;1848;0;1;[0.5090522766113281, 0.49094775319099426]
1;37;1849;0;1;[0.5090548992156982, 0.490945041179657]
1;38;1850;0;1;[0.5090527534484863, 0.4909472167491913]
1;38;1851;0;1;[0.5090621709823608, 0.49093782901763916]
1;38;1852;0;1;[0.5090645551681519, 0.49093541502952576]
1;38;1853;0;1;[0.5090645551681519, 0.49093541502952576]
1;38;1854;0;1;[0.5090551376342773, 0.49094486236572266]
1;38;1855;0;1;[0.5090645551681519, 0.49093544483184814]
1;38;1856;0;1;[0.5090645551681519, 0.49093541502952576]
1;38;1857;0;1;[0.5090645551681519, 0.49093544483184814]
1;38;1858;0;1;[0.5090645551681519, 0.49093541502952576]
1;38;1859;0;1;[0.5090645551681519, 0.49093544483184814]
