infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;2;1;50;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;incremental;True;1;3;4;50;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
dk;incremental;True;1;4;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;5;3;50;0.3333333333333333;0.5;0.5;0.4;0.4;2;2;1;3;3;1;2;0
dk;incremental;True;1;6;6;50;0.5;0.75;0.75;0.6;0.6;4;4;3;6;6;2;4;0
dk;incremental;True;1;7;4;50;0.3333333333333333;0.25;0.25;0.28571428571428575;0.28571428571428575;4;4;1;3;3;0;3;0
dk;incremental;True;1;8;1;50;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;9;2;50;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;1;10;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;11;1;50;0.0;0.0;0.0;0;0;1;1;0;1;1;0;1;0
dk;incremental;True;1;12;2;50;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;1;13;6;50;0;0;0;0;0;6;6;0;0;0;0;0;0
dk;incremental;True;1;14;2;50;0;0;0;0;0;2;2;0;0;0;0;0;0
dk;incremental;True;1;15;5;50;0.6;0.6;0.6;0.6;0.6;5;5;3;5;5;0;5;0
dk;incremental;True;1;16;2;50;0.0;0.0;0.0;0;0;2;2;0;2;2;0;2;0
dk;incremental;True;1;17;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;18;3;50;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;3;3;1;3;3;0;3;0
dk;incremental;True;1;19;2;50;0.5;0.5;0.5;0.5;0.5;2;2;1;2;2;0;2;0
dk;incremental;True;1;20;2;50;0.0;0.0;0.0;0;0;1;1;0;2;2;1;1;0
dk;incremental;True;1;21;1;50;0.0;0.0;0.0;0;0;1;1;0;1;1;0;1;0
dk;incremental;True;1;22;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;23;5;50;1.0;0.6;0.6;0.7499999999999999;0.7499999999999999;5;5;3;3;3;0;3;0
dk;incremental;True;1;24;1;50;0.0;0.0;0.0;0;0;1;1;0;1;1;0;1;0
dk;incremental;True;1;25;1;50;0.0;0.0;0.0;0;0;1;1;0;1;1;0;1;0
dk;incremental;True;1;26;3;50;0.3333333333333333;0.5;0.5;0.4;0.4;2;2;1;3;3;1;2;0
dk;incremental;True;1;27;1;50;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;28;2;50;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;1;29;2;50;0;0;0;0;0;2;2;0;0;0;0;0;0
dk;incremental;True;1;30;4;50;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
dk;incremental;True;1;31;3;50;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;3;3;1;3;3;0;3;0
dk;incremental;True;1;32;1;50;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;33;8;50;0.625;1.0;1.0;0.7692307692307693;0.7692307692307693;5;5;5;8;8;3;5;0
dk;incremental;True;1;34;5;50;0.75;0.75;0.75;0.75;0.75;4;4;3;4;4;1;3;0
dk;incremental;True;1;35;10;50;0.7;0.7777777777777778;0.7777777777777778;0.7368421052631577;0.7368421052631577;9;9;7;10;10;1;9;0
dk;incremental;True;1;36;1;50;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;37;6;50;0.5;0.5;0.5;0.5;0.5;6;6;3;6;6;0;6;0
dk;incremental;True;1;38;5;50;0.6;0.75;0.75;0.6666666666666665;0.6666666666666665;4;4;3;5;5;1;4;0
dk;incremental;True;1;39;9;50;1.0;1.0;1.0;1.0;1.0;9;9;9;9;9;0;9;0
dk;incremental;True;1;40;6;50;0.8333333333333334;1.0;1.0;0.9090909090909091;0.9090909090909091;5;5;5;6;6;1;5;0
dk;incremental;True;1;41;6;50;0.6;0.5;0.5;0.5454545454545454;0.5454545454545454;6;6;3;5;5;0;5;0
dk;incremental;True;1;42;1;50;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;43;5;50;0.6;0.6;0.6;0.6;0.6;5;5;3;5;5;0;5;0
dk;incremental;True;1;44;8;50;0.875;0.875;0.875;0.875;0.875;8;8;7;8;8;0;8;0
dk;incremental;True;1;45;11;50;0.9090909090909091;1.0;1.0;0.9523809523809523;0.9523809523809523;10;10;10;11;11;1;10;0
dk;incremental;True;1;46;1;50;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;47;2;50;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;1;48;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;49;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;50;1;50;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;51;1;50;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;52;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;53;1;50;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;54;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;55;1;50;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;56;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;57;2;50;0.5;0.5;0.5;0.5;0.5;2;2;1;2;2;0;2;0
