train_batch;infer_batch;tid;pred;truth;probs
1;5;229;35;30;[0.015455315820872784, 0.01636800915002823, 0.015764866024255753, 0.01631452701985836, 0.01655689999461174, 0.01596483774483204, 0.016637487336993217, 0.015955181792378426, 0.01575430855154991, 0.016405824571847916, 0.016451826319098473, 0.01666833832859993, 0.016117820516228676, 0.016808129847049713, 0.016041958704590797, 0.01616075076162815, 0.015736695379018784, 0.015489990822970867, 0.015888681635260582, 0.01571863517165184, 0.01694255881011486, 0.016215112060308456, 0.015810467302799225, 0.01571340300142765, 0.01634800061583519, 0.015505877323448658, 0.015810467302799225, 0.015798456966876984, 0.015767905861139297, 0.0163258146494627, 0.06551159918308258, 0.03220394626259804, 0.01594582013785839, 0.015955181792378426, 0.01594126969575882, 0.10802564769983292, 0.015617653727531433, 0.015400417149066925, 0.01545048225671053, 0.01545048225671053, 0.015425428748130798, 0.01560757216066122, 0.01560757216066122, 0.015612454153597355, 0.01562771573662758, 0.015540746040642262, 0.01565309800207615, 0.01545048225671053, 0.015495548956096172, 0.015460462309420109, 0.01558226440101862, 0.01545048225671053, 0.015485570766031742, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;5;230;35;31;[0.015369698405265808, 0.016277335584163666, 0.01567753404378891, 0.016224149614572525, 0.01646517962217331, 0.015876397490501404, 0.01654531992971897, 0.015866795554757118, 0.015667034313082695, 0.01631494052708149, 0.01636068895459175, 0.016576001420617104, 0.01602853275835514, 0.016715018078684807, 0.01595309190452099, 0.016071224585175514, 0.015649517998099327, 0.015404180623590946, 0.015800662338733673, 0.015631558373570442, 0.016848701983690262, 0.016125285997986794, 0.015722882002592087, 0.01562635414302349, 0.01625743694603443, 0.015419978648424149, 0.015722882002592087, 0.015710938721895218, 0.015680557116866112, 0.01623537391424179, 0.02788112498819828, 0.07483278214931488, 0.015857484191656113, 0.015866795554757118, 0.01585295982658863, 0.107427217066288, 0.015531136654317379, 0.015315103344619274, 0.015364890918135643, 0.015364890918135643, 0.01533997617661953, 0.015521110035479069, 0.015521110035479069, 0.015525965951383114, 0.015541142784059048, 0.015454655513167381, 0.015566384419798851, 0.015364890918135643, 0.015409708023071289, 0.01537481602281332, 0.015495942905545235, 0.015364890918135643, 0.015399784781038761, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;13;621;52;46;[[0.014135933481156826, 0.01477427314966917, 0.014047245495021343, 0.014165481552481651, 0.014622601680457592, 0.014000074937939644, 0.014027872122824192, 0.01413433812558651, 0.014138278551399708, 0.014180481433868408, 0.014099312014877796, 0.014298714697360992, 0.014282959513366222, 0.013940230011940002, 0.014191005378961563, 0.01394064724445343, 0.013729837723076344, 0.01449827291071415, 0.014027472585439682, 0.014422056265175343, 0.014014686457812786, 0.013943801634013653, 0.014841723255813122, 0.01413201354444027, 0.014067034237086773, 0.014280341565608978, 0.014171711169183254, 0.013811931014060974, 0.013954606838524342, 0.013882667757570744, 0.014507940970361233, 0.014007019810378551, 0.014475206844508648, 0.01394000556319952, 0.014352589845657349, 0.014000074937939644, 0.014171711169183254, 0.014337434433400631, 0.014579109847545624, 0.013956611976027489, 0.013826652429997921, 0.014202159829437733, 0.013876806013286114, 0.014097792096436024, 0.014062546193599701, 0.014303560368716717, 0.06039698049426079, 0.014147669076919556, 0.014605185016989708, 0.03206465020775795, 0.014320995658636093, 0.013937191106379032, 0.06053035333752632, 0.013866148889064789, 0.013784954324364662, 0.013814175501465797, 0.013817601837217808, 0.013859612867236137, 0.013912095688283443, 0.013859612867236137, 0.013908647000789642, 0.013859612867236137, 0.013859612867236137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;14;654;62;60;[[0.011570578441023827, 0.011678839102387428, 0.011792192235589027, 0.01162412203848362, 0.011672436259686947, 0.011843380518257618, 0.011725874617695808, 0.011730499565601349, 0.011652816087007523, 0.011647299863398075, 0.011666104197502136, 0.011877943761646748, 0.01171713974326849, 0.011779485270380974, 0.011860894970595837, 0.012033370323479176, 0.01172191184014082, 0.011978997848927975, 0.011758905835449696, 0.01183076947927475, 0.011862886138260365, 0.011754126287996769, 0.01177948247641325, 0.011639725416898727, 0.01164626982063055, 0.011636561714112759, 0.011906713247299194, 0.011788198724389076, 0.01178068295121193, 0.011652511544525623, 0.011646109633147717, 0.011748629622161388, 0.011632458306849003, 0.011613795533776283, 0.012020478025078773, 0.011622064746916294, 0.011714433319866657, 0.011633413843810558, 0.011705233715474606, 0.011651482433080673, 0.01183678861707449, 0.011827729642391205, 0.011751100420951843, 0.011722302064299583, 0.011865303851664066, 0.011830450966954231, 0.011834614910185337, 0.01174982637166977, 0.012013464234769344, 0.011584389954805374, 0.011700321920216084, 0.011615991592407227, 0.011714678257703781, 0.011581646278500557, 0.024835292249917984, 0.011803786270320415, 0.011737718246877193, 0.011620493605732918, 0.01187898963689804, 0.01165186706930399, 0.04784426838159561, 0.011878017336130142, 0.05841068550944328, 0.011934011243283749, 0.011941539123654366, 0.011609463021159172, 0.011849711649119854, 0.011752604506909847, 0.011803382076323032, 0.011569554917514324, 0.011742339469492435, 0.011644617654383183, 0.011657563969492912, 0.011713243089616299, 0.011581646278500557, 0.011570578441023827, 0.011741146445274353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;16;762;100;95;[[0.006832218263298273, 0.007074082735925913, 0.0069028642028570175, 0.006852262187749147, 0.00695416983217001, 0.006884722504764795, 0.006878579501062632, 0.006889513693749905, 0.006963851395994425, 0.006937459576874971, 0.0070485989563167095, 0.0069699822925031185, 0.006911172065883875, 0.006932391319423914, 0.006902456283569336, 0.006895056460052729, 0.0068665738217532635, 0.006889912765473127, 0.006810063496232033, 0.00707413163036108, 0.006889584474265575, 0.007075054105371237, 0.006840977817773819, 0.006858770735561848, 0.006888038478791714, 0.006845162715762854, 0.007069941610097885, 0.006870036944746971, 0.006833216641098261, 0.006880272179841995, 0.006977647077292204, 0.006829712074249983, 0.006873143371194601, 0.006905695889145136, 0.006898409221321344, 0.007021358236670494, 0.006830066908150911, 0.007019227370619774, 0.006811708211898804, 0.00687962444499135, 0.006835910491645336, 0.00700887618586421, 0.006864989176392555, 0.0071827806532382965, 0.006993062328547239, 0.0068458071909844875, 0.006863604765385389, 0.006880272179841995, 0.007042198907583952, 0.006880272179841995, 0.00680137611925602, 0.007145272102206945, 0.006851617246866226, 0.006854824256151915, 0.007053916342556477, 0.006897846702486277, 0.007107201963663101, 0.007014984730631113, 0.007218427024781704, 0.0068067098036408424, 0.006940304767340422, 0.006895588710904121, 0.007089207414537668, 0.007039150223135948, 0.006839598063379526, 0.007080354727804661, 0.00693137850612402, 0.006912050768733025, 0.007080987561494112, 0.007134136278182268, 0.006879773456603289, 0.006934221833944321, 0.006846295204013586, 0.006819599308073521, 0.006971318274736404, 0.0068828449584543705, 0.006914885714650154, 0.006843535695225, 0.006844668183475733, 0.007009375840425491, 0.006873541511595249, 0.006890451535582542, 0.006845162715762854, 0.006914257537573576, 0.006827157456427813, 0.007043339312076569, 0.007041782606393099, 0.006826029624789953, 0.006837537046521902, 0.0069506908766925335, 0.006862470414489508, 0.006819846108555794, 0.006890723016113043, 0.0069612483493983746, 0.006849499884992838, 0.03759119287133217, 0.006965003442019224, 0.006861335132271051, 0.006819599308073521, 0.006843535695225, 0.05781130865216255, 0.006879133637994528, 0.006852309685200453, 0.006841225549578667, 0.0070558455772697926, 0.006824652664363384, 0.007076464593410492, 0.006838024593889713, 0.006818471010774374, 0.006818471010774374, 0.006823525298386812, 0.0068145496770739555, 0.006844031624495983, 0.006844031624495983, 0.006818471010774374, 0.00683733681216836, 0.006852309685200453, 0.006818471010774374, 0.006819846108555794, 0.006819846108555794, 0.006818471010774374, 0.006818471010774374, 0.0068145496770739555, 0.006823525298386812, 0.006818471010774374, 0.006865328177809715, 0.006818471010774374, 0.00683733681216836, 0.006856207270175219, 0.006818471010774374, 0.006818471010774374, 0.006818471010774374, 0.006844031624495983, 0.0, 0.0, 0.0]]
1;26;1287;17;19;[[0.02655228041112423, 0.026880301535129547, 0.028949027881026268, 0.02793271839618683, 0.027517832815647125, 0.027940742671489716, 0.027669962495565414, 0.02786305733025074, 0.028818469494581223, 0.028316138312220573, 0.02805987000465393, 0.0273383017629385, 0.02773972414433956, 0.02722146362066269, 0.028298698365688324, 0.028020475059747696, 0.028986074030399323, 0.2157706469297409, 0.030301721766591072, 0.1457938253879547, 0.026785872876644135, 0.026714468374848366, 0.027306251227855682, 0.026514235883951187, 0.026707839220762253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;29;1424;7;13;[[0.029961679130792618, 0.030030163004994392, 0.029575027525424957, 0.029920224100351334, 0.029645292088389397, 0.029697464779019356, 0.028890693560242653, 0.23080825805664062, 0.030131734907627106, 0.029293186962604523, 0.029901597648859024, 0.029838846996426582, 0.029451852664351463, 0.15129804611206055, 0.029214566573500633, 0.02933698333799839, 0.02887226641178131, 0.02938130497932434, 0.02866801805794239, 0.0291849747300148, 0.02894219383597374, 0.02923719398677349, 0.02871847152709961, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;30;1451;12;22;[0.02399647794663906, 0.023992400616407394, 0.023522069677710533, 0.024066690355539322, 0.02381623350083828, 0.024020519107580185, 0.02345464751124382, 0.023960035294294357, 0.023698868229985237, 0.023692676797509193, 0.023777136579155922, 0.02387063205242157, 0.10010209679603577, 0.02340860106050968, 0.023139240220189095, 0.023408813402056694, 0.023187443614006042, 0.02352210134267807, 0.02294204942882061, 0.023398948833346367, 0.023266073316335678, 0.02346852980554104, 0.09745380282402039, 0.02299957536160946, 0.023072499781847, 0.05208931863307953, 0.022851411253213882, 0.023573987185955048, 0.022975612431764603, 0.023141346871852875, 0.023069249466061592, 0.023445123806595802, 0.02353302389383316, 0.022813746705651283, 0.023269033059477806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;30;1459;12;25;[0.02347547747194767, 0.023613575845956802, 0.023356560617685318, 0.023738278076052666, 0.02375762350857258, 0.024108046665787697, 0.023521706461906433, 0.024409495294094086, 0.023511135950684547, 0.023416593670845032, 0.024041511118412018, 0.023846618831157684, 0.0988982543349266, 0.02347893826663494, 0.02347804605960846, 0.023252161219716072, 0.023404467850923538, 0.023501399904489517, 0.023330971598625183, 0.023265162482857704, 0.02326672151684761, 0.02352135255932808, 0.05187809094786644, 0.023343525826931, 0.02320009656250477, 0.09817928075790405, 0.022933393716812134, 0.02368888631463051, 0.0229992363601923, 0.023075414821505547, 0.023151563480496407, 0.023543689399957657, 0.023427223786711693, 0.022837648168206215, 0.023547833785414696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;32;1582;56;61;[[0.013064623810350895, 0.012823414988815784, 0.012647794559597969, 0.012905695475637913, 0.012734811753034592, 0.012930608354508877, 0.012575334869325161, 0.012785300612449646, 0.012820332311093807, 0.012721911072731018, 0.012746987864375114, 0.01265155803412199, 0.013088827952742577, 0.012596148997545242, 0.012632112018764019, 0.012696051970124245, 0.0125208655372262, 0.012608891353011131, 0.012494340538978577, 0.012661855667829514, 0.012649845331907272, 0.0126910749822855, 0.012658175081014633, 0.012546619400382042, 0.012571023777127266, 0.012664479203522205, 0.01253910455852747, 0.012684999033808708, 0.012544892728328705, 0.012561134062707424, 0.012563038617372513, 0.012651441618800163, 0.012708605267107487, 0.012512651272118092, 0.012819282710552216, 0.01274818368256092, 0.012505999766290188, 0.012522006407380104, 0.012779925018548965, 0.012686699628829956, 0.01267920807003975, 0.012545141391456127, 0.012600979767739773, 0.012775846756994724, 0.01267666183412075, 0.01255769096314907, 0.01258824486285448, 0.012646250426769257, 0.012508274987339973, 0.012679577805101871, 0.012617470696568489, 0.012788370251655579, 0.01288400124758482, 0.012848102487623692, 0.012766934931278229, 0.012573168613016605, 0.0914778783917427, 0.012673328630626202, 0.013097720220685005, 0.01259729266166687, 0.012555538676679134, 0.07140009850263596, 0.012585530988872051, 0.012631679885089397, 0.012858210131525993, 0.012822329998016357, 0.012685276567935944, 0.012562571093440056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;34;1668;6;8;[[0.04700491577386856, 0.04734794795513153, 0.052145808935165405, 0.046263210475444794, 0.05069325119256973, 0.045911822468042374, 0.36080068349838257, 0.046345993876457214, 0.2551714777946472, 0.04831487312912941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;38;1874;7;9;[[0.02907295525074005, 0.029333919286727905, 0.030760139226913452, 0.029312212020158768, 0.0292527936398983, 0.02990815043449402, 0.03043149784207344, 0.1391834169626236, 0.030700815841555595, 0.10182594507932663, 0.061751723289489746, 0.02945811115205288, 0.029005469754338264, 0.028833433985710144, 0.0292952973395586, 0.028682423755526543, 0.02887495420873165, 0.028858887031674385, 0.028893599286675453, 0.028705470263957977, 0.05123753845691681, 0.02898593619465828, 0.0298580601811409, 0.02936040423810482, 0.029352925717830658, 0.02906397171318531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
