train_batch;infer_batch;tid;pred;truth;probs
1;2;56;0;8;[[0.2698926329612732, 0.11702129244804382, 0.07124073058366776, 0.05380326509475708, 0.054119549691677094, 0.06185565143823624, 0.05960478261113167, 0.05434176325798035, 0.2581203281879425]]
1;3;115;2;3;[0.1261364370584488, 0.054107677191495895, 0.2374124974012375, 0.23016712069511414, 0.048885345458984375, 0.053330693393945694, 0.052916835993528366, 0.04934513568878174, 0.04931052774190903, 0.04858270660042763, 0.04980505257844925]
1;3;141;0;1;[0.2923180162906647, 0.2807575762271881, 0.05973947048187256, 0.044663384556770325, 0.043942470103502274, 0.048041392117738724, 0.04805181547999382, 0.044249970465898514, 0.04963361844420433, 0.04387521743774414, 0.04472707584500313]
1;4;155;0;1;[0.2702494263648987, 0.22792603075504303, 0.059373628348112106, 0.04845922067761421, 0.045754414051771164, 0.05482381954789162, 0.06560260057449341, 0.047211188822984695, 0.045246422290802, 0.04492443799972534, 0.04555760696530342, 0.04487132281064987]
1;4;176;0;4;[0.2929028570652008, 0.04705525562167168, 0.0529528446495533, 0.04321874678134918, 0.2576521635055542, 0.046766526997089386, 0.047029316425323486, 0.04402206838130951, 0.042190030217170715, 0.041889794170856476, 0.042480189353227615, 0.041840262711048126]
1;6;286;0;1;[[0.22708074748516083, 0.21243830025196075, 0.06409559398889542, 0.05200524255633354, 0.08258016407489777, 0.05542798340320587, 0.06467002630233765, 0.04866769164800644, 0.048509418964385986, 0.048841677606105804, 0.048021383583545685, 0.047661811113357544]]
1;7;337;0;12;[[0.2546147406101227, 0.04523614048957825, 0.05038681626319885, 0.04356619715690613, 0.04242702201008797, 0.046822041273117065, 0.050474997609853745, 0.044318776577711105, 0.04245784878730774, 0.043222568929195404, 0.04205544292926788, 0.0413120873272419, 0.2531053125858307]]
1;10;455;0;5;[[0.26127490401268005, 0.03956680744886398, 0.0417323037981987, 0.036506518721580505, 0.035364530980587006, 0.21696196496486664, 0.041950028389692307, 0.03790027275681496, 0.037515707314014435, 0.03641171380877495, 0.036202363669872284, 0.036387380212545395, 0.035652223974466324, 0.035427723079919815, 0.03579939156770706, 0.035346075892448425]]
1;11;526;0;1;[0.25801950693130493, 0.1601313352584839, 0.05339597538113594, 0.040223002433776855, 0.03805344179272652, 0.038562171161174774, 0.04439772292971611, 0.0571451298892498, 0.038122065365314484, 0.039735909551382065, 0.03852316737174988, 0.040914490818977356, 0.038669176399707794, 0.03805344179272652, 0.03810702636837959, 0.03794650733470917]
1;11;537;0;1;[0.26999467611312866, 0.23704788088798523, 0.03789003565907478, 0.03516974300146103, 0.03395775705575943, 0.03503302112221718, 0.03967302292585373, 0.036471281200647354, 0.034059494733810425, 0.03483191132545471, 0.03463355451822281, 0.034864794462919235, 0.034152306616306305, 0.03397407755255699, 0.03434377536177635, 0.03390265256166458]
1;14;668;0;1;[[0.29166290163993835, 0.15699097514152527, 0.041351720690727234, 0.03656638041138649, 0.03460012003779411, 0.0350026860833168, 0.03885990381240845, 0.049662526696920395, 0.03490472212433815, 0.03580683097243309, 0.03505010902881622, 0.03569716215133667, 0.035230088979005814, 0.03460012003779411, 0.03475702926516533, 0.03451615199446678, 0.03474052622914314]]
1;16;761;0;15;[0.23757612705230713, 0.03821469470858574, 0.03879915177822113, 0.035070277750492096, 0.03356694057583809, 0.033970218151807785, 0.03948699310421944, 0.03819183260202408, 0.03386508673429489, 0.034830525517463684, 0.034044038504362106, 0.03486556559801102, 0.0334402360022068, 0.03398369625210762, 0.03357817977666855, 0.19933538138866425, 0.03349292650818825, 0.03368810564279556]
1;16;790;0;11;[0.21437592804431915, 0.040987174957990646, 0.040314510464668274, 0.03565390035510063, 0.03393414989113808, 0.034284114837646484, 0.03806423395872116, 0.0409773550927639, 0.034203432500362396, 0.03500508517026901, 0.03432139381766319, 0.2134469747543335, 0.03381851315498352, 0.034483566880226135, 0.03393414989113808, 0.03427553176879883, 0.033860474824905396, 0.03405951336026192]
1;17;812;0;1;[[0.2331264317035675, 0.2299497127532959, 0.036901939660310745, 0.0334584079682827, 0.03230368345975876, 0.032898109406232834, 0.03926228731870651, 0.0363907627761364, 0.03248758986592293, 0.03283846750855446, 0.0328027680516243, 0.033210985362529755, 0.03226983919739723, 0.032456837594509125, 0.0323137603700161, 0.032666709274053574, 0.032279904931783676, 0.032381944358348846]]
1;19;910;0;1;[0.24439428746700287, 0.20922023057937622, 0.03763677179813385, 0.034074876457452774, 0.033034663647413254, 0.033519845455884933, 0.038307275623083115, 0.03726544231176376, 0.03317221999168396, 0.03349028900265694, 0.03348243236541748, 0.03386765345931053, 0.03297296538949013, 0.03314410522580147, 0.033012811094522476, 0.033346645534038544, 0.03298197314143181, 0.03307553008198738]
