infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;1;1;0;650;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;2;2;650;0;0.0;0.0;0;0;2;2;0;0;0;0;0;0
dk;incremental;True;1;3;4;650;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
dk;incremental;True;1;4;0;650;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;5;5;650;0.6;0.75;0.75;0.6666666666666665;0.6666666666666665;4;4;3;5;5;1;4;0
dk;incremental;True;1;6;6;650;0.5;0.75;0.75;0.6;0.6;4;4;3;6;6;2;4;0
dk;incremental;True;1;7;5;650;0.3333333333333333;0.2;0.2;0.25;0.25;5;5;1;3;3;0;3;0
dk;incremental;True;1;8;1;650;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;9;2;650;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;1;10;3;650;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;1;11;1;650;0.0;0.0;0.0;0;0;1;1;0;1;1;0;1;0
dk;incremental;True;1;12;2;650;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;1;13;9;650;1.0;0.2222222222222222;0.25;0.3636363636363636;0.4;8;9;2;2;2;0;2;0
dk;incremental;True;1;14;4;650;0;0.0;0.0;0;0;4;4;0;0;0;0;0;0
dk;incremental;True;1;15;5;650;0.6;0.6;0.6;0.6;0.6;5;5;3;5;5;0;5;0
dk;incremental;True;1;16;2;650;0.0;0.0;0.0;0;0;2;2;0;2;2;0;2;0
dk;incremental;True;1;17;2;650;0.5;0.5;0.5;0.5;0.5;2;2;1;2;2;0;2;0
dk;incremental;True;1;18;3;650;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;3;3;1;3;3;0;3;0
dk;incremental;True;1;19;2;650;0.5;0.5;0.5;0.5;0.5;2;2;1;2;2;0;2;0
dk;incremental;True;1;20;2;650;0.0;0.0;0.0;0;0;1;1;0;2;2;1;1;0
dk;incremental;True;1;21;3;650;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;3;3;1;3;3;0;3;0
dk;incremental;True;1;22;1;650;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;23;5;650;1.0;0.6;0.6;0.7499999999999999;0.7499999999999999;5;5;3;3;3;0;3;0
dk;incremental;True;1;24;1;650;0.0;0.0;0.0;0;0;1;1;0;1;1;0;1;0
dk;incremental;True;1;25;1;650;0.0;0.0;0.0;0;0;1;1;0;1;1;0;1;0
dk;incremental;True;1;26;3;650;0.3333333333333333;0.5;0.5;0.4;0.4;2;2;1;3;3;1;2;0
dk;incremental;True;1;27;1;650;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
