train_batch;infer_batch;tid;pred;truth;probs
1;3;139;1;0;[[0.44727689027786255, 0.4956074357032776, 0.0571155920624733]]
1;4;171;1;2;[0.09551390260457993, 0.4859801232814789, 0.418505996465683]
1;4;179;1;0;[0.35849666595458984, 0.5995553135871887, 0.04194801673293114]
1;4;190;1;0;[0.34178733825683594, 0.6189910769462585, 0.03922158479690552]
1;5;204;0;1;[0.4843292534351349, 0.46622365713119507, 0.049447063356637955]
1;5;215;1;0;[0.35071903467178345, 0.6089665293693542, 0.04031440243124962]
1;5;216;1;2;[0.07362645119428635, 0.49250105023384094, 0.4338724911212921]
1;5;217;1;0;[0.4408259689807892, 0.49544599652290344, 0.06372807174921036]
1;5;229;1;0;[0.4294808804988861, 0.529506504535675, 0.0410127229988575]
1;5;230;1;0;[0.3946337401866913, 0.5647647380828857, 0.040601495653390884]
1;6;256;1;0;[[0.4335489273071289, 0.5234717726707458, 0.04297929257154465]]
1;7;319;1;2;[0.11595981568098068, 0.6547497510910034, 0.22929047048091888]
1;7;332;1;2;[0.05063590407371521, 0.49622657895088196, 0.45313748717308044]
1;7;333;1;2;[0.05064857751131058, 0.49594846367836, 0.45340296626091003]
1;7;349;1;0;[0.30228784680366516, 0.6284120082855225, 0.06930012255907059]
1;10;456;2;0;[0.4216797947883606, 0.03771677985787392, 0.5018251538276672, 0.03877824544906616]
1;10;457;2;3;[0.07926256954669952, 0.04598838463425636, 0.5002486109733582, 0.37450048327445984]
1;10;459;2;0;[0.45093387365341187, 0.04053468257188797, 0.45935744047164917, 0.049174077808856964]
1;10;462;2;0;[0.378000408411026, 0.04004332050681114, 0.5333307981491089, 0.04862542822957039]
1;10;476;2;0;[0.4093010425567627, 0.040716834366321564, 0.49958163499832153, 0.050400491803884506]
1;11;515;2;0;[0.3534362316131592, 0.05548400431871414, 0.4115070104598999, 0.17957285046577454]
1;11;527;2;0;[0.42380520701408386, 0.038984812796115875, 0.493854820728302, 0.04335511103272438]
1;12;559;2;3;[0.051234662532806396, 0.04098851978778839, 0.469025582075119, 0.438751220703125]
1;12;569;2;0;[0.26767998933792114, 0.03731432929635048, 0.649233341217041, 0.0457722544670105]
1;12;570;2;0;[0.3936399519443512, 0.037820130586624146, 0.5287461876869202, 0.03979374095797539]
1;12;581;2;0;[0.43414396047592163, 0.03810413181781769, 0.4877503216266632, 0.040001560002565384]
1;12;583;2;0;[0.4506765604019165, 0.038261812180280685, 0.47062766551971436, 0.04043395072221756]
1;12;588;0;2;[0.47231021523475647, 0.03820527344942093, 0.44918134808540344, 0.040303196758031845]
1;13;600;2;0;[0.2945355176925659, 0.038726553320884705, 0.617817759513855, 0.04892014339566231]
1;13;634;2;0;[0.4377855956554413, 0.04096910357475281, 0.46689900755882263, 0.0543462410569191]
1;14;652;0;2;[0.5619282126426697, 0.03739839047193527, 0.3610744774341583, 0.03959890455007553]
1;14;663;0;2;[0.5203673839569092, 0.039675354957580566, 0.39305415749549866, 0.04690314829349518]
1;14;664;0;2;[0.5040844082832336, 0.039462611079216, 0.41087600588798523, 0.045576974749565125]
1;14;671;2;0;[0.3818241059780121, 0.03779105469584465, 0.540191113948822, 0.040193721652030945]
1;16;752;2;3;[0.06513142585754395, 0.04361039400100708, 0.5131642818450928, 0.3780938386917114]
1;16;762;2;0;[0.24812224507331848, 0.03573504462838173, 0.6746960282325745, 0.04144661873579025]
1;16;774;2;0;[0.42608827352523804, 0.04067283868789673, 0.4834747612476349, 0.04976414889097214]
1;16;777;0;3;[0.38564905524253845, 0.05689460411667824, 0.34893178939819336, 0.20852456986904144]
1;17;805;2;0;[0.4147050976753235, 0.038043901324272156, 0.5074142217636108, 0.039836809039115906]
1;17;824;2;0;[0.4412652254104614, 0.03816257044672966, 0.48059698939323425, 0.039975252002477646]
1;19;900;2;3;[0.08206653594970703, 0.046791985630989075, 0.48273584246635437, 0.38840562105178833]
