train_batch;infer_batch;tid;pred;truth;probs
1;8;374;0;2;[[0.5281022787094116, 0.04889867082238197, 0.4229990541934967]]
1;39;1939;1;2;[[0.19098900258541107, 0.7068428993225098, 0.10216814279556274]]
1;40;1951;1;2;[[0.07709668576717377, 0.8501876592636108, 0.07271570712327957]]
1;45;2239;1;0;[0.431087851524353, 0.5218855142593384, 0.04702655225992203]
1;45;2243;1;2;[0.07070838660001755, 0.8536957502365112, 0.07559587806463242]
1;47;2327;0;1;[[0.456486314535141, 0.4551897644996643, 0.08832397311925888]]
1;69;3443;1;2;[[0.2013147622346878, 0.7008429169654846, 0.09784238040447235]]
1;73;3636;1;0;[[0.32289206981658936, 0.6393214464187622, 0.03778650984168053]]
1;85;4214;0;2;[[0.4722317159175873, 0.08565419167280197, 0.44211411476135254]]
1;8;374;0;2;[[0.5281022787094116, 0.04889867082238197, 0.4229990541934967]]
1;39;1939;1;2;[[0.19098900258541107, 0.7068428993225098, 0.10216814279556274]]
1;40;1951;1;2;[[0.07709668576717377, 0.8501876592636108, 0.07271570712327957]]
1;45;2239;1;0;[0.431087851524353, 0.5218855142593384, 0.04702655225992203]
1;45;2243;1;2;[0.07070838660001755, 0.8536957502365112, 0.07559587806463242]
1;47;2327;0;1;[[0.456486314535141, 0.4551897644996643, 0.08832397311925888]]
1;69;3443;1;2;[[0.2013147622346878, 0.7008429169654846, 0.09784238040447235]]
1;8;374;0;2;[[0.57913738489151, 0.05083637684583664, 0.37002623081207275]]
1;73;3636;1;0;[[0.32289206981658936, 0.6393214464187622, 0.03778650984168053]]
1;85;4214;0;2;[[0.4722317159175873, 0.08565419167280197, 0.44211411476135254]]
1;36;1782;0;1;[[0.5329833030700684, 0.4145711362361908, 0.05244557559490204]]
1;39;1939;1;2;[[0.21279071271419525, 0.6905969381332397, 0.0966123715043068]]
1;40;1951;1;2;[[0.0914786234498024, 0.8344824910163879, 0.07403886318206787]]
1;45;2239;1;0;[0.4375588297843933, 0.521815836429596, 0.04062536731362343]
1;45;2243;1;2;[0.08365471661090851, 0.8433433175086975, 0.07300188392400742]
1;47;2327;0;1;[[0.500427782535553, 0.43837645649909973, 0.06119568645954132]]
1;69;3443;1;2;[[0.1982022374868393, 0.7220850586891174, 0.0797126293182373]]
1;73;3636;1;0;[[0.3596082627773285, 0.6091276407241821, 0.03126409277319908]]
1;85;4214;0;2;[[0.4803871512413025, 0.07630112767219543, 0.4433117210865021]]
2;39;1939;1;2;[[0.08288103342056274, 0.7858507037162781, 0.13126827776432037]]
2;40;1951;1;2;[[0.03712303191423416, 0.8702554106712341, 0.09262152761220932]]
2;45;2239;1;0;[0.35532858967781067, 0.6103758215904236, 0.03429557383060455]
