train_batch;infer_batch;tid;pred;truth;probs
1;17;839;6;7;[[0.04146170988678932, 0.04095057025551796, 0.04163144528865814, 0.04309799522161484, 0.04095057025551796, 0.04096393287181854, 0.08242061734199524, 0.061120253056287766, 0.059588637202978134, 0.04114794731140137, 0.07957632839679718, 0.04199962317943573, 0.041179537773132324, 0.0489543117582798, 0.04230094328522682, 0.043244313448667526, 0.04461536556482315, 0.04179855436086655, 0.04098200425505638, 0.04095057025551796, 0.04106489568948746]]
1;21;1010;9;10;[[0.02730426751077175, 0.027352439239621162, 0.026953045278787613, 0.027690567076206207, 0.02738632634282112, 0.030787033960223198, 0.026953045278787613, 0.027164822444319725, 0.027037302032113075, 0.042207270860672, 0.03964216634631157, 0.037069179117679596, 0.027057357132434845, 0.028928915038704872, 0.030677352100610733, 0.026953045278787613, 0.02692611888051033, 0.039840470999479294, 0.026969794183969498, 0.027003729715943336, 0.027040967717766762, 0.029656359925866127, 0.027144739404320717, 0.033206187188625336, 0.02837679721415043, 0.028501521795988083, 0.03135284036397934, 0.026953045278787613, 0.02692611888051033, 0.030355103313922882, 0.026969794183969498, 0.027645720168948174, 0.027013540267944336, 0.026953045278787613]]
1;48;2381;21;27;[[0.021901810541749, 0.02193678542971611, 0.025389747694134712, 0.023899778723716736, 0.021919231861829758, 0.021902864798903465, 0.02403196319937706, 0.026399463415145874, 0.023624293506145477, 0.025125393643975258, 0.02182692289352417, 0.022193029522895813, 0.02194773219525814, 0.022322650998830795, 0.025386694818735123, 0.024528663605451584, 0.02484600432217121, 0.024102743715047836, 0.022722158581018448, 0.022193407639861107, 0.02183879166841507, 0.029231039807200432, 0.02542632818222046, 0.021931586787104607, 0.025695260614156723, 0.021898644044995308, 0.02274949476122856, 0.022915756329894066, 0.021895859390497208, 0.02333144284784794, 0.022515108808875084, 0.022179747000336647, 0.021812351420521736, 0.022318823263049126, 0.02600434236228466, 0.02272636443376541, 0.02318320795893669, 0.022064873948693275, 0.022951047867536545, 0.022847618907690048, 0.021905306726694107, 0.022458516061306, 0.021917052567005157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;17;839;6;7;[[0.0408790297806263, 0.040472451597452164, 0.041121404618024826, 0.042413048446178436, 0.040472451597452164, 0.040587689727544785, 0.08413321524858475, 0.06349440664052963, 0.060492824763059616, 0.040629636496305466, 0.08285040408372879, 0.04130673035979271, 0.04065443575382233, 0.04877511411905289, 0.04212454333901405, 0.042843323200941086, 0.0439261868596077, 0.04129014164209366, 0.040497153997421265, 0.040472451597452164, 0.04056334123015404]]
2;21;1010;9;10;[[0.027206258848309517, 0.02713405340909958, 0.026796605437994003, 0.02765243500471115, 0.027229856699705124, 0.030885720625519753, 0.026796605437994003, 0.02707584761083126, 0.026881780475378036, 0.04233632609248161, 0.039493586868047714, 0.03789329528808594, 0.02688016928732395, 0.02919844351708889, 0.031106919050216675, 0.026796605437994003, 0.026774756610393524, 0.040263354778289795, 0.026809846982359886, 0.026855234056711197, 0.02694597654044628, 0.029608773067593575, 0.026974329724907875, 0.03367219865322113, 0.02853524312376976, 0.028412695974111557, 0.03159945085644722, 0.026796605437994003, 0.026774756610393524, 0.03054446540772915, 0.026809846982359886, 0.027616238221526146, 0.026844985783100128, 0.026796605437994003]]
2;48;2381;21;27;[[0.021814392879605293, 0.02186526358127594, 0.026195041835308075, 0.024231869727373123, 0.02183457836508751, 0.021814748644828796, 0.023944253101944923, 0.02704187110066414, 0.023683810606598854, 0.02474796585738659, 0.021730119362473488, 0.022145193070173264, 0.021838011220097542, 0.022229475900530815, 0.025122445076704025, 0.024358343333005905, 0.024840574711561203, 0.02418600022792816, 0.02260645292699337, 0.02209518663585186, 0.02173951454460621, 0.02982025220990181, 0.025764938443899155, 0.021881718188524246, 0.026041707023978233, 0.0218187365680933, 0.022617282345891, 0.022716190665960312, 0.02180968038737774, 0.02329925261437893, 0.022484183311462402, 0.022078443318605423, 0.02171904966235161, 0.0222329068928957, 0.026427272707223892, 0.022639142349362373, 0.02299756184220314, 0.021950814872980118, 0.022726448252797127, 0.022780228406190872, 0.02179356850683689, 0.022503621876239777, 0.021831905469298363, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;17;839;15;5;[[0.05301058664917946, 0.05266718566417694, 0.05218398571014404, 0.052642956376075745, 0.0520600900053978, 0.053088001906871796, 0.05217162147164345, 0.052829381078481674, 0.052825093269348145, 0.05257892608642578, 0.05220327153801918, 0.052596136927604675, 0.05256976932287216, 0.0527128130197525, 0.05245855450630188, 0.053350161761045456, 0.0529291108250618, 0.052726346999406815, 0.052395984530448914, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;21;1010;24;8;[[0.03466068208217621, 0.03419480100274086, 0.034834686666727066, 0.03466961905360222, 0.03437954932451248, 0.034746505320072174, 0.03400864079594612, 0.03440750017762184, 0.034726984798908234, 0.03416766598820686, 0.033922743052244186, 0.034308310598134995, 0.03455548733472824, 0.03484559804201126, 0.03462575748562813, 0.03404932841658592, 0.03493090346455574, 0.03457648679614067, 0.034148816019296646, 0.034366533160209656, 0.03440970927476883, 0.03418319672346115, 0.034718845039606094, 0.03474828973412514, 0.03503735736012459, 0.034900471568107605, 0.03405560553073883, 0.03431756794452667, 0.03450237959623337, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;48;2381;1;12;[[0.06592012941837311, 0.06781654804944992, 0.06583888828754425, 0.06665515899658203, 0.06748500466346741, 0.06652362644672394, 0.06546670198440552, 0.06598956882953644, 0.06625360250473022, 0.06747393310070038, 0.0671619400382042, 0.06700292974710464, 0.06641960889101028, 0.06692823767662048, 0.06706412136554718, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;17;839;6;7;[[0.04146170988678932, 0.04095057025551796, 0.04163144528865814, 0.04309799522161484, 0.04095057025551796, 0.04096393287181854, 0.08242061734199524, 0.061120253056287766, 0.059588637202978134, 0.04114794731140137, 0.07957632839679718, 0.04199962317943573, 0.041179537773132324, 0.0489543117582798, 0.04230094328522682, 0.043244313448667526, 0.04461536556482315, 0.04179855436086655, 0.04098200425505638, 0.04095057025551796, 0.04106489568948746]]
1;21;1010;9;10;[[0.02730426751077175, 0.027352439239621162, 0.026953045278787613, 0.027690567076206207, 0.02738632634282112, 0.030787033960223198, 0.026953045278787613, 0.027164822444319725, 0.027037302032113075, 0.042207270860672, 0.03964216634631157, 0.037069179117679596, 0.027057357132434845, 0.028928915038704872, 0.030677352100610733, 0.026953045278787613, 0.02692611888051033, 0.039840470999479294, 0.026969794183969498, 0.027003729715943336, 0.027040967717766762, 0.029656359925866127, 0.027144739404320717, 0.033206187188625336, 0.02837679721415043, 0.028501521795988083, 0.03135284036397934, 0.026953045278787613, 0.02692611888051033, 0.030355103313922882, 0.026969794183969498, 0.027645720168948174, 0.027013540267944336, 0.026953045278787613]]
