train_batch;infer_batch;tid;pred;truth;probs
1;50;237;0;1;[[0.5111308693885803, 0.4888691008090973]]
1;63;610;1;2;[[0.3338714838027954, 0.3338714838027954, 0.3322570025920868]]
1;76;485;1;2;[[0.3379758894443512, 0.337980717420578, 0.3240433633327484]]
1;31;355;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;4536;0;1;[0.509066104888916, 0.49093395471572876]
1;31;2972;0;1;[0.509066104888916, 0.49093395471572876]
1;31;3625;0;1;[0.511203944683075, 0.48879602551460266]
1;31;49;0;1;[0.509066104888916, 0.49093395471572876]
1;31;3552;0;1;[0.509066104888916, 0.49093395471572876]
1;31;1277;0;1;[0.509066104888916, 0.49093395471572876]
1;31;572;0;1;[0.509066104888916, 0.49093395471572876]
1;31;4136;0;1;[0.5089661478996277, 0.4910338819026947]
1;31;2334;0;1;[0.509066104888916, 0.49093395471572876]
1;31;1364;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;3411;0;1;[0.509066104888916, 0.49093395471572876]
1;31;4232;0;1;[0.5089483857154846, 0.49105170369148254]
1;31;687;0;1;[0.5087268352508545, 0.4912731647491455]
1;31;1883;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;2767;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;2260;0;1;[0.509066104888916, 0.49093395471572876]
1;31;3569;0;1;[0.509066104888916, 0.49093395471572876]
1;31;1977;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;369;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;4353;0;1;[0.5089483261108398, 0.49105167388916016]
1;31;2615;0;1;[0.509066104888916, 0.49093395471572876]
1;31;1704;0;1;[0.5090660452842712, 0.49093392491340637]
1;31;1809;0;1;[0.509066104888916, 0.49093395471572876]
1;31;4496;0;1;[0.5089483857154846, 0.49105170369148254]
1;31;3733;0;1;[0.509066104888916, 0.49093395471572876]
1;31;188;0;1;[0.5090898275375366, 0.4909101128578186]
1;31;2350;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;4302;0;1;[0.509066104888916, 0.49093395471572876]
1;31;3887;0;1;[0.509066104888916, 0.49093395471572876]
1;31;2930;0;1;[0.509066104888916, 0.49093395471572876]
1;31;3484;0;1;[0.509080171585083, 0.4909197688102722]
1;31;1245;0;1;[0.509080171585083, 0.4909197688102722]
1;31;4474;0;1;[0.5089483857154846, 0.49105170369148254]
1;31;4971;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;2953;0;1;[0.5090660452842712, 0.49093392491340637]
1;31;506;0;1;[0.5087268352508545, 0.4912731647491455]
1;31;417;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;810;0;1;[0.5090779662132263, 0.4909220039844513]
1;31;3321;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;2318;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;2048;0;1;[0.509066104888916, 0.49093395471572876]
1;31;3632;0;1;[0.509066104888916, 0.49093395471572876]
1;31;3582;0;1;[0.5090742111206055, 0.4909258484840393]
1;31;2168;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;3879;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;781;0;1;[0.5090697407722473, 0.4909302592277527]
1;31;2957;0;1;[0.509066104888916, 0.49093395471572876]
1;31;3449;0;1;[0.509066104888916, 0.49093395471572876]
1;32;1646;0;1;[0.5090867280960083, 0.4909132719039917]
1;32;98;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;551;0;1;[0.5087435245513916, 0.4912565350532532]
1;32;2588;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;166;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;3482;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;796;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;710;0;1;[0.5087469816207886, 0.49125298857688904]
1;32;4264;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;3349;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;2856;0;1;[0.5090742111206055, 0.4909258484840393]
1;32;3813;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;4641;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;1917;0;1;[0.5090698599815369, 0.4909301996231079]
1;32;222;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;3038;0;1;[0.5090742111206055, 0.4909258484840393]
1;32;523;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;125;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;3338;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;2220;0;1;[0.5090663433074951, 0.4909336566925049]
1;32;3993;0;1;[0.5090742111206055, 0.4909258484840393]
1;32;2161;0;1;[0.5090776681900024, 0.49092239141464233]
1;32;2256;0;1;[0.5090698599815369, 0.4909301996231079]
