infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;1;49;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;2;4;49;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;4;4;3;3;3;0;3;0
dk;incremental;True;1;3;2;49;0.5;0.5;0.5;0.5;0.5;2;2;1;2;2;0;2;0
dk;incremental;True;1;4;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;5;2;49;0.5;0.5;0.5;0.5;0.5;2;2;1;2;2;0;2;0
dk;incremental;True;1;6;1;49;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;incremental;True;1;7;3;49;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;3;3;1;1;1;0;1;0
dk;incremental;True;1;8;2;49;0.5;0.5;0.5;0.5;0.5;2;2;1;2;2;0;2;0
dk;incremental;True;1;9;1;49;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;10;6;49;0.6666666666666666;0.8;0.8;0.7272727272727272;0.7272727272727272;5;5;4;6;6;1;5;0
dk;incremental;True;1;11;3;49;0.0;0.0;0.0;0;0;3;3;0;2;2;0;2;0
dk;incremental;True;1;12;2;49;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2;2;1;1;1;0;1;0
dk;incremental;True;1;13;3;49;0.5;0.3333333333333333;0.3333333333333333;0.4;0.4;3;3;1;2;2;0;2;0
dk;incremental;True;1;14;4;49;0.5;0.5;0.5;0.5;0.5;4;4;2;4;4;0;4;0
dk;incremental;True;1;15;3;49;0.0;0.0;0.0;0;0;2;2;0;2;2;1;1;0
dk;incremental;True;1;16;3;49;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;3;3;1;3;3;0;3;0
dk;incremental;True;1;17;1;49;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;18;4;49;0.3333333333333333;0.25;0.25;0.28571428571428575;0.28571428571428575;4;4;1;3;3;0;3;0
dk;incremental;True;1;19;4;49;0.5;0.5;0.5;0.5;0.5;4;4;2;4;4;0;4;0
dk;incremental;True;1;20;5;49;0.8;0.8;0.8;0.8000000000000002;0.8000000000000002;5;5;4;5;5;0;5;0
dk;incremental;True;1;21;2;49;0.0;0.0;0.0;0;0;2;2;0;1;1;0;1;0
