train_batch;infer_batch;tid;pred;truth;probs
1;8;667;0;1;[[0.2568853795528412, 0.22706513106822968, 0.03752216324210167, 0.029885971918702126, 0.02892855927348137, 0.029018430039286613, 0.0368439257144928, 0.03330489993095398, 0.029317785054445267, 0.02881886251270771, 0.029436523094773293, 0.02865777723491192, 0.02859189175069332, 0.030345570296049118, 0.02865777723491192, 0.02952137030661106, 0.02865777723491192, 0.029009152203798294, 0.02953098714351654]]
1;20;1628;0;15;[[0.22879603505134583, 0.029865851625800133, 0.034339357167482376, 0.03089100867509842, 0.027880657464265823, 0.028184102848172188, 0.027710214257240295, 0.027709802612662315, 0.036150265485048294, 0.030901607125997543, 0.02814480848610401, 0.02800184115767479, 0.03515824303030968, 0.027759185060858727, 0.027710214257240295, 0.17756138741970062, 0.02783411182463169, 0.03379717096686363, 0.02783411182463169, 0.028005320578813553, 0.0277359988540411, 0.02802872471511364]]
1;21;1611;0;1;[[0.19262050092220306, 0.15136544406414032, 0.0381137989461422, 0.0323687419295311, 0.029836028814315796, 0.030820675194263458, 0.029634423553943634, 0.02964310720562935, 0.037411414086818695, 0.03537595272064209, 0.030133496969938278, 0.0299599040299654, 0.05745047330856323, 0.029693594202399254, 0.029643522575497627, 0.034276966005563736, 0.029788589105010033, 0.032425932586193085, 0.029788589105010033, 0.029991241171956062, 0.029669981449842453, 0.029987484216690063]]
1;22;1497;0;1;[[0.22561532258987427, 0.2130402773618698, 0.03574100881814957, 0.02838917449116707, 0.026703601703047752, 0.026932522654533386, 0.02653130702674389, 0.026538701727986336, 0.036151763051748276, 0.03052394650876522, 0.02697818912565708, 0.026852747425436974, 0.0278953704982996, 0.026581883430480957, 0.02653905563056469, 0.02815217524766922, 0.02666306309401989, 0.0271767508238554, 0.02666306309401989, 0.0269352775067091, 0.02656169794499874, 0.02683308906853199]]
1;24;3545;0;15;[[0.2610417604446411, 0.029202457517385483, 0.03329497203230858, 0.028493663296103477, 0.026748554781079292, 0.02697649970650673, 0.026590857654809952, 0.02659762278199196, 0.03719393536448479, 0.03275248035788536, 0.027289412915706635, 0.0269321296364069, 0.027558544650673866, 0.02670823037624359, 0.026597952470183372, 0.17470413446426392, 0.02671133726835251, 0.027322640642523766, 0.02671133726835251, 0.026895299553871155, 0.026618601754307747, 0.027057569473981857]]
1;25;2496;0;11;[[0.20469602942466736, 0.031995732337236404, 0.03640361875295639, 0.029829682782292366, 0.027922021225094795, 0.02834746055305004, 0.02776402235031128, 0.02777080610394478, 0.04237080365419388, 0.032145313918590546, 0.028304943814873695, 0.1991892009973526, 0.028785759583115578, 0.027836117893457413, 0.027771135792136192, 0.030573124065995216, 0.027884719893336296, 0.028490232303738594, 0.02793128974735737, 0.028069015592336655, 0.027791811153292656, 0.02812712825834751]]
1;29;3757;0;1;[[0.24661748111248016, 0.2096671462059021, 0.030812062323093414, 0.026627900078892708, 0.025016166269779205, 0.025280175730586052, 0.024829057976603508, 0.02483431063592434, 0.030172910541296005, 0.028562068939208984, 0.02514324150979519, 0.02523910254240036, 0.025710368528962135, 0.02488439716398716, 0.024834558367729187, 0.02484472654759884, 0.026411114260554314, 0.024921327829360962, 0.025493355467915535, 0.02495695650577545, 0.025112561881542206, 0.024850230664014816, 0.02517874725162983]]
1;33;2533;0;23;[[0.22700124979019165, 0.02751735970377922, 0.02755974978208542, 0.025001991540193558, 0.02508150413632393, 0.024923352524638176, 0.023894140496850014, 0.023889504373073578, 0.02389393001794815, 0.02877476066350937, 0.02879449911415577, 0.024171940982341766, 0.024113668128848076, 0.025739265605807304, 0.023922784253954887, 0.023894140496850014, 0.02389393001794815, 0.023889286443591118, 0.02588948793709278, 0.023926999419927597, 0.02488226629793644, 0.023960115388035774, 0.024084122851490974, 0.17334024608135223, 0.02389393001794815, 0.024065639823675156]]
1;34;53;0;1;[0.2092621922492981, 0.1831015944480896, 0.028248166665434837, 0.025059793144464493, 0.023433871567249298, 0.023903774097561836, 0.02330220490694046, 0.023285266011953354, 0.023289451375603676, 0.030126139521598816, 0.028603436425328255, 0.023551147431135178, 0.02484864555299282, 0.024143371731042862, 0.02332931011915207, 0.023289652541279793, 0.023289451375603676, 0.023297615349292755, 0.023302003741264343, 0.024716392159461975, 0.023358462378382683, 0.023898577317595482, 0.023415058851242065, 0.02367592789232731, 0.023289451375603676, 0.023302003741264343, 0.023677073419094086]
1;34;3166;0;1;[0.19426970183849335, 0.18154484033584595, 0.03392082452774048, 0.02556123025715351, 0.0239163376390934, 0.024249646812677383, 0.02378195896744728, 0.023764673620462418, 0.023768946528434753, 0.030536547303199768, 0.028896212577819824, 0.02412346377968788, 0.024005651473999023, 0.024640444666147232, 0.02380962297320366, 0.02376914769411087, 0.023768946528434753, 0.023777276277542114, 0.023781755939126015, 0.025225263088941574, 0.023839375004172325, 0.024390609934926033, 0.023897137492895126, 0.02500126324594021, 0.023768946528434753, 0.023781755939126015, 0.02420846000313759]
1;35;4209;0;1;[[0.20747467875480652, 0.19692835211753845, 0.026709597557783127, 0.024603798985481262, 0.023113762959837914, 0.023354487493634224, 0.02293473854660988, 0.022930534556508064, 0.02293454296886921, 0.028789736330509186, 0.02605782262980938, 0.02369019389152527, 0.023059623315930367, 0.024938801303505898, 0.022960655391216278, 0.02293473854660988, 0.02293454296886921, 0.022930342704057693, 0.02293454296886921, 0.024384187534451485, 0.022964470088481903, 0.02332211658358574, 0.02304503694176674, 0.024463200941681862, 0.02293454296886921, 0.02293454296886921, 0.023736383765935898]]
1;36;455;0;6;[[0.2531667649745941, 0.025637486949563026, 0.025892913341522217, 0.02299078181385994, 0.02205752581357956, 0.021985003724694252, 0.1548382192850113, 0.021985186263918877, 0.02198128215968609, 0.021985003724694252, 0.027007916942238808, 0.025040360167622566, 0.022206135094165802, 0.022101538255810738, 0.022801952436566353, 0.022009331732988358, 0.021985186263918877, 0.021985003724694252, 0.021981097757816315, 0.022508347406983376, 0.02293267659842968, 0.022012880071997643, 0.022326547652482986, 0.02204079180955887, 0.022377558052539825, 0.021985003724694252, 0.021985003724694252, 0.022192439064383507]]
