train_batch;infer_batch;tid;pred;truth;probs
1;7;4566;2;0;[[0.32492461800575256, 0.03560572490096092, 0.6013551354408264, 0.03811447322368622]]
1;11;2110;2;0;[[0.39556142687797546, 0.03605235740542412, 0.5282450318336487, 0.04014112427830696]]
1;12;1842;2;0;[[0.412320077419281, 0.03718097507953644, 0.510358452796936, 0.04014045372605324]]
1;13;1539;2;3;[[0.05018661543726921, 0.039286643266677856, 0.5680492520332336, 0.3424775004386902]]
1;17;3931;2;0;[0.43595507740974426, 0.03740165755152702, 0.4869387149810791, 0.039704591035842896]
1;17;19;2;0;[0.3861421048641205, 0.04063418507575989, 0.5187327861785889, 0.054490961134433746]
1;18;4197;2;0;[[0.41584885120391846, 0.040245283395051956, 0.49243807792663574, 0.051467813551425934]]
1;19;1018;2;0;[[0.4002572000026703, 0.038940709084272385, 0.5141919255256653, 0.046610161662101746]]
1;20;791;2;0;[[0.41851136088371277, 0.03909028694033623, 0.4961993992328644, 0.04619887098670006]]
1;21;1777;2;0;[[0.17886364459991455, 0.03082573600113392, 0.755431592464447, 0.03487902134656906]]
1;22;1706;2;3;[[0.06876145303249359, 0.04352826997637749, 0.5112028121948242, 0.3765074610710144]]
1;23;526;2;3;[0.0669240802526474, 0.04297545179724693, 0.5178598761558533, 0.3722406029701233]
1;23;570;2;0;[0.3966178596019745, 0.03891577944159508, 0.518095076084137, 0.04637126252055168]
1;24;1810;2;0;[[0.3562297821044922, 0.036251526325941086, 0.56941157579422, 0.03810712695121765]]
1;25;4234;2;0;[0.3865814208984375, 0.038984403014183044, 0.527191162109375, 0.047243040055036545]
1;25;3785;2;3;[0.05286162346601486, 0.05427521467208862, 0.5585018992424011, 0.3343612551689148]
1;25;2789;2;0;[0.3213850259780884, 0.03742532059550285, 0.5944770574569702, 0.04671262204647064]
1;25;3978;2;0;[0.3794511556625366, 0.036664314568042755, 0.5451657772064209, 0.038718681782484055]
1;25;2431;2;0;[0.4387626647949219, 0.055391862988471985, 0.4472399950027466, 0.0586053729057312]
1;26;3187;2;0;[0.38298988342285156, 0.03869378939270973, 0.5325467586517334, 0.04576960206031799]
1;26;305;2;0;[0.44467681646347046, 0.0388004407286644, 0.47098836302757263, 0.04553430527448654]
1;26;627;2;0;[0.42769262194633484, 0.0371771864593029, 0.49601420760154724, 0.03911598399281502]
1;27;3677;2;3;[0.10656086355447769, 0.048865605145692825, 0.4422219395637512, 0.40235158801078796]
1;27;2937;2;0;[0.44875359535217285, 0.037155915051698685, 0.4751816987991333, 0.0389086939394474]
1;27;2395;2;0;[0.2999933958053589, 0.05254705995321274, 0.5922017097473145, 0.05525775998830795]
1;27;1208;2;0;[0.2916630804538727, 0.03742532059550285, 0.6249476075172424, 0.04596399888396263]
1;28;4083;2;0;[0.37019702792167664, 0.04157806560397148, 0.5416563749313354, 0.04656858742237091]
1;28;3336;2;0;[0.4362133741378784, 0.03843075782060623, 0.4810929596424103, 0.044263020157814026]
1;28;4872;2;0;[0.32013046741485596, 0.03556867688894272, 0.6068339347839355, 0.037466976791620255]
1;28;443;2;0;[0.442072331905365, 0.03734200447797775, 0.4809742867946625, 0.039611395448446274]
1;28;668;2;3;[0.07030169665813446, 0.04350007697939873, 0.5192928910255432, 0.3669053316116333]
1;29;164;2;0;[0.4372565448284149, 0.03921438008546829, 0.4763542115688324, 0.04717480018734932]
1;29;1065;2;0;[0.3203517496585846, 0.038252003490924835, 0.593936026096344, 0.04746021702885628]
1;29;3191;2;0;[0.34667089581489563, 0.036318015307188034, 0.5785622596740723, 0.03844893351197243]
1;30;2438;2;3;[0.16501252353191376, 0.052226874977350235, 0.49990615248680115, 0.28285446763038635]
1;30;340;2;0;[0.40211939811706543, 0.036847058683633804, 0.5222179889678955, 0.03881556913256645]
1;30;2194;2;0;[0.3238275349140167, 0.03568350523710251, 0.6026386022567749, 0.03785043582320213]
1;30;2055;2;0;[0.30587515234947205, 0.03501429408788681, 0.6223698258399963, 0.03674071282148361]
1;30;3616;2;3;[0.06851467490196228, 0.042112890630960464, 0.5927931666374207, 0.2965792417526245]
1;30;1625;2;3;[0.06761544942855835, 0.044883858412504196, 0.5822780132293701, 0.30522269010543823]
1;31;4136;2;0;[0.17038261890411377, 0.03033372573554516, 0.7653596997261047, 0.03392395004630089]
1;31;1883;2;0;[0.3456901013851166, 0.03574638441205025, 0.5812943577766418, 0.03726918622851372]
1;31;4971;2;0;[0.28447607159614563, 0.036359403282403946, 0.6370660066604614, 0.0420985072851181]
1;31;2318;2;0;[0.353080689907074, 0.037046484649181366, 0.568556010723114, 0.041316837072372437]
1;32;1646;2;3;[0.07684722542762756, 0.04362199082970619, 0.5871891379356384, 0.2923416793346405]
1;32;950;2;0;[0.3835299611091614, 0.036673057824373245, 0.5410805940628052, 0.03871641680598259]
1;33;2451;2;0;[0.42160797119140625, 0.03794111683964729, 0.4983562231063843, 0.04209471866488457]
1;33;3090;2;0;[0.36971282958984375, 0.03615991398692131, 0.5564714670181274, 0.037655748426914215]
1;33;4610;2;0;[0.3125344216823578, 0.03683092072606087, 0.608191192150116, 0.04244348779320717]
1;33;1051;2;0;[0.36710822582244873, 0.03631478548049927, 0.5584841370582581, 0.03809279948472977]
1;34;725;2;3;[[0.05531740188598633, 0.03981676697731018, 0.6007260084152222, 0.3041398227214813]]
1;35;319;2;3;[0.17798739671707153, 0.050994791090488434, 0.5498188138008118, 0.22119902074337006]
1;35;2629;2;3;[0.06258076429367065, 0.04202856123447418, 0.5409358143806458, 0.35445481538772583]
1;35;1639;2;3;[0.05622458457946777, 0.03848716616630554, 0.6620362401008606, 0.2432519942522049]
1;35;4921;2;0;[0.2954846918582916, 0.03430242836475372, 0.6328403949737549, 0.03737248480319977]
1;37;2368;2;0;[0.2567261755466461, 0.037584755569696426, 0.6543890833854675, 0.05129994451999664]
1;37;3358;2;0;[0.33823323249816895, 0.0369105190038681, 0.5831645727157593, 0.04169170558452606]
1;37;1232;2;0;[0.2137838453054428, 0.03263210877776146, 0.7166870832443237, 0.03689693659543991]
1;37;3591;2;0;[0.3763413429260254, 0.03814799338579178, 0.5413658022880554, 0.04414481669664383]
1;37;609;2;0;[0.3767909109592438, 0.03636980056762695, 0.548620343208313, 0.03821897134184837]
1;37;3880;2;3;[0.03925737366080284, 0.03145702928304672, 0.7603327035903931, 0.1689528226852417]
1;37;674;2;0;[0.3135804533958435, 0.03551851585507393, 0.6131447553634644, 0.03775632753968239]
1;37;2343;2;0;[0.32076704502105713, 0.035462770611047745, 0.6062667965888977, 0.0375034436583519]
1;37;3083;2;0;[0.3803843855857849, 0.04085400328040123, 0.5288557410240173, 0.049905844032764435]
1;38;1233;2;0;[0.3614536225795746, 0.0379745252430439, 0.5564107894897461, 0.044161077588796616]
1;38;1381;2;0;[0.3920727074146271, 0.03692683205008507, 0.5317550301551819, 0.039245396852493286]
1;38;2444;2;0;[0.3749922513961792, 0.05901842191815376, 0.4896984100341797, 0.07629096508026123]
1;38;1707;2;0;[0.3511054813861847, 0.03766919672489166, 0.5675427317619324, 0.04368255287408829]
1;39;536;2;0;[0.339474081993103, 0.0358954481780529, 0.5865843296051025, 0.03804604709148407]
1;39;3390;2;3;[0.066182442009449, 0.04162090644240379, 0.5989857912063599, 0.29321086406707764]
1;40;1709;2;3;[0.0844075009226799, 0.046079929918050766, 0.47519275546073914, 0.3943198323249817]
1;40;2994;2;0;[0.3273642957210541, 0.03796416148543358, 0.5882005095481873, 0.046470995992422104]
1;40;515;2;0;[0.23862457275390625, 0.04868057742714882, 0.5768518447875977, 0.1358429491519928]
1;41;1117;2;0;[0.3947858512401581, 0.04222586005926132, 0.5097911357879639, 0.05319717898964882]
1;41;1784;2;0;[0.2913099527359009, 0.053506847470998764, 0.59134840965271, 0.0638347864151001]
1;41;4081;2;0;[0.36020979285240173, 0.037085823714733124, 0.5617579221725464, 0.040946487337350845]
1;41;4671;2;0;[0.312600314617157, 0.037885621190071106, 0.6024298667907715, 0.0470842607319355]
