train_batch;infer_batch;tid;pred;truth;probs
1;11;2327;0;1;[[0.543358325958252, 0.40137141942977905, 0.0552702434360981]]
1;24;2243;1;2;[[0.0674818679690361, 0.8357537984848022, 0.09676439315080643]]
1;34;3443;1;2;[[0.17326447367668152, 0.7162467241287231, 0.11048879474401474]]
1;55;3636;1;0;[[0.39682289958000183, 0.5635210871696472, 0.03965605050325394]]
1;59;1951;1;2;[[0.057333238422870636, 0.870884895324707, 0.07178184390068054]]
1;24;2243;1;2;[[0.05538107827305794, 0.8576292395591736, 0.08698970824480057]]
1;84;1939;1;2;[[0.1370149701833725, 0.7701317667961121, 0.09285327792167664]]
1;34;3443;1;2;[[0.11770466715097427, 0.789463460445404, 0.09283192455768585]]
1;97;2239;1;0;[[0.3908570110797882, 0.5649203062057495, 0.04422266408801079]]
1;55;3636;1;0;[[0.2556787431240082, 0.7097769975662231, 0.03454427793622017]]
1;59;1951;1;2;[[0.05914296209812164, 0.8535499572753906, 0.08730711787939072]]
1;84;1939;1;2;[[0.13255475461483002, 0.7508426904678345, 0.11660254001617432]]
2;24;2243;1;2;[[0.04832398518919945, 0.8338974714279175, 0.11777858436107635]]
1;97;2239;1;0;[[0.3273122310638428, 0.6256841421127319, 0.04700363799929619]]
2;34;3443;1;2;[[0.10930874198675156, 0.7579210996627808, 0.13277016580104828]]
2;55;3636;1;0;[[0.3768603801727295, 0.5913408994674683, 0.031798768788576126]]
2;59;1951;1;2;[[0.04052525758743286, 0.8749505877494812, 0.08452415466308594]]
2;84;1939;1;2;[[0.08155286312103271, 0.8126349449157715, 0.10581211745738983]]
2;97;2239;1;0;[[0.36125823855400085, 0.6036586165428162, 0.0350831113755703]]
2;24;2243;1;2;[[0.03684534132480621, 0.8496624827384949, 0.11349224299192429]]
2;34;3443;1;2;[[0.07332617789506912, 0.808720052242279, 0.117953822016716]]
2;55;3636;1;0;[[0.25563856959342957, 0.717714250087738, 0.026647193357348442]]
2;59;1951;1;2;[[0.03724130243062973, 0.8521112203598022, 0.11064750701189041]]
2;84;1939;1;2;[[0.08443120121955872, 0.763914942741394, 0.1516539305448532]]
2;97;2239;1;0;[[0.32246634364128113, 0.6412794589996338, 0.036254219710826874]]
3;24;2243;1;2;[[0.04445480927824974, 0.7946237921714783, 0.1609213948249817]]
3;34;3443;1;2;[[0.08267856389284134, 0.747643768787384, 0.16967767477035522]]
