infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;282;468;0.18181818181818182;0.6956521739130435;0.7619047619047619;0.28828828828828823;0.29357798165137616;21.0;23.0;16.0;106;88.0;69.0;19.0;0.0
dk;incremental;False;-1;2;414;444;0.11403508771929824;0.48148148148148145;0.52;0.1843971631205674;0.1870503597122302;25.0;27.0;13.0;118;114.0;99.0;15.0;0.0
dk;incremental;False;-1;3;312;372;0.0989010989010989;0.45;0.6;0.16216216216216214;0.16981132075471697;15.0;20.0;9.0;93;91.0;82.0;9.0;0.0
dk;incremental;False;-1;4;310;410;0.25;0.4782608695652174;0.6875;0.3283582089552239;0.36666666666666664;16.0;23.0;11.0;44;44.0;33.0;11.0;0.0
dk;incremental;False;-1;5;354;332;0.07471264367816093;0.3611111111111111;0.43333333333333335;0.12380952380952383;0.12745098039215688;30.0;36.0;13.0;181;174.0;155.0;19.0;0.0
dk;incremental;False;-1;6;377;547;0.22641509433962265;0.5;0.5454545454545454;0.31168831168831174;0.32;22.0;24.0;12.0;68;53.0;39.0;14.0;0.0
dk;incremental;False;-1;7;342;390;0.26785714285714285;0.625;0.7894736842105263;0.375;0.4;19.0;24.0;15.0;78;56.0;38.0;18.0;0.0
dk;incremental;False;-1;8;310;425;0.5454545454545454;0.5806451612903226;0.782608695652174;0.5625;0.6428571428571429;23.0;31.0;18.0;38;33.0;15.0;18.0;0.0
dk;incremental;False;-1;9;374;450;0.13186813186813187;0.46153846153846156;0.631578947368421;0.20512820512820512;0.2181818181818182;19.0;26.0;12.0;91;91.0;78.0;13.0;0.0
dk;incremental;False;-1;10;335;498;0.10655737704918032;0.43333333333333335;0.52;0.17105263157894735;0.1768707482993197;25.0;30.0;13.0;130;122.0;104.0;18.0;0.0
