infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;282;468;0.18181818181818182;0.6956521739130435;0.7619047619047619;0.28828828828828823;0.29357798165137616;21.0;23.0;16.0;106;88.0;69.0;19.0;0.0
dk;incremental;False;-1;2;811;895;0.2727272727272727;0.5242718446601942;0.5346534653465347;0.3588039867109635;0.36120401337792646;101.0;103.0;54.0;207;198.0;121.0;77.0;0.0
dk;incremental;False;-1;3;1133;1048;0.18840579710144928;0.1368421052631579;0.1625;0.15853658536585363;0.174496644295302;160.0;190.0;26.0;146;138.0;99.0;39.0;0.0
dk;incremental;False;-1;4;1620;1237;0.29959514170040485;0.25874125874125875;0.27007299270072993;0.27767354596622895;0.2840690978886757;274.0;286.0;74.0;253;247.0;150.0;97.0;0.0
dk;incremental;False;-1;5;1859;1988;0.1585677749360614;0.15577889447236182;0.16230366492146597;0.15716096324461343;0.16041397153945666;382.0;398.0;62.0;398;391.0;184.0;207.0;0.0
dk;incremental;False;-1;6;2368;2570;0.23645320197044334;0.08823529411764706;0.09561752988047809;0.1285140562248996;0.13617021276595745;502.0;544.0;48.0;206;203.0;59.0;144.0;0.0
dk;incremental;False;-1;7;2127;2310;0.3013698630136986;0.07599309153713299;0.08888888888888889;0.1213793103448276;0.1372854914196568;495.0;579.0;44.0;146;146.0;40.0;106.0;0.0
dk;incremental;False;-1;8;2002;3230;0.46987951807228917;0.06435643564356436;0.07991803278688525;0.11320754716981132;0.13660245183887917;488.0;606.0;39.0;89;83.0;20.0;63.0;0.0
dk;incremental;False;-1;9;2643;4471;0.35;0.03425774877650897;0.043209876543209874;0.062407132243684986;0.07692307692307693;486.0;613.0;21.0;63;60.0;37.0;23.0;0.0
dk;incremental;False;-1;10;2280;4094;0.5217391304347826;0.036418816388467376;0.046966731898238745;0.06808510638297872;0.08617594254937162;511.0;659.0;24.0;54;46.0;22.0;24.0;0.0
dk;incremental;False;-1;11;2209;3676;0.5405405405405406;0.029282576866764276;0.038461538461538464;0.05555555555555556;0.0718132854578097;520.0;683.0;20.0;39;37.0;17.0;20.0;0.0
dk;incremental;False;-1;12;2184;4345;1.0;0.03244005641748942;0.049891540130151846;0.06284153005464481;0.09504132231404959;461.0;709.0;23.0;25;23.0;0;23.0;0.0
dk;incremental;False;-1;13;2260;5170;1.0;0.02849002849002849;0.04395604395604396;0.0554016620498615;0.08421052631578947;455.0;702.0;20.0;27;20.0;0;20.0;0.0
dk;incremental;False;-1;14;2304;4625;1.0;0.036414565826330535;0.05627705627705628;0.07027027027027027;0.10655737704918034;462.0;714.0;26.0;30;26.0;0;26.0;0.0
dk;incremental;False;-1;15;2515;6192;0.9655172413793104;0.03910614525139665;0.06073752711496746;0.07516778523489932;0.11428571428571428;461.0;716.0;28.0;36;29.0;1.0;28.0;0.0
dk;incremental;False;-1;16;2619;6457;0.9696969696969697;0.044382801664355064;0.06823027718550106;0.08488063660477453;0.12749003984063745;469.0;721.0;32.0;36;33.0;1.0;32.0;0.0
dk;incremental;False;-1;17;2039;4305;1.0;0.015625;0.024553571428571428;0.03076923076923077;0.04793028322440087;448.0;704.0;11.0;15;11.0;0;11.0;0.0
dk;incremental;False;-1;18;2268;5073;1.0;0.02920723226703755;0.045951859956236324;0.05675675675675675;0.08786610878661089;457.0;719.0;21.0;34;21.0;0;21.0;0.0
dk;incremental;False;-1;19;2320;5429;1.0;0.03319502074688797;0.05217391304347826;0.0642570281124498;0.09917355371900827;460.0;723.0;24.0;26;24.0;0;24.0;0.0
dk;incremental;False;-1;20;2410;6176;1.0;0.023743016759776536;0.03761061946902655;0.04638472032742155;0.07249466950959488;452.0;716.0;17.0;25;17.0;0;17.0;0.0
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;787;1036;0.3508771929824561;0.8;0.851063829787234;0.4878048780487805;0.49689440993788814;47.0;50.0;40.0;136;114.0;73.0;41.0;0.0
dk;incremental;False;-1;2;969;2007;0.27461139896373055;0.42063492063492064;0.4649122807017544;0.3322884012539185;0.3452768729641693;114.0;126.0;53.0;212;193.0;90.0;103.0;0.0
dk;incremental;False;-1;3;1679;3305;0.5673758865248227;0.35874439461883406;0.3902439024390244;0.4395604395604395;0.46242774566473993;205.0;223.0;80.0;151;141.0;5.0;136.0;0.0
dk;incremental;False;-1;4;1317;3747;0.7605633802816901;0.2660098522167488;0.5192307692307693;0.39416058394160586;0.6171428571428572;104.0;203.0;54.0;77;71.0;0;71.0;0.0
dk;incremental;False;-1;5;2104;6232;0.71875;0.22439024390243903;0.9583333333333334;0.3420074349442379;0.8214285714285714;48.0;205.0;46.0;75;64.0;18.0;46.0;0.0
dk;incremental;False;-1;6;1587;4937;0.9767441860465116;0.1810344827586207;0.875;0.3054545454545454;0.923076923076923;48.0;232.0;42.0;47;43.0;1.0;42.0;0.0
dk;incremental;False;-1;7;2115;7587;1.0;0.200836820083682;0.9230769230769231;0.33449477351916374;0.9600000000000001;52.0;239.0;48.0;59;48.0;0;48.0;0.0
dk;incremental;False;-1;8;2230;7818;1.0;0.21912350597609562;0.9016393442622951;0.35947712418300654;0.9482758620689655;61.0;251.0;55.0;65;55.0;0;55.0;0.0
dk;incremental;False;-1;9;1738;5825;1.0;0.1440677966101695;0.8717948717948718;0.2518518518518518;0.9315068493150686;39.0;236.0;34.0;51;34.0;0;34.0;0.0
dk;incremental;False;-1;10;1765;5643;1.0;0.1557377049180328;0.8837209302325582;0.2695035460992908;0.9382716049382717;43.0;244.0;38.0;48;38.0;0;38.0;0.0
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;1609;2067;1.0;0.8494623655913979;0.9753086419753086;0.9186046511627907;0.9875;81.0;93.0;79.0;111;79.0;0;79.0;0.0
dk;incremental;False;-1;2;2500;3930;1.0;0.7984496124031008;0.9903846153846154;0.8879310344827586;0.9951690821256038;104.0;129.0;103.0;128;103.0;0;103.0;0.0
dk;incremental;False;-1;3;3439;6804;0.8333333333333334;0.656934306569343;0.9782608695652174;0.7346938775510204;0.9;92.0;137.0;90.0;123;108.0;18.0;90.0;0.0
dk;incremental;False;-1;4;3758;9350;0.9901960784313726;0.5838150289017341;0.9351851851851852;0.7345454545454545;0.961904761904762;108.0;173.0;101.0;123;102.0;1.0;101.0;0.0
dk;incremental;False;-1;5;3158;9329;1.0;0.4774193548387097;0.9367088607594937;0.6462882096069869;0.9673202614379084;79.0;155.0;74.0;101;74.0;0;74.0;0.0
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;2185;2381;1.0;0.8449612403100775;0.9819819819819819;0.9159663865546218;0.9909090909090909;111.0;129.0;109.0;117;109.0;0;109.0;0.0
dk;incremental;False;-1;2;3520;5256;0.8666666666666667;0.7548387096774194;0.975;0.806896551724138;0.9176470588235294;120.0;155.0;117.0;142;135.0;18.0;117.0;0.0
dk;incremental;False;-1;3;4085;8558;0.991304347826087;0.6096256684491979;0.95;0.7549668874172186;0.9702127659574469;120.0;187.0;114.0;115;115.0;1.0;114.0;0.0
dk;incremental;False;-1;4;4619;11535;1.0;0.5691489361702128;0.9304347826086956;0.7254237288135594;0.9639639639639639;115.0;188.0;107.0;107;107.0;0;107.0;0.0
