infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;282;468;0.18181818181818182;0.6956521739130435;0.7619047619047619;0.28828828828828823;0.29357798165137616;21.0;23.0;16.0;106;88.0;69.0;19.0;0.0
dk;incremental;False;-1;2;811;895;0.6792452830188679;0.34951456310679613;0.3564356435643564;0.46153846153846156;0.4675324675324675;101.0;103.0;36.0;62;53.0;4.0;49.0;0.0
dk;incremental;False;-1;3;637;1149;0.8260869565217391;0.2087912087912088;0.3114754098360656;0.33333333333333337;0.4523809523809524;61.0;91.0;19.0;31;23.0;3.0;20.0;0.0
dk;incremental;False;-1;4;412;769;1.0;0.17346938775510204;1.0;0.29565217391304344;1.0;17.0;98.0;17.0;23;17.0;0;17.0;0.0
dk;incremental;False;-1;5;652;1515;1.0;0.27350427350427353;1.0;0.4295302013422819;1.0;32.0;117.0;32.0;39;32.0;0;32.0;0.0
dk;incremental;False;-1;6;737;1853;0.8214285714285714;0.21100917431192662;0.7419354838709677;0.3357664233576642;0.7796610169491526;31.0;109.0;23.0;31;28.0;5.0;23.0;0.0
dk;incremental;False;-1;7;556;1327;0.6363636363636364;0.1826086956521739;0.6176470588235294;0.28378378378378377;0.6268656716417911;34.0;115.0;21.0;33;33.0;12.0;21.0;0.0
dk;incremental;False;-1;8;651;2246;1.0;0.20437956204379562;1.0;0.3393939393939394;1.0;28.0;137.0;28.0;34;28.0;0;28.0;0.0
dk;incremental;False;-1;9;1305;4890;0.5555555555555556;0.14814814814814814;0.9090909090909091;0.23391812865497075;0.6896551724137931;22.0;135.0;20.0;39;36.0;16.0;20.0;0.0
dk;incremental;False;-1;10;1199;3827;0.9459459459459459;0.21739130434782608;0.546875;0.35353535353535354;0.6930693069306929;64.0;161.0;35.0;45;37.0;2.0;35.0;0.0
dk;incremental;False;-1;11;1228;3166;1.0;0.12987012987012986;0.4166666666666667;0.22988505747126434;0.5882352941176471;48.0;154.0;20.0;22;20.0;0;20.0;0.0
dk;incremental;False;-1;12;1401;3635;1.0;0.147239263803681;0.43636363636363634;0.25668449197860965;0.6075949367088608;55.0;163.0;24.0;26;24.0;0;24.0;0.0
dk;incremental;False;-1;13;1431;4487;1.0;0.12258064516129032;0.40425531914893614;0.21839080459770113;0.5757575757575757;47.0;155.0;19.0;26;19.0;0;19.0;0.0
dk;incremental;False;-1;14;1523;4282;1.0;0.16071428571428573;0.48214285714285715;0.27692307692307694;0.6506024096385542;56.0;168.0;27.0;31;27.0;0;27.0;0.0
dk;incremental;False;-1;15;1688;5881;1.0;0.15384615384615385;0.48148148148148145;0.2666666666666667;0.65;54.0;169.0;26.0;33;26.0;0;26.0;0.0
