infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;282;468;0.18181818181818182;0.6956521739130435;0.7619047619047619;0.28828828828828823;0.29357798165137616;21.0;23.0;16.0;106;88.0;69.0;19.0;0.0
dk;incremental;False;-1;2;443;457;0.15384615384615385;0.8888888888888888;0.9230769230769231;0.2622950819672132;0.2637362637362637;26.0;27.0;24.0;162;156.0;131.0;25.0;0.0
dk;incremental;False;-1;3;377;333;0.12643678160919541;0.55;0.6470588235294118;0.20560747663551404;0.21153846153846154;17.0;20.0;11.0;95;87.0;75.0;12.0;0.0
dk;incremental;False;-1;4;369;360;0.15730337078651685;0.6086956521739131;0.8235294117647058;0.25;0.2641509433962264;17.0;23.0;14.0;95;89.0;73.0;16.0;0.0
dk;incremental;False;-1;5;370;325;0.13013698630136986;0.5277777777777778;0.6333333333333333;0.2087912087912088;0.2159090909090909;30.0;36.0;19.0;153;146.0;125.0;21.0;0.0
dk;incremental;False;-1;6;437;450;0.6060606060606061;0.8333333333333334;0.9090909090909091;0.7017543859649124;0.7272727272727273;22.0;24.0;20.0;36;33.0;12.0;21.0;0.0
dk;incremental;False;-1;7;463;384;0.05855855855855856;0.5416666666666666;0.6190476190476191;0.10569105691056913;0.10699588477366256;21.0;24.0;13.0;222;222.0;205.0;17.0;0.0
dk;incremental;False;-1;8;358;489;0.20535714285714285;0.7419354838709677;0.8518518518518519;0.3216783216783217;0.3309352517985612;27.0;31.0;23.0;118;112.0;86.0;26.0;0.0
dk;incremental;False;-1;9;400;474;0.10135135135135136;0.5769230769230769;0.75;0.1724137931034483;0.17857142857142858;20.0;26.0;15.0;151;148.0;131.0;17.0;0.0
dk;incremental;False;-1;10;524;375;0.07272727272727272;0.5333333333333333;0.64;0.128;0.13061224489795917;25.0;30.0;16.0;228;220.0;199.0;21.0;0.0
dk;incremental;False;-1;11;563;306;0.02622950819672131;0.3076923076923077;0.42105263157894735;0.048338368580060416;0.04938271604938272;19.0;26.0;8.0;307;305.0;291.0;14.0;0.0
dk;incremental;False;-1;12;534;382;0.08717948717948718;0.5862068965517241;0.7391304347826086;0.15178571428571427;0.15596330275229356;23.0;29.0;17.0;197;195.0;174.0;21.0;0.0
dk;incremental;False;-1;13;430;281;0.05056179775280899;0.5625;0.5625;0.09278350515463918;0.09278350515463918;16.0;16.0;9.0;185;178.0;164.0;14.0;0.0
dk;incremental;False;-1;14;461;314;0.07344632768361582;0.40625;0.48148148148148145;0.1244019138755981;0.12745098039215685;27.0;32.0;13.0;181;177.0;157.0;20.0;0.0
dk;incremental;False;-1;15;406;314;0.1388888888888889;0.5357142857142857;0.625;0.22058823529411764;0.2272727272727273;24.0;28.0;15.0;115;108.0;88.0;20.0;0.0
dk;incremental;False;-1;16;593;274;0.05338078291814947;0.46875;0.5;0.09584664536741212;0.09646302250803858;30.0;32.0;15.0;284;281.0;256.0;25.0;0.0
dk;incremental;False;-1;17;401;340;0.03587443946188341;0.5714285714285714;0.6666666666666666;0.06751054852320675;0.06808510638297872;12.0;14.0;8.0;227;223.0;213.0;10.0;0.0
dk;incremental;False;-1;18;591;187;0.06172839506172839;0.5769230769230769;0.7142857142857143;0.11152416356877322;0.11363636363636363;21.0;26.0;15.0;256;243.0;222.0;21.0;0.0
dk;incremental;False;-1;19;522;316;0.047619047619047616;0.52;0.5909090909090909;0.087248322147651;0.088135593220339;22.0;25.0;13.0;275;273.0;253.0;20.0;0.0
dk;incremental;False;-1;20;408;223;0.052132701421800945;0.6470588235294118;0.7333333333333333;0.09649122807017543;0.09734513274336283;15.0;17.0;11.0;219;211.0;198.0;13.0;0.0
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;787;1036;0.3508771929824561;0.8;0.851063829787234;0.4878048780487805;0.49689440993788814;47.0;50.0;40.0;136;114.0;73.0;41.0;0.0
dk;incremental;False;-1;2;699;899;0.10576923076923077;0.5116279069767442;0.6470588235294118;0.1752988047808765;0.18181818181818185;34.0;43.0;22.0;222;208.0;184.0;24.0;0.0
dk;incremental;False;-1;3;955;772;0.3458646616541353;0.7666666666666667;0.8846153846153846;0.47668393782383417;0.49729729729729727;52.0;60.0;46.0;143;133.0;84.0;49.0;0.0
dk;incremental;False;-1;4;841;969;0.17857142857142858;0.7272727272727273;0.8333333333333334;0.28673835125448033;0.29411764705882354;48.0;55.0;40.0;230;224.0;180.0;44.0;0.0
dk;incremental;False;-1;5;893;953;0.3007518796992481;0.7142857142857143;0.8888888888888888;0.4232804232804232;0.449438202247191;45.0;56.0;40.0;144;133.0;91.0;42.0;0.0
dk;incremental;False;-1;6;891;863;0.288;0.6545454545454545;0.8571428571428571;0.39999999999999997;0.4311377245508982;42.0;55.0;36.0;129;125.0;88.0;37.0;0.0
dk;incremental;False;-1;7;807;945;1.0;0.875;0.9767441860465116;0.9333333333333333;0.988235294117647;43.0;48.0;42.0;53;42.0;0;42.0;0.0
dk;incremental;False;-1;8;908;807;0.13157894736842105;0.6666666666666666;0.7407407407407407;0.21978021978021978;0.223463687150838;54.0;60.0;40.0;314;304.0;253.0;51.0;0.0
dk;incremental;False;-1;9;807;750;1.0;0.8;0.9696969696969697;0.888888888888889;0.9846153846153847;33.0;40.0;32.0;49;32.0;0;32.0;0.0
dk;incremental;False;-1;10;770;792;0.578125;0.8809523809523809;1.0;0.6981132075471698;0.7326732673267327;37.0;42.0;37.0;74;64.0;27.0;37.0;0.0
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;1609;2067;1.0;0.8494623655913979;0.9753086419753086;0.9186046511627907;0.9875;81.0;93.0;79.0;111;79.0;0;79.0;0.0
dk;incremental;False;-1;2;1821;1799;0.3287671232876712;0.8347826086956521;0.96;0.47174447174447165;0.4897959183673469;100.0;115.0;96.0;308;292.0;194.0;98.0;0.0
dk;incremental;False;-1;3;2009;1694;0.29699248120300753;0.7117117117117117;0.9080459770114943;0.4190981432360743;0.44759206798866863;87.0;111.0;79.0;281;266.0;183.0;83.0;0.0
