infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;282;468;0.18181818181818182;0.6956521739130435;0.7619047619047619;0.28828828828828823;0.29357798165137616;21.0;23.0;16.0;106;88.0;69.0;19.0;0.0
dk;incremental;False;-1;2;443;457;0.96;0.8888888888888888;0.9230769230769231;0.923076923076923;0.9411764705882353;26.0;27.0;24.0;31;25.0;1.0;24.0;0.0
dk;incremental;False;-1;3;320;392;1.0;0.8;0.9411764705882353;0.888888888888889;0.9696969696969697;17.0;20.0;16.0;24;16.0;0;16.0;0.0
dk;incremental;False;-1;4;322;379;1.0;0.6956521739130435;1.0;0.8205128205128205;1.0;16.0;23.0;16.0;22;16.0;0;16.0;0.0
dk;incremental;False;-1;5;366;329;1.0;0.8333333333333334;1.0;0.9090909090909091;1.0;30.0;36.0;30.0;37;30.0;0;30.0;0.0
dk;incremental;False;-1;6;423;431;0.9130434782608695;0.875;0.9545454545454546;0.8936170212765957;0.9333333333333332;22.0;24.0;21.0;26;23.0;2.0;21.0;0.0
dk;incremental;False;-1;7;442;394;1.0;0.875;1.0;0.9333333333333333;1.0;21.0;24.0;21.0;21;21.0;0;21.0;0.0
dk;incremental;False;-1;8;340;448;1.0;0.8709677419354839;1.0;0.9310344827586207;1.0;27.0;31.0;27.0;33;27.0;0;27.0;0.0
dk;incremental;False;-1;9;393;478;0.5294117647058824;0.6923076923076923;0.9;0.5999999999999999;0.6666666666666667;20.0;26.0;18.0;37;34.0;16.0;18.0;0.0
dk;incremental;False;-1;10;417;500;0.9230769230769231;0.8;0.96;0.8571428571428571;0.9411764705882353;25.0;30.0;24.0;34;26.0;2.0;24.0;0.0
dk;incremental;False;-1;11;399;444;1.0;0.7307692307692307;1.0;0.8444444444444443;1.0;19.0;26.0;19.0;21;19.0;0;19.0;0.0
dk;incremental;False;-1;12;407;490;1.0;0.7931034482758621;1.0;0.8846153846153846;1.0;23.0;29.0;23.0;25;23.0;0;23.0;0.0
dk;incremental;False;-1;13;330;400;1.0;1.0;1.0;1.0;1.0;16.0;16.0;16.0;23;16.0;0;16.0;0.0
dk;incremental;False;-1;14;360;436;1.0;0.84375;1.0;0.9152542372881356;1.0;27.0;32.0;27.0;31;27.0;0;27.0;0.0
dk;incremental;False;-1;15;309;430;1.0;0.8571428571428571;1.0;0.923076923076923;1.0;24.0;28.0;24.0;31;24.0;0;24.0;0.0
dk;incremental;False;-1;16;444;445;1.0;0.90625;0.9666666666666667;0.9508196721311475;0.983050847457627;30.0;32.0;29.0;32;29.0;0;29.0;0.0
dk;incremental;False;-1;17;269;428;1.0;0.7857142857142857;0.9166666666666666;0.88;0.9565217391304348;12.0;14.0;11.0;15;11.0;0;11.0;0.0
dk;incremental;False;-1;18;467;342;1.0;0.8076923076923077;1.0;0.8936170212765957;1.0;21.0;26.0;21.0;34;21.0;0;21.0;0.0
dk;incremental;False;-1;19;401;391;1.0;0.88;1.0;0.9361702127659575;1.0;22.0;25.0;22.0;24;22.0;0;22.0;0.0
dk;incremental;False;-1;20;276;345;1.0;0.8823529411764706;1.0;0.9375;1.0;15.0;17.0;15.0;23;15.0;0;15.0;0.0
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;787;1036;0.3508771929824561;0.8;0.851063829787234;0.4878048780487805;0.49689440993788814;47.0;50.0;40.0;136;114.0;73.0;41.0;0.0
dk;incremental;False;-1;2;699;899;0.24347826086956523;0.6511627906976745;0.8235294117647058;0.35443037974683544;0.3758389261744967;34.0;43.0;28.0;129;115.0;85.0;30.0;0.0
dk;incremental;False;-1;3;865;878;0.9807692307692307;0.85;0.9807692307692307;0.9107142857142857;0.9807692307692307;52.0;60.0;51.0;62;52.0;1.0;51.0;0.0
dk;incremental;False;-1;4;756;1081;1.0;0.8727272727272727;1.0;0.9320388349514563;1.0;48.0;55.0;48.0;54;48.0;0;48.0;0.0
dk;incremental;False;-1;5;829;1024;0.7049180327868853;0.7678571428571429;0.9555555555555556;0.7350427350427351;0.8113207547169811;45.0;56.0;43.0;72;61.0;18.0;43.0;0.0
dk;incremental;False;-1;6;879;877;1.0;0.7636363636363637;1.0;0.865979381443299;1.0;42.0;55.0;42.0;46;42.0;0;42.0;0.0
dk;incremental;False;-1;7;763;888;1.0;0.8958333333333334;1.0;0.945054945054945;1.0;43.0;48.0;43.0;54;43.0;0;43.0;0.0
dk;incremental;False;-1;8;852;865;1.0;0.8833333333333333;0.9814814814814815;0.9380530973451328;0.9906542056074767;54.0;60.0;53.0;63;53.0;0;53.0;0.0
dk;incremental;False;-1;9;766;797;1.0;0.8;0.9696969696969697;0.888888888888889;0.9846153846153847;33.0;40.0;32.0;49;32.0;0;32.0;0.0
dk;incremental;False;-1;10;726;834;1.0;0.8809523809523809;1.0;0.9367088607594937;1.0;37.0;42.0;37.0;47;37.0;0;37.0;0.0
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;1609;2067;1.0;0.8494623655913979;0.9753086419753086;0.9186046511627907;0.9875;81.0;93.0;79.0;111;79.0;0;79.0;0.0
dk;incremental;False;-1;2;1821;1799;1.0;0.8608695652173913;0.99;0.9252336448598132;0.9949748743718593;100.0;115.0;99.0;115;99.0;0;99.0;0.0
dk;incremental;False;-1;3;1941;1762;0.8252427184466019;0.7657657657657657;0.9770114942528736;0.794392523364486;0.8947368421052632;87.0;111.0;85.0;118;103.0;18.0;85.0;0.0
