train_batch;infer_batch;tid;pred;truth;probs
1;8;72;1;0;[0.34407034516334534, 0.35806217789649963, 0.29786738753318787, 0.0, 0.0, 0.0]
1;8;77;2;0;[0.34418585896492004, 0.297250896692276, 0.35856327414512634, 0.0, 0.0, 0.0]
1;22;216;0;1;[[0.41014155745506287, 0.2840290367603302, 0.30582937598228455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;23;223;2;0;[0.24607250094413757, 0.25051453709602356, 0.2696738839149475, 0.23373906314373016, 0.0, 0.0, 0.0, 0.0, 0.0]
1;23;227;2;0;[0.34904465079307556, 0.28522297739982605, 0.3657323718070984, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;26;252;1;0;[[0.16783256828784943, 0.2520812451839447, 0.20876415073871613, 0.1926824450492859, 0.17863954603672028, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;33;324;5;0;[[0.1185421496629715, 0.14146141707897186, 0.1354455202817917, 0.14299225807189941, 0.15057893097400665, 0.16919934749603271, 0.14178037643432617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;35;346;5;3;[[0.1808077096939087, 0.16599662601947784, 0.16599662601947784, 0.11824800074100494, 0.18441541492938995, 0.18453560769557953, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;42;415;2;6;[[0.12234720587730408, 0.14626599848270416, 0.1488967388868332, 0.12671984732151031, 0.12660661339759827, 0.11418240517377853, 0.09688515216112137, 0.11809598654508591, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;46;456;1;2;[0.1883145570755005, 0.2429027259349823, 0.16913576424121857, 0.19909805059432983, 0.20054884254932404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;46;457;3;1;[0.16130679845809937, 0.12178720533847809, 0.13978178799152374, 0.17389662563800812, 0.14940336346626282, 0.14282895624637604, 0.11099518090486526, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;47;465;6;3;[[0.09053333103656769, 0.10100245475769043, 0.111322782933712, 0.0877443477511406, 0.08725617080926895, 0.09837403148412704, 0.1192140057682991, 0.10606009513139725, 0.09991565346717834, 0.0985770970582962, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;51;502;4;1;[[0.21734730899333954, 0.1550792157649994, 0.15870723128318787, 0.2184971123933792, 0.250369131565094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;52;513;6;1;[[0.11639726161956787, 0.08588966727256775, 0.10502016544342041, 0.10999907553195953, 0.118773452937603, 0.11000943928956985, 0.13381965458393097, 0.11445149034261703, 0.10563972592353821, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
