batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16
1;-0.0003982805064879358;0.3359939157962799;0.3615565896034241;-0.29779374599456787;0.6389734148979187;-0.016424104571342468;2.9768710874122917e-07;0.2688088119029999;0.5664753317832947;0.5627697110176086;0.467033714056015;-0.04251687601208687;-0.12065956741571426;0.5165692567825317;-0.08460825681686401;-0.3131102919578552;0.48652079701423645
2;0.15716470777988434;0.4936700165271759;0.5192139148712158;-0.13990308344364166;0.7814772129058838;0.14180898666381836;1.2771205967765376e-11;0.4265333414077759;0.7082006335258484;0.7016074061393738;0.6128613948822021;0.10497424006462097;0.02408926747739315;0.6089878082275391;0.034971509128808975;-0.23924963176250458;0.6274088025093079
3;0.26641058921813965;0.6022384166717529;0.6277336478233337;-0.03031919151544571;0.8148115873336792;0.25125738978385925;9.111176600985478e-16;0.5352283716201782;0.7442370057106018;0.7039294242858887;0.665860652923584;0.129924014210701;0.07598251104354858;0.6274928450584412;0.09815642982721329;-0.15542873740196228;0.6541768312454224
4;0.35203948616981506;0.6868849396705627;0.7123112082481384;0.056068506091833115;0.8036584854125977;0.33699554204940796;3.2019702685181676e-20;0.6200576424598694;0.6675289869308472;0.7013956308364868;0.6708550453186035;0.16697198152542114;0.12496358156204224;0.6384758353233337;0.14154434204101562;-0.10711279511451721;0.6696434617042542
5;0.4350021481513977;0.7687561511993408;0.7940893769264221;0.14004972577095032;0.8033861517906189;0.4200757145881653;-7.08759771689644e-25;0.7020658254623413;0.6652367115020752;0.7836791276931763;0.6908584833145142;0.199672132730484;0.16806741058826447;0.6408764719963074;0.1710975021123886;-0.07298502326011658;0.6691252589225769
6;0.4964931011199951;0.828887939453125;0.8541394472122192;0.20323210954666138;0.7942134141921997;0.48163923621177673;-6.302415030803752e-30;0.7624121904373169;0.6475551724433899;0.8403076529502869;0.683488667011261;0.22062948346138;0.19309289753437042;0.6312887072563171;0.19133204221725464;-0.04477446898818016;0.606522262096405
7;0.5470934510231018;0.8778361082077026;0.9029170274734497;0.25553765892982483;0.7519592642784119;0.5324267148971558;-3.6270695530537487e-34;0.8117936849594116;0.6181516051292419;0.8798424601554871;0.663203239440918;0.232086643576622;0.19998574256896973;0.6120197176933289;0.16369342803955078;-0.012995858676731586;0.5664048790931702
8;0.5993896722793579;0.9284152388572693;0.9533576965332031;0.3096925914287567;0.6760336756706238;0.5849483609199524;-1.8292104540384507e-38;0.8627516627311707;0.5587772130966187;0.9097413420677185;0.6023908257484436;0.19563832879066467;0.18162105977535248;0.5636714696884155;0.16685381531715393;0.003434743732213974;0.5248634815216064
9;0.6402056813240051;0.9668807983398438;0.991651177406311;0.3524414002895355;0.6062923669815063;0.6255843639373779;6.162910646100545e-42;0.9016714692115784;0.5005922913551331;0.9193931818008423;0.541703999042511;0.18979687988758087;0.17581650614738464;0.5214552879333496;0.1733996421098709;0.0447264239192009;0.4890638291835785
10;0.6866959929466248;1.0113469362258911;1.0359642505645752;0.4008326232433319;0.541863739490509;0.6722738742828369;6.162910646100545e-42;0.9465460181236267;0.4638473391532898;0.904195249080658;0.629784345626831;0.18356621265411377;0.0509321391582489;0.5199686884880066;0.16903722286224365;0.05776750296354294;0.45137128233909607
