train_batch;infer_batch;tid;pred;truth;probs
1;5;43;2;0;[[0.27049851417541504, 0.36082813143730164, 0.36867329478263855]]
1;6;51;1;0;[[0.2721594274044037, 0.37297186255455017, 0.35486871004104614]]
1;32;318;3;2;[[0.205433651804924, 0.21284545958042145, 0.15931610763072968, 0.21415825188159943, 0.20824655890464783]]
1;36;350;1;2;[[0.20617099106311798, 0.21383972465991974, 0.21171602606773376, 0.21361692249774933, 0.1546563059091568]]
1;42;410;2;3;[[0.17273394763469696, 0.17601394653320312, 0.17601394653320312, 0.12475348263978958, 0.17574141919612885, 0.17474322021007538]]
1;50;492;1;3;[[0.16610004007816315, 0.17860056459903717, 0.1761305332183838, 0.12750762701034546, 0.17591948807239532, 0.1757417470216751]]
1;53;521;2;3;[[0.17087870836257935, 0.17298638820648193, 0.17608892917633057, 0.1326458603143692, 0.17589043080806732, 0.17150971293449402]]
1;59;587;5;3;[[0.17381581664085388, 0.17368759214878082, 0.17568139731884003, 0.12511369585990906, 0.17539924383163452, 0.17630228400230408]]
1;89;889;5;3;[[0.16879115998744965, 0.175767719745636, 0.17404060065746307, 0.12319169193506241, 0.17777754366397858, 0.18043126165866852]]
2;5;43;2;0;[[0.2896920442581177, 0.3473166525363922, 0.3629912734031677]]
2;6;51;1;0;[[0.2857055366039276, 0.3660581111907959, 0.3482363224029541]]
2;32;318;3;2;[[0.20686575770378113, 0.20800624787807465, 0.16558566689491272, 0.21152855455875397, 0.2080138772726059]]
2;36;350;1;2;[[0.207647904753685, 0.21175411343574524, 0.1974259465932846, 0.21165508031845093, 0.171517014503479]]
2;38;374;1;2;[[0.20650063455104828, 0.211213618516922, 0.16000811755657196, 0.21120427548885345, 0.21107344329357147]]
2;42;410;2;3;[[0.17214514315128326, 0.1744007021188736, 0.1744007021188736, 0.1324620544910431, 0.17429575324058533, 0.17229561507701874]]
2;50;492;1;3;[[0.16836115717887878, 0.17542630434036255, 0.1745198518037796, 0.13504962623119354, 0.1744280308485031, 0.17221496999263763]]
2;53;521;2;3;[[0.17112840712070465, 0.17271319031715393, 0.17459186911582947, 0.13646891713142395, 0.17450541257858276, 0.17059220373630524]]
2;59;587;5;3;[[0.17276141047477722, 0.1718793511390686, 0.1743859499692917, 0.13209067285060883, 0.17428283393383026, 0.1745997965335846]]
2;66;653;1;0;[[0.16286766529083252, 0.1746784746646881, 0.1735817939043045, 0.14111675322055817, 0.1731691062450409, 0.1745861917734146]]
2;89;889;5;3;[[0.17000195384025574, 0.17436011135578156, 0.17331302165985107, 0.13275887072086334, 0.1734757125377655, 0.1760903000831604]]
1;3;20;1;0;[0.42242076992988586, 0.5775792002677917]
1;3;21;1;0;[0.42213043570518494, 0.5778695344924927]
1;3;22;1;0;[0.42227041721343994, 0.5777296423912048]
1;3;23;1;0;[0.42242076992988586, 0.5775792002677917]
1;3;25;1;0;[0.42242076992988586, 0.5775792002677917]
1;3;26;1;0;[0.4221304655075073, 0.5778695940971375]
1;3;27;1;0;[0.42227041721343994, 0.5777296423912048]
1;3;28;1;0;[0.42213043570518494, 0.5778695344924927]
1;3;29;1;0;[0.42213043570518494, 0.5778695344924927]
1;4;30;1;0;[0.41578614711761475, 0.5842137932777405]
1;4;31;1;0;[0.41588228940963745, 0.5841177105903625]
1;4;32;1;0;[0.41578614711761475, 0.5842137932777405]
1;4;33;1;0;[0.41578614711761475, 0.5842137932777405]
1;4;34;1;0;[0.41578614711761475, 0.5842137932777405]
1;4;35;1;0;[0.41578614711761475, 0.5842137932777405]
1;4;36;1;0;[0.41578614711761475, 0.5842137932777405]
1;4;37;1;0;[0.41578614711761475, 0.5842137932777405]
1;4;38;1;0;[0.41578614711761475, 0.5842137932777405]
1;4;39;1;0;[0.41578614711761475, 0.5842137932777405]
1;5;40;1;0;[0.26044216752052307, 0.37216395139694214, 0.36739382147789]
1;5;41;1;0;[0.26044216752052307, 0.37216395139694214, 0.36739382147789]
1;5;42;1;0;[0.258208304643631, 0.373288094997406, 0.3685035705566406]
1;5;43;2;0;[0.27049851417541504, 0.36082813143730164, 0.36867329478263855]
1;5;44;1;0;[0.25814956426620483, 0.3709987998008728, 0.37085166573524475]
1;5;45;1;0;[0.25814956426620483, 0.3709987998008728, 0.37085166573524475]
1;5;46;1;0;[0.25584229826927185, 0.3721526563167572, 0.37200504541397095]
1;5;47;2;0;[0.251241534948349, 0.3682509958744049, 0.3805074989795685]
1;5;48;1;0;[0.25814956426620483, 0.3709987998008728, 0.37085166573524475]
1;5;49;1;0;[0.28776422142982483, 0.3724331557750702, 0.3398025929927826]
1;6;50;2;0;[0.24982768297195435, 0.3695008158683777, 0.38067150115966797]
1;6;51;1;0;[0.2721594274044037, 0.37297186255455017, 0.35486871004104614]
1;6;52;1;0;[0.2581024765968323, 0.37121620774269104, 0.3706813156604767]
1;6;53;1;0;[0.2581024765968323, 0.37121620774269104, 0.3706813156604767]
1;6;54;1;0;[0.2581024765968323, 0.37121620774269104, 0.3706813156604767]
1;6;55;1;0;[0.2579316198825836, 0.3711912930011749, 0.37087705731391907]
1;6;56;1;0;[0.260407030582428, 0.37154367566108704, 0.36804935336112976]
1;6;57;2;0;[0.25646278262138367, 0.3709735572338104, 0.3725636899471283]
1;6;58;1;0;[0.2579316198825836, 0.3711912930011749, 0.37087705731391907]
1;6;59;1;0;[0.2579316198825836, 0.3711912930011749, 0.37087705731391907]
1;7;60;1;0;[0.2613692879676819, 0.37185609340667725, 0.3667745888233185]
