train_batch;infer_batch;tid;pred;truth;probs
1;1;0;1;0;[0.3956913948059082, 0.6043086051940918]
1;1;1;1;0;[0.3956913948059082, 0.6043086051940918]
1;1;2;1;0;[0.3956913948059082, 0.6043086051940918]
1;1;3;1;0;[0.3956913948059082, 0.6043086051940918]
1;1;4;1;0;[0.3956913948059082, 0.6043086051940918]
1;1;5;1;0;[0.3956913948059082, 0.6043086051940918]
1;1;6;1;0;[0.3956913948059082, 0.6043086051940918]
1;1;7;1;0;[0.3956913948059082, 0.6043086051940918]
1;2;10;1;0;[0.4491986334323883, 0.5508012771606445, 0.0]
1;2;11;1;0;[0.4491986334323883, 0.5508012771606445, 0.0]
1;2;12;1;0;[0.4491986334323883, 0.5508012771606445, 0.0]
1;2;13;1;0;[0.34004294872283936, 0.6599569916725159, 0.0]
1;2;14;1;0;[0.34004294872283936, 0.6599569916725159, 0.0]
1;2;15;1;0;[0.43222832679748535, 0.5677717328071594, 0.0]
1;2;16;1;0;[0.39056989550590515, 0.6094301342964172, 0.0]
1;2;17;1;0;[0.43222832679748535, 0.5677717328071594, 0.0]
1;2;18;1;0;[0.43222832679748535, 0.5677717328071594, 0.0]
1;3;20;2;1;[0.24226436018943787, 0.37733906507492065, 0.3803965449333191, 0.0]
1;3;21;2;1;[0.255049467086792, 0.362432599067688, 0.38251790404319763, 0.0]
1;3;22;2;1;[0.3487569987773895, 0.2647414207458496, 0.38650158047676086, 0.0]
1;3;23;2;1;[0.24226436018943787, 0.37733906507492065, 0.3803965449333191, 0.0]
1;3;27;2;1;[0.2717246115207672, 0.3537599742412567, 0.3745154142379761, 0.0]
1;3;29;2;1;[0.2820306718349457, 0.3451769948005676, 0.3727923631668091, 0.0]
1;4;30;1;0;[0.44169607758522034, 0.558303952217102, 0.0, 0.0]
1;4;31;1;0;[0.42563220858573914, 0.5743677616119385, 0.0, 0.0]
1;4;32;2;1;[0.34581100940704346, 0.27422618865966797, 0.37996283173561096, 0.0]
1;4;33;0;1;[0.4160761535167694, 0.2149377018213272, 0.3689860701560974, 0.0]
1;4;34;0;1;[0.3907189667224884, 0.23522278666496277, 0.37405821681022644, 0.0]
1;4;35;1;0;[0.44169607758522034, 0.558303952217102, 0.0, 0.0]
1;4;39;2;1;[0.2659108638763428, 0.351128488779068, 0.38296058773994446, 0.0]
1;5;42;0;1;[[0.40265464782714844, 0.26131948828697205, 0.3360258936882019, 0.0, 0.0]]
1;6;58;4;0;[0.20552632212638855, 0.20605260133743286, 0.1958775818347931, 0.17587096989154816, 0.21667246520519257]
1;6;59;2;0;[0.1954236626625061, 0.20356662571430206, 0.24345903098583221, 0.14349234104156494, 0.21405835449695587]
1;7;66;3;0;[0.17927032709121704, 0.14150530099868774, 0.1777297407388687, 0.18552987277507782, 0.13868938386440277, 0.17727532982826233]
1;7;67;5;0;[0.19796888530254364, 0.14008094370365143, 0.17594075202941895, 0.16107995808124542, 0.12041229009628296, 0.2045171558856964]
1;8;72;5;0;[0.17416177690029144, 0.17191074788570404, 0.16257023811340332, 0.1582363098859787, 0.1542688012123108, 0.1788521260023117]
1;8;73;5;0;[0.17055538296699524, 0.17185312509536743, 0.15851528942584991, 0.17086496949195862, 0.14941906929016113, 0.17879216372966766]
1;8;75;4;0;[0.1822187900543213, 0.17091690003871918, 0.14595071971416473, 0.1349935382604599, 0.18810205161571503, 0.17781811952590942]
1;8;79;5;0;[0.1737414300441742, 0.17196883261203766, 0.16397446393966675, 0.159603089094162, 0.15485313534736633, 0.17585907876491547]
1;9;80;5;0;[0.16770341992378235, 0.17273826897144318, 0.17077456414699554, 0.15466773509979248, 0.1551622599363327, 0.17895381152629852]
1;9;82;2;0;[0.16477461159229279, 0.17233934998512268, 0.18676872551441193, 0.15196658670902252, 0.1456102579832077, 0.17854054272174835]
1;9;87;2;0;[0.1736074835062027, 0.14882893860340118, 0.18045379221439362, 0.14534834027290344, 0.1732131838798523, 0.17854826152324677]
1;9;88;2;0;[0.1736074835062027, 0.14882893860340118, 0.18045379221439362, 0.14534834027290344, 0.1732131838798523, 0.17854826152324677]
1;10;91;3;0;[0.17513175308704376, 0.15191274881362915, 0.15858975052833557, 0.18158479034900665, 0.15304675698280334, 0.17973420023918152, 0.0]
1;10;93;2;0;[0.1593480259180069, 0.14694879949092865, 0.20045602321624756, 0.1690567582845688, 0.15032926201820374, 0.17386116087436676, 0.0]
1;12;119;5;0;[[0.1727277934551239, 0.16547657549381256, 0.16287238895893097, 0.15565313398838043, 0.1658758670091629, 0.17739419639110565, 0.0]]
1;13;127;5;0;[[0.15831248462200165, 0.1772068440914154, 0.16818451881408691, 0.16096702218055725, 0.15415611863136292, 0.1811729222536087, 0.0, 0.0]]
1;14;133;1;0;[0.4916631877422333, 0.5083368420600891, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;14;136;1;0;[0.49708449840545654, 0.5029155611991882, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;15;140;1;0;[[0.12702049314975739, 0.14048103988170624, 0.12130751460790634, 0.1347094476222992, 0.1317012906074524, 0.11364507675170898, 0.10983823239803314, 0.1212969720363617, 0.0]]
1;16;151;4;0;[[0.1712266057729721, 0.16702313721179962, 0.14988969266414642, 0.17011022567749023, 0.17991261184215546, 0.16183769702911377, 0.0, 0.0, 0.0]]
1;18;170;3;1;[0.15740281343460083, 0.17394685745239258, 0.16491109132766724, 0.17959655821323395, 0.15119686722755432, 0.17294585704803467, 0.0, 0.0, 0.0, 0.0, 0.0]
1;18;176;3;1;[0.15176476538181305, 0.17581650614738464, 0.1695890575647354, 0.17742355167865753, 0.1626705527305603, 0.16273561120033264, 0.0, 0.0, 0.0, 0.0, 0.0]
1;18;178;5;1;[0.1506427675485611, 0.1726190596818924, 0.17779365181922913, 0.17600829899311066, 0.14448519051074982, 0.1784510761499405, 0.0, 0.0, 0.0, 0.0, 0.0]
1;22;212;1;3;[0.24235333502292633, 0.27696385979652405, 0.21422021090984344, 0.2664625644683838, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;22;213;1;3;[0.2392508089542389, 0.27741506695747375, 0.24157123267650604, 0.2417629063129425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
