train_batch;infer_batch;tid;pred;truth;probs
1;4;31;8;0;[[0.07283390313386917, 0.10720200091600418, 0.10720200091600418, 0.10768222063779831, 0.10724792629480362, 0.1165475845336914, 0.1096419170498848, 0.12017880380153656, 0.15146365761756897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;5;42;5;0;[[0.09787672758102417, 0.14658783376216888, 0.14658783376216888, 0.14658783376216888, 0.14300401508808136, 0.16946378350257874, 0.1498919278383255, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;12;113;4;5;[[0.1561156064271927, 0.1627054065465927, 0.14115440845489502, 0.1464850902557373, 0.16276538372039795, 0.09377259761095047, 0.13700148463249207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;16;157;5;2;[0.1458834558725357, 0.18361210823059082, 0.06851141154766083, 0.13259564340114594, 0.14037224650382996, 0.1961628645658493, 0.13286231458187103, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;16;159;0;2;[0.2219664305448532, 0.1857331097126007, 0.09275572001934052, 0.17370487749576569, 0.15971994400024414, 0.16611990332603455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;17;162;6;3;[0.13075342774391174, 0.16173632442951202, 0.12505477666854858, 0.0647335797548294, 0.11674028635025024, 0.11237771064043045, 0.16862091422080994, 0.11998287588357925, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;17;164;6;2;[0.13242052495479584, 0.1525193750858307, 0.06913745403289795, 0.11789171397686005, 0.11083486676216125, 0.13984200358390808, 0.15959253907203674, 0.11776146292686462, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;22;216;0;3;[0.22907015681266785, 0.1549120396375656, 0.18480759859085083, 0.10577277094125748, 0.16228248178958893, 0.16315492987632751, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;22;218;0;3;[0.21440880000591278, 0.15849225223064423, 0.1974765956401825, 0.0949847400188446, 0.16926883161067963, 0.16536875069141388, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;23;221;3;1;[[0.20749038457870483, 0.07334348559379578, 0.19331838190555573, 0.21783368289470673, 0.15317906439304352, 0.15483498573303223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;24;238;2;3;[[0.23075787723064423, 0.1761879324913025, 0.23337441682815552, 0.07632908970117569, 0.1573253870010376, 0.1260252445936203, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;25;247;10;0;[[0.03117554634809494, 0.10624988377094269, 0.07790704071521759, 0.08163055777549744, 0.07716298848390579, 0.10296057909727097, 0.07741492241621017, 0.08619579672813416, 0.09480061382055283, 0.07597724348306656, 0.1125250831246376, 0.07599969953298569, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;34;332;3;6;[[0.12020447105169296, 0.1100413128733635, 0.10989222675561905, 0.12546545267105103, 0.1101042777299881, 0.11010437458753586, 0.07132618874311447, 0.11851198226213455, 0.1243496686220169, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;36;356;6;3;[[0.1203528344631195, 0.13263221085071564, 0.10869982838630676, 0.04994872957468033, 0.10804163664579391, 0.12519699335098267, 0.14126034080982208, 0.10687386989593506, 0.10699360072612762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;46;456;3;0;[[0.10095188766717911, 0.21174712479114532, 0.18102718889713287, 0.2803933620452881, 0.22588035464286804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;50;493;1;10;[[0.08469869941473007, 0.10683000087738037, 0.0793369859457016, 0.08291735500097275, 0.07759292423725128, 0.10351257771253586, 0.07883744686841965, 0.0859895870089531, 0.09531610459089279, 0.07756992429494858, 0.04456669092178345, 0.08283164352178574, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;53;526;0;2;[[0.2553653419017792, 0.23736250400543213, 0.09951382875442505, 0.21442051231861115, 0.1933377981185913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;58;572;10;8;[[0.08737457543611526, 0.10227993875741959, 0.07765615731477737, 0.08088456839323044, 0.07630240172147751, 0.10527399182319641, 0.07850269228219986, 0.08719691634178162, 0.03469575196504593, 0.07972952723503113, 0.11380109190940857, 0.07630233466625214, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;75;744;10;5;[[0.07443135231733322, 0.0851660817861557, 0.08165905624628067, 0.07427249103784561, 0.07242313772439957, 0.03787705674767494, 0.06997022777795792, 0.0763031542301178, 0.0887034609913826, 0.0711095929145813, 0.12558026611804962, 0.07113061100244522, 0.07137352973222733, 0.0, 0.0, 0.0, 0.0]]
1;85;846;1;5;[[0.14820316433906555, 0.17886164784431458, 0.1411340832710266, 0.16654370725154877, 0.15639661252498627, 0.07389314472675323, 0.13496758043766022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;87;868;0;3;[[0.20784607529640198, 0.16906990110874176, 0.20166122913360596, 0.09517481923103333, 0.16276463866233826, 0.16348330676555634, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;88;872;0;2;[[0.25433239340782166, 0.21189290285110474, 0.10938042402267456, 0.22062887251377106, 0.2037653923034668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;16;157;5;2;[[0.11692821234464645, 0.17318305373191833, 0.17707256972789764, 0.10153787583112717, 0.12841448187828064, 0.20130640268325806, 0.10155737400054932, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;23;221;3;1;[[0.19706836342811584, 0.16858403384685516, 0.16892439126968384, 0.21891659498214722, 0.1295550912618637, 0.11695152521133423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;24;238;2;3;[[0.21945437788963318, 0.13897761702537537, 0.22392608225345612, 0.1788354218006134, 0.12180580943822861, 0.11700069159269333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;25;247;10;0;[[0.07518138736486435, 0.11098416894674301, 0.06639669835567474, 0.07130039483308792, 0.08147678524255753, 0.10538771748542786, 0.06512830406427383, 0.07780382037162781, 0.09262625128030777, 0.06309617310762405, 0.12750354409217834, 0.06311487406492233, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;36;356;6;3;[[0.10268711298704147, 0.1281762570142746, 0.0857149064540863, 0.15266847610473633, 0.0903070941567421, 0.11438793689012527, 0.16115444898605347, 0.0824466198682785, 0.08245712518692017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;53;526;3;2;[[0.21772943437099457, 0.21545082330703735, 0.1990523487329483, 0.2306390255689621, 0.13712836802005768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;58;572;10;8;[[0.07915230840444565, 0.10363102704286575, 0.06549043953418732, 0.06958489865064621, 0.06295448541641235, 0.1084432452917099, 0.06594306230545044, 0.0785917416214943, 0.09014157205820084, 0.08495087176561356, 0.12817256152629852, 0.06294378638267517, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;75;744;10;5;[[0.06376614421606064, 0.08388205617666245, 0.07029256224632263, 0.06318985670804977, 0.05966394394636154, 0.1157645732164383, 0.06072208657860756, 0.066616490483284, 0.08502756059169769, 0.057939328253269196, 0.15686766803264618, 0.05795649439096451, 0.05831124633550644, 0.0, 0.0, 0.0, 0.0]]
1;5;42;5;0;[[0.07597503811120987, 0.1561477780342102, 0.1561477780342102, 0.1561477780342102, 0.21382033824920654, 0.24176134169101715]]
1;12;113;0;2;[[0.30855855345726013, 0.2624664306640625, 0.16170376539230347, 0.2672712802886963, 0.0, 0.0, 0.0, 0.0]]
1;17;164;5;2;[[0.18049943447113037, 0.16365250945091248, 0.06139140576124191, 0.13809092342853546, 0.1324838101863861, 0.18602895736694336, 0.1378530114889145, 0.0, 0.0]]
1;22;218;0;1;[[0.34042516350746155, 0.11554859578609467, 0.27931487560272217, 0.2647113800048828, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;23;221;1;0;[[0.16220104694366455, 0.46297863125801086, 0.3748203217983246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;24;238;0;1;[[0.45185205340385437, 0.11208045482635498, 0.2635000944137573, 0.1725674420595169, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;25;247;1;0;[[0.060963209718465805, 0.20666731894016266, 0.11893559992313385, 0.1505153477191925, 0.15096396207809448, 0.15169037878513336, 0.16026420891284943, 0.0, 0.0, 0.0, 0.0]]
1;36;356;1;2;[[0.24423764646053314, 0.255014568567276, 0.0828092098236084, 0.18151329457759857, 0.23642529547214508, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;46;456;2;0;[[0.17780520021915436, 0.33874842524528503, 0.4834464490413666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;50;493;1;7;[[0.12172029912471771, 0.14778916537761688, 0.10952853411436081, 0.10490328818559647, 0.12928947806358337, 0.11625967174768448, 0.12000133097171783, 0.04959135130047798, 0.10091692209243774, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;53;526;2;1;[[0.3077493906021118, 0.09854992479085922, 0.33641090989112854, 0.25728970766067505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;58;572;8;6;[[0.11013464629650116, 0.1223895400762558, 0.09667373448610306, 0.09298565238714218, 0.11444905400276184, 0.11129552125930786, 0.0352373905479908, 0.09263092279434204, 0.1312037706375122, 0.09299978613853455, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;75;744;10;5;[[0.077129065990448, 0.08737808465957642, 0.08654913306236267, 0.07713998109102249, 0.07518366724252701, 0.033595532178878784, 0.06743019819259644, 0.07943200320005417, 0.09222117066383362, 0.07331494241952896, 0.10386811941862106, 0.07334377616643906, 0.07341428101062775, 0.0, 0.0, 0.0, 0.0]]
1;85;846;1;4;[[0.18327951431274414, 0.2181985229253769, 0.17483095824718475, 0.18651635944843292, 0.07134296000003815, 0.1658317595720291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;87;868;2;3;[[0.23127152025699615, 0.2152804434299469, 0.24731388688087463, 0.09990129619836807, 0.20623284578323364, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;88;872;0;2;[[0.23396436870098114, 0.2237497866153717, 0.09425576031208038, 0.23344285786151886, 0.2145872563123703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;17;164;5;2;[[0.16567766666412354, 0.17902405560016632, 0.09726440906524658, 0.12022416293621063, 0.13350646197795868, 0.18401023745536804, 0.12029296159744263, 0.0, 0.0]]
2;22;218;0;1;[[0.30887290835380554, 0.20250636339187622, 0.2786812484264374, 0.20993947982788086, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;23;221;1;0;[[0.24069711565971375, 0.42108944058418274, 0.33821338415145874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;24;238;0;1;[[0.4304088354110718, 0.1738562434911728, 0.21574002504348755, 0.1799948662519455, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;25;247;1;0;[[0.09632135182619095, 0.2092970460653305, 0.1357356160879135, 0.13690198957920074, 0.1353110820055008, 0.13605128228664398, 0.1503816843032837, 0.0, 0.0, 0.0, 0.0]]
2;36;356;1;2;[[0.21937374770641327, 0.24766451120376587, 0.1405111402273178, 0.17360436916351318, 0.21884620189666748, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;46;456;2;0;[[0.30331408977508545, 0.2899867296218872, 0.40669921040534973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;50;493;1;7;[[0.11580665409564972, 0.14612777531147003, 0.09973672032356262, 0.09409818053245544, 0.11969044059515, 0.10576889663934708, 0.11344198137521744, 0.09462415426969528, 0.1107051745057106, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;53;526;2;1;[[0.29086756706237793, 0.16573478281497955, 0.31192532181739807, 0.23147223889827728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;58;572;8;6;[[0.10534720122814178, 0.12537144124507904, 0.0892154648900032, 0.0841340571641922, 0.10936108231544495, 0.10619235783815384, 0.05984176695346832, 0.10072735697031021, 0.1356588751077652, 0.08415047824382782, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;75;744;10;5;[[0.07416357100009918, 0.09113600105047226, 0.08059457689523697, 0.07368306815624237, 0.07046151906251907, 0.06464705616235733, 0.06884610652923584, 0.0769796147942543, 0.09197290986776352, 0.06784835457801819, 0.10413403809070587, 0.06787244975566864, 0.06766065955162048, 0.0, 0.0, 0.0, 0.0]]
2;85;846;1;4;[[0.166873499751091, 0.21341492235660553, 0.15498492121696472, 0.1689661294221878, 0.1456964612007141, 0.150064155459404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;87;868;2;3;[[0.2150406688451767, 0.17636223137378693, 0.22893857955932617, 0.19390355050563812, 0.18575498461723328, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
3;17;164;1;2;[[0.15201018750667572, 0.20903901755809784, 0.15474775433540344, 0.09659720957279205, 0.117121621966362, 0.1736937314271927, 0.09679042547941208, 0.0, 0.0]]
3;22;218;0;1;[[0.32622095942497253, 0.3177814781665802, 0.21263989806175232, 0.14335767924785614, 0.0, 0.0, 0.0, 0.0, 0.0]]
3;23;221;1;0;[[0.307201087474823, 0.38760894536972046, 0.30518993735313416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
3;24;238;0;1;[[0.4462296664714813, 0.22782522439956665, 0.15750658512115479, 0.16843850910663605, 0.0, 0.0, 0.0, 0.0, 0.0]]
3;25;247;1;0;[[0.14816099405288696, 0.23062442243099213, 0.13020513951778412, 0.11693081259727478, 0.11549665778875351, 0.11697357147932053, 0.14160838723182678, 0.0, 0.0, 0.0, 0.0]]
3;53;526;2;1;[[0.26490017771720886, 0.2651722729206085, 0.2874203622341156, 0.1825072020292282, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;1;0;1;0;[0.4964909553527832, 0.503508985042572]
1;1;1;1;0;[0.4964909553527832, 0.503508985042572]
1;1;2;1;0;[0.4964909553527832, 0.503508985042572]
1;1;3;1;0;[0.4964909553527832, 0.503508985042572]
1;1;4;1;0;[0.4964909553527832, 0.503508985042572]
1;1;5;1;0;[0.4964909553527832, 0.503508985042572]
1;1;6;1;0;[0.4964909553527832, 0.503508985042572]
1;1;7;1;0;[0.4964909553527832, 0.503508985042572]
1;1;8;1;0;[0.25698256492614746, 0.7430174350738525]
1;1;9;1;0;[0.25698256492614746, 0.7430174350738525]
1;2;10;1;0;[0.3520953953266144, 0.6479045152664185]
1;2;11;1;0;[0.3520953953266144, 0.6479045152664185]
1;2;12;1;0;[0.3520953953266144, 0.6479045152664185]
1;2;13;1;0;[0.46641457080841064, 0.5335853695869446]
1;2;14;1;0;[0.46641457080841064, 0.5335853695869446]
1;2;15;1;0;[0.3520953953266144, 0.6479045152664185]
1;2;16;1;0;[0.33581480383872986, 0.6641852855682373]
1;2;17;1;0;[0.3520953953266144, 0.6479045152664185]
1;2;18;1;0;[0.3520953953266144, 0.6479045152664185]
1;2;19;1;0;[0.3267003893852234, 0.6732996106147766]
3;58;572;8;6;[[0.1019914448261261, 0.12569200992584229, 0.07656224817037582, 0.07064343988895416, 0.10724873840808868, 0.1014041006565094, 0.0990692675113678, 0.09966425597667694, 0.14709506928920746, 0.07062947750091553, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;3;20;2;0;[0.3441001772880554, 0.3084886074066162, 0.34741121530532837, 0.0]
1;3;21;2;0;[0.3054352104663849, 0.34728237986564636, 0.34728237986564636, 0.0]
1;3;23;2;0;[0.3441001772880554, 0.3084886074066162, 0.34741121530532837, 0.0]
1;3;25;2;0;[0.3054352104663849, 0.34728237986564636, 0.34728237986564636, 0.0]
1;3;26;2;0;[0.3061698079109192, 0.34482142329216003, 0.3490087687969208, 0.0]
