batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16
1;-0.2940003275871277;-0.03357511758804321;-0.2611377239227295;-0.3685859739780426;0.28282979130744934;0.002673055976629257;-0.0535459890961647;0.03952502831816673;0.0008972898358479142;-0.24321748316287994;0.6699602007865906;-0.08923577517271042;0.5011189579963684;0.0878925696015358;-0.4684452414512634;0.08373527973890305;0.10490177571773529
2;-0.10862766951322556;0.15171486139297485;-0.07577819377183914;-0.18586662411689758;0.4447828531265259;0.18407930433750153;0.07854937016963959;0.22476738691329956;0.1645624190568924;-0.11924947798252106;0.8417240381240845;0.07359909266233444;0.6595615744590759;0.19672535359859467;-0.3187037706375122;0.1977144181728363;0.26360639929771423
3;0.018350014463067055;0.27873605489730835;0.05121184140443802;-0.07819496095180511;0.5577208995819092;0.31476858258247375;0.2017277479171753;0.3515534996986389;0.2778915762901306;-0.058514680713415146;0.9536443948745728;0.13124045729637146;0.7712997198104858;0.2927820682525635;-0.21331413090229034;0.3089408874511719;0.3767813742160797
4;0.13394542038440704;0.39372795820236206;0.16679032146930695;0.017086053267121315;0.6548229455947876;0.4334840774536133;0.31307825446128845;0.4667346179485321;0.273742139339447;-0.022177308797836304;1.0501079559326172;0.23012234270572662;0.86404949426651;0.3847922086715698;-0.10416305065155029;0.4112265110015869;0.4754441976547241
5;0.22515302896499634;0.48444220423698425;0.25794273614883423;0.10216423124074936;0.7028967142105103;0.5253180861473083;0.362956166267395;0.5573838949203491;0.32124069333076477;-0.006940072868019342;1.109159231185913;0.2805282175540924;0.9132140278816223;0.4396277070045471;-0.06867671012878418;0.45509061217308044;0.5290145874023438
6;0.2937755882740021;0.5524096488952637;0.3264676332473755;0.17022214829921722;0.7298471927642822;0.5926189422607422;0.4165491461753845;0.6253008842468262;0.356006920337677;-0.0015036753611639142;1.140282392501831;0.31485655903816223;0.9295750856399536;0.47217196226119995;-0.015031617134809494;0.4853542149066925;0.4570613503456116
7;0.34545132517814636;0.6032519936561584;0.3780246675014496;0.22210988402366638;0.7442340850830078;0.6430178880691528;0.4650425314903259;0.6760207414627075;0.380397766828537;-0.00024872759240679443;1.1533238887786865;0.34690502285957336;0.9346816539764404;0.5030884146690369;-0.007253017742186785;0.5185077786445618;0.44598761200904846
8;0.3905426263809204;0.6473468542098999;0.4229835569858551;0.26802873611450195;0.7151569724082947;0.6867613196372986;0.5112617611885071;0.7199079990386963;0.368928462266922;-3.06208421534393e-05;1.108636736869812;0.3348792791366577;0.903174102306366;0.49673327803611755;-0.0016601659590378404;0.5332300662994385;0.44031453132629395
9;0.43044865131378174;0.6861119866371155;0.46273836493492126;0.3089504539966583;0.6713151335716248;0.7250760197639465;0.5533049702644348;0.7584258317947388;0.35417062044143677;-2.715734808589332e-06;1.0542182922363281;0.31555840373039246;0.8499348759651184;0.4742657542228699;0.0006169865373522043;0.5596252083778381;0.4242846667766571
10;0.4647270739078522;0.7190678119659424;0.49682191014289856;0.3447941243648529;0.6788783669471741;0.7579789161682129;0.5769442319869995;0.7910588979721069;0.3646160662174225;-1.6654145440497814e-07;1.0486018657684326;0.3405032455921173;0.8039750456809998;0.4685179591178894;0.011250149458646774;0.5795236229896545;0.4467087984085083
11;0.4942663609981537;0.7470731139183044;0.5261562466621399;0.37572869658470154;0.6848300099372864;0.7860593795776367;0.5878530740737915;0.81867516040802;0.38554638624191284;-6.706107669174344e-09;1.062922477722168;0.36283349990844727;0.7994241714477539;0.4903362989425659;0.03309420496225357;0.5830127596855164;0.4694529175758362
12;0.5219794511795044;0.773058295249939;0.5536178946495056;0.4046594798564911;0.6815845370292664;0.8118831515312195;0.5999341607093811;0.8442004323005676;0.3909308612346649;-1.659675175069708e-10;1.0707521438598633;0.36362990736961365;0.7831318378448486;0.4826643466949463;0.05395674332976341;0.5872828960418701;0.4676239788532257
13;0.5648930668830872;0.8144079446792603;0.5963387489318848;0.4512946605682373;0.5766992568969727;0.8534901142120361;0.6575609445571899;0.8850963115692139;0.3220524489879608;-2.3143338374193023e-12;0.9899719953536987;0.2820916175842285;0.703081488609314;0.4218592047691345;0.06072340905666351;0.563709557056427;0.3930845260620117
14;0.5975205898284912;0.8451225757598877;0.6287268996238708;0.4854198396205902;0.49535682797431946;0.8837783336639404;0.695477306842804;0.9152856469154358;0.2692826986312866;-1.613021273895541e-14;0.9221073389053345;0.22957377135753632;0.631186842918396;0.37247270345687866;0.048099711537361145;0.5512152910232544;0.33868643641471863
15;0.5537675619125366;0.7997634410858154;0.5871471166610718;0.42386728525161743;0.30654528737068176;0.8435961008071899;0.6019724607467651;0.8697676062583923;0.08628130704164505;-4.698418304781209e-17;0.7764183282852173;0.0796983614563942;0.483243852853775;0.17366009950637817;-0.12921741604804993;0.5118445158004761;0.1843099445104599
16;0.49592024087905884;0.7410025000572205;0.5322912335395813;0.3403492867946625;0.11790347099304199;0.7510523200035095;0.4724225401878357;0.8110242486000061;-0.09423479437828064;-9.048579773271001e-20;0.642306923866272;-0.11035910993814468;0.3043892979621887;0.0339009054005146;-0.3109888434410095;0.43974360823631287;0.012402240186929703
17;0.46697697043418884;0.7111342549324036;0.49660366773605347;0.2906617820262909;-0.013640751130878925;0.6938832998275757;0.3858107030391693;0.7809784412384033;-0.21597197651863098;-3.980625575447607e-23;0.5492569208145142;-0.252450168132782;0.16463321447372437;-0.08230959624052048;-0.4113582670688629;0.3248215615749359;-0.11394275724887848
18;0.4714803993701935;0.7138163447380066;0.5007706880569458;0.29428955912590027;-0.03537712246179581;0.6939961910247803;0.3936237692832947;0.7832058668136597;-0.2334344983100891;8.16518799966368e-28;0.5166507959365845;-0.27210572361946106;0.13916531205177307;-0.10480441898107529;-0.4382428526878357;0.2934838533401489;-0.13750071823596954
19;0.4784429967403412;0.7187806963920593;0.5074025392532349;0.2994830310344696;-0.04876972362399101;0.6962130665779114;0.39829832315444946;0.7876864075660706;-0.24585488438606262;-9.08802159801161e-33;0.4883285462856293;-0.28381258249282837;0.11112038046121597;-0.11991249024868011;-0.4318641424179077;0.2889968156814575;-0.15148769319057465
20;0.491989403963089;0.7305174469947815;0.520820677280426;0.29413729906082153;-0.0434994176030159;0.7077121138572693;0.38806992769241333;0.7987469434738159;-0.1960098147392273;-3.247869044518402e-37;0.4540756940841675;-0.2152816653251648;0.13917885720729828;-0.11879822611808777;-0.4522184133529663;0.3161679208278656;-0.1268300861120224
