batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16
1;0.6166958212852478;0.09950735419988632;-0.09214966744184494;0.0007245782762765884;0.6168921589851379;0.33543676137924194;0.31884634494781494;0.2029159963130951;-0.1295141875743866;-0.19383014738559723;-0.0637926235795021;-0.054093144834041595;-0.3279840648174286;-0.37018829584121704;0.40752696990966797;-0.2601609230041504;0.4428043067455292
2;0.5645886659622192;0.24348586797714233;0.05858467519283295;0.06587158143520355;0.7146753668785095;0.46605122089385986;0.40955299139022827;0.34190255403518677;-0.022350506857037544;-0.04154347628355026;0.08493348211050034;0.11655519902706146;-0.18951135873794556;-0.1831923872232437;0.5987139940261841;-0.17567329108715057;0.6296288371086121
3;0.593906044960022;0.09358523041009903;0.17307737469673157;0.09922516345977783;0.7706058621406555;0.5492150783538818;0.4415908753871918;0.19496293365955353;0.10020506381988525;-0.17568451166152954;0.09884566068649292;0.24614381790161133;-0.09614303708076477;-0.013953417539596558;0.6999519467353821;-0.04513245075941086;0.7984688878059387
4;0.6117008328437805;0.12244769185781479;0.2591845989227295;0.12955470383167267;0.7654751539230347;0.5912898778915405;0.5179573893547058;0.25724276900291443;-0.06880984455347061;-0.11864530295133591;0.171244814991951;0.37205350399017334;-0.0419270321726799;0.13898766040802002;0.8204723000526428;0.033948417752981186;0.9507360458374023
5;0.6682064533233643;0.14447395503520966;0.3267841339111328;0.15407584607601166;0.7512888312339783;0.3940304219722748;0.5391249656677246;0.28178417682647705;-0.03696762025356293;-0.07608485221862793;0.23717056214809418;0.49431413412094116;-0.015468690544366837;0.28811609745025635;0.8496953248977661;0.1200052797794342;1.0991219282150269
6;0.682278573513031;0.1674603670835495;0.024607809260487556;0.19314990937709808;0.7440625429153442;0.41730383038520813;0.538286566734314;0.33342570066452026;-0.0006279360968619585;-0.054610732942819595;0.29841333627700806;0.612647294998169;-0.004764925222843885;0.41815394163131714;0.9194951057434082;0.20515656471252441;1.2282538414001465
7;0.6891331076622009;0.18359974026679993;0.04851632937788963;0.21096226572990417;0.6806689500808716;0.4418688118457794;0.4061819314956665;0.3925391435623169;0.02555157244205475;-0.03642502427101135;0.3253180980682373;0.7005353569984436;-0.001208182773552835;0.5327833294868469;0.8648656606674194;0.28055277466773987;1.3416236639022827
8;0.6946467757225037;0.19903209805488586;0.07045035809278488;0.24929574131965637;0.617272675037384;0.47847363352775574;0.4750388264656067;0.40720826387405396;0.054263290017843246;-0.01773955300450325;0.34435972571372986;0.7805765271186829;-0.0002478312817402184;0.6348194479942322;0.8854774832725525;0.35267317295074463;1.4417129755020142
9;0.7170435190200806;0.20966686308383942;0.08816537261009216;0.27415958046913147;0.5829123854637146;0.4770151674747467;0.48171570897102356;0.41754674911499023;0.07751625776290894;-0.0035698944702744484;0.3482896089553833;0.8394286632537842;-4.0258062654174864e-05;0.7213855981826782;0.9127599000930786;0.41706565022468567;1.525829553604126
10;0.7050062417984009;0.20790137350559235;0.11864954233169556;0.29890158772468567;0.5200828909873962;0.48957473039627075;0.47569048404693604;0.41811999678611755;0.12017528712749481;0.004948371555656195;0.33914464712142944;0.9162412285804749;-5.045800662628608e-06;0.8377535343170166;0.9327070116996765;0.4480798840522766;1.6405060291290283
11;0.6935734152793884;0.20819364488124847;0.15051370859146118;0.30036064982414246;0.4527318775653839;0.47491133213043213;0.4665311872959137;0.41886746883392334;0.13626202940940857;0.01662410795688629;0.3324911892414093;0.9815110564231873;-6.076552949707548e-07;0.9311036467552185;0.9689272046089172;0.46154212951660156;1.7319612503051758
12;0.6809806823730469;0.20985344052314758;0.16210442781448364;0.30230456590652466;0.4102688133716583;0.4595572054386139;0.4591537117958069;0.420488566160202;0.1425555944442749;0.05402443930506706;0.30511152744293213;1.0237599611282349;-4.2426353985547394e-08;1.019148349761963;0.9704581499099731;0.4797174036502838;1.8171300888061523
13;0.6612114906311035;0.2041604369878769;0.16473469138145447;0.2986113429069519;0.3502960801124573;0.4407263398170471;0.4474007189273834;0.41602805256843567;0.15287040174007416;0.06099028140306473;0.2848959267139435;0.9837296009063721;-2.044164615355726e-09;1.1258811950683594;0.9499661326408386;0.5079136490821838;1.921662449836731
14;0.641548216342926;0.24501115083694458;0.16841325163841248;0.29565271735191345;0.28902313113212585;0.5373103022575378;0.48287898302078247;0.4124474823474884;0.15387946367263794;0.06670481711626053;0.25388404726982117;1.0284768342971802;-6.418338777125498e-11;1.2105380296707153;0.973527193069458;0.5081878304481506;2.0032718181610107
15;0.6188209056854248;0.24309256672859192;0.17281484603881836;0.29077303409576416;0.3691655695438385;0.566400408744812;0.4684765934944153;0.4063873291015625;0.15193377435207367;0.0698225349187851;0.22423435747623444;1.0615074634552002;-1.2207372699496455e-12;1.3097227811813354;0.9386732578277588;0.532970666885376;2.0997366905212402
16;0.5954207181930542;0.2394297868013382;0.17669883370399475;0.2866649031639099;0.31978219747543335;0.5740079879760742;0.4523419737815857;0.4006466269493103;0.15176473557949066;0.11026518791913986;0.20177161693572998;1.091036081314087;-1.276749702055352e-14;1.3860868215560913;0.9226317405700684;0.5615804195404053;2.1723339557647705
17;0.5678220391273499;0.2323615700006485;0.20269985496997833;0.28002843260765076;0.3478563129901886;0.5581207275390625;0.4339998960494995;0.39160844683647156;0.14409051835536957;0.1624975949525833;0.17420722544193268;1.1005213260650635;-6.411234067670672e-17;1.4628640413284302;0.9243435263633728;0.567332923412323;2.245126247406006
18;0.5356644988059998;0.27184516191482544;0.23697425425052643;0.27111661434173584;0.30228379368782043;0.5349165201187134;0.41230344772338867;0.37866321206092834;0.13709044456481934;0.16469183564186096;0.15086553990840912;1.1176100969314575;-1.2526498786606565e-19;1.53598153591156;0.8962920904159546;0.5888563990592957;2.3138630390167236
19;0.5061262845993042;0.2652301788330078;0.2372552454471588;0.27690640091896057;0.2604740858078003;0.514167070388794;0.3913657069206238;0.36852240562438965;0.1273086816072464;0.1666911095380783;0.12939605116844177;1.105006456375122;-6.38997338741576e-23;1.5915414094924927;0.8862431049346924;0.6050078868865967;2.3637499809265137
20;0.47181400656700134;0.2527182996273041;0.23239681124687195;0.2662924528121948;0.22330966591835022;0.5065932273864746;0.3680858314037323;0.35392820835113525;0.1279202103614807;0.16720129549503326;0.1117096096277237;1.0438718795776367;-1.7271583740939236e-27;1.6492760181427002;0.8618443012237549;0.624444305896759;2.4155547618865967
21;0.44125062227249146;0.2433694750070572;0.22987090051174164;0.2780245542526245;0.19124644994735718;0.48372164368629456;0.3440331816673279;0.34265586733818054;0.11769593507051468;0.1677444577217102;0.09699482470750809;1.0371531248092651;-2.093515472006566e-32;1.700075626373291;0.8343601226806641;0.6288399696350098;2.459473133087158
22;0.42982861399650574;0.23323802649974823;0.22683143615722656;0.27373433113098145;0.1640440821647644;0.4605950713157654;0.3295113146305084;0.3466564416885376;0.11401340365409851;0.178391233086586;0.0842617005109787;1.0097157955169678;8.701767509221449e-37;1.7415597438812256;0.7972323894500732;0.6399586796760559;2.492964267730713
23;0.39588508009910583;0.2212182581424713;0.2207586169242859;0.2704927325248718;0.1405021995306015;0.4338294565677643;0.35197558999061584;0.3419732451438904;0.10266156494617462;0.18699778616428375;0.073626808822155;0.9844528436660767;4.9073472220655094e-42;1.7933813333511353;0.7739343047142029;0.6377698183059692;2.5368213653564453
24;0.36385780572891235;0.2094373106956482;0.2153557687997818;0.2585684657096863;0.1211850568652153;0.4286809265613556;0.3354521691799164;0.3270878791809082;0.09214916825294495;0.192633718252182;0.06529068946838379;0.9508244395256042;4.9073472220655094e-42;1.8349794149398804;0.7401705384254456;0.6415291428565979;2.569209337234497
25;0.42628398537635803;0.21184347569942474;0.20756448805332184;0.24326251447200775;0.10388904809951782;0.398708701133728;0.3063676655292511;0.3584446310997009;0.08167248219251633;0.2157825529575348;0.05818328261375427;0.9262392520904541;4.9073472220655094e-42;1.8993935585021973;0.6718930602073669;0.6222869753837585;2.62642502784729
26;0.4144596457481384;0.19711793959140778;0.19966650009155273;0.2274201363325119;0.09071239829063416;0.3697340488433838;0.2868676781654358;0.3425386846065521;0.07317260652780533;0.21103522181510925;0.0533888153731823;0.907738447189331;4.9073472220655094e-42;1.9491928815841675;0.6495894193649292;0.6179649829864502;2.6664257049560547
27;0.37887951731681824;0.17865484952926636;0.203546404838562;0.2075747549533844;0.07905983924865723;0.3774326741695404;0.2549719512462616;0.3357347249984741;0.0720335841178894;0.20176322758197784;0.04847890883684158;0.8707423210144043;4.9073472220655094e-42;2.0052027702331543;0.6033904552459717;0.5872592926025391;2.712608575820923
28;0.354775071144104;0.1649329513311386;0.20421670377254486;0.19292187690734863;0.07170239090919495;0.3523537218570709;0.22968247532844543;0.3169322907924652;0.06645520776510239;0.1952393352985382;0.045161571353673935;0.8400105237960815;4.9073472220655094e-42;2.046522378921509;0.555787980556488;0.5859247446060181;2.7420260906219482
29;0.32572638988494873;0.15193860232830048;0.19557377696037292;0.17902809381484985;0.06540417671203613;0.33951401710510254;0.20669397711753845;0.29862794280052185;0.061522722244262695;0.18885086476802826;0.042035654187202454;0.7969700694084167;4.9073472220655094e-42;2.0809683799743652;0.5134498476982117;0.5803143382072449;2.763108015060425
30;0.29885101318359375;0.14075927436351776;0.19450286030769348;0.167026549577713;0.06064589321613312;0.3306986093521118;0.18692970275878906;0.281497061252594;0.05909883603453636;0.18310466408729553;0.039752889424562454;0.7523821592330933;4.9073472220655094e-42;2.1124825477600098;0.46805885434150696;0.5728790760040283;2.7801125049591064
31;0.27409759163856506;0.13080273568630219;0.18674586713314056;0.15550610423088074;0.05735693499445915;0.306922972202301;0.16901777684688568;0.2651483714580536;0.05661243572831154;0.1776134967803955;0.0387878492474556;0.7140480875968933;4.9073472220655094e-42;2.1430301666259766;0.4242040514945984;0.5487577319145203;2.795245409011841
32;0.2514742314815521;0.11895337700843811;0.17956401407718658;0.16009357571601868;0.052804525941610336;0.28120920062065125;0.1686408817768097;0.24593089520931244;0.05249926447868347;0.1685372143983841;0.03906715661287308;0.674585223197937;4.9073472220655094e-42;2.176438331604004;0.3925643563270569;0.5277913212776184;2.812516450881958
33;0.22928927838802338;0.10924115777015686;0.1701391488313675;0.14873352646827698;0.04958127811551094;0.2657574415206909;0.16472123563289642;0.23290897905826569;0.049694549292325974;0.16126076877117157;0.04098078981041908;0.6365267038345337;4.9073472220655094e-42;2.2030696868896484;0.36047813296318054;0.5166587829589844;2.8215553760528564
34;0.20957356691360474;0.11604359745979309;0.16298329830169678;0.13791103661060333;0.04654774069786072;0.25201866030693054;0.15115226805210114;0.21774396300315857;0.047026026993989944;0.15586841106414795;0.04130993038415909;0.5978831052780151;4.9073472220655094e-42;2.2267024517059326;0.33719679713249207;0.500897228717804;2.826685905456543
35;0.19208279252052307;0.10985804349184036;0.15442125499248505;0.12818510830402374;0.043844074010849;0.23933428525924683;0.14527277648448944;0.2052764743566513;0.044582560658454895;0.14907784759998322;0.04007291421294212;0.5592052936553955;4.9073472220655094e-42;2.249164581298828;0.3092080056667328;0.48412030935287476;2.829383611679077
36;0.17956508696079254;0.1073187068104744;0.15764473378658295;0.11958620697259903;0.04285851866006851;0.22450752556324005;0.1332748830318451;0.19461625814437866;0.042128585278987885;0.1467762291431427;0.03910761699080467;0.5218144059181213;4.9073472220655094e-42;2.2782559394836426;0.2874945402145386;0.46114879846572876;2.838489532470703
37;0.19824744760990143;0.10031376779079437;0.15412656962871552;0.11694514006376266;0.04204298555850983;0.20893511176109314;0.12253983318805695;0.1800089031457901;0.040424320846796036;0.13938775658607483;0.03839294612407684;0.5035685896873474;4.9073472220655094e-42;2.307523727416992;0.2645186185836792;0.4430331587791443;2.846559524536133
38;0.18399055302143097;0.09422911703586578;0.14614176750183105;0.10991747677326202;0.04036733880639076;0.21006318926811218;0.11372652649879456;0.16739283502101898;0.038513317704200745;0.1325608789920807;0.039327431470155716;0.4756779670715332;4.9073472220655094e-42;2.332552909851074;0.24802441895008087;0.4259149134159088;2.849640369415283
39;0.1736559271812439;0.12282533198595047;0.14113137125968933;0.10613536834716797;0.03979403153061867;0.20011228322982788;0.10934964567422867;0.1697894036769867;0.03683546930551529;0.12644633650779724;0.03962929919362068;0.45686307549476624;4.9073472220655094e-42;2.353952169418335;0.2338067889213562;0.41318249702453613;2.847951650619507
40;0.16246230900287628;0.12080816179513931;0.14547649025917053;0.10105063021183014;0.03921516239643097;0.1880403608083725;0.10423463582992554;0.17253878712654114;0.03548630699515343;0.1192069947719574;0.039337705820798874;0.4382036030292511;4.9073472220655094e-42;2.382443904876709;0.22737029194831848;0.39796462655067444;2.8579771518707275
41;0.1614508181810379;0.11706342548131943;0.14084048569202423;0.09625723958015442;0.03923806548118591;0.18187512457370758;0.09972722828388214;0.16498956084251404;0.03465082868933678;0.11396924406290054;0.038833554834127426;0.4221043288707733;4.9073472220655094e-42;2.4037861824035645;0.2230190932750702;0.38403621315956116;2.8556020259857178
42;0.1587333381175995;0.11816365271806717;0.16438555717468262;0.09771867096424103;0.0382109209895134;0.177948459982872;0.11482018232345581;0.16142481565475464;0.038146063685417175;0.10820161551237106;0.03963999077677727;0.40490806102752686;4.9073472220655094e-42;2.4290475845336914;0.21519073843955994;0.37354087829589844;2.8585758209228516
43;0.15300782024860382;0.11604101210832596;0.16418570280075073;0.096175916492939;0.03789125010371208;0.19818711280822754;0.11656883358955383;0.15582811832427979;0.0398288257420063;0.1041005551815033;0.040598127990961075;0.39536571502685547;4.9073472220655094e-42;2.447803020477295;0.2109362632036209;0.3704294264316559;2.8530919551849365
44;0.14735987782478333;0.11360613256692886;0.16315273940563202;0.09797713160514832;0.037368372082710266;0.19450490176677704;0.11535968631505966;0.15039362013339996;0.03952859714627266;0.10050894320011139;0.0396980419754982;0.38653743267059326;4.9073472220655094e-42;2.4619808197021484;0.20536765456199646;0.36064690351486206;2.8439407348632812
45;0.1426459699869156;0.11244235187768936;0.1600140929222107;0.09766633063554764;0.037046682089567184;0.18971700966358185;0.11353100836277008;0.14585091173648834;0.03830753266811371;0.09834696352481842;0.03786441683769226;0.37756654620170593;4.9073472220655094e-42;2.469949960708618;0.2003895342350006;0.36349883675575256;2.8293726444244385
46;0.13932590186595917;0.1116580069065094;0.1585361808538437;0.09727029502391815;0.03641166165471077;0.1854873150587082;0.11428108811378479;0.14263533055782318;0.04050831124186516;0.09748674929141998;0.035996511578559875;0.3696489930152893;4.9073472220655094e-42;2.475893974304199;0.19616828858852386;0.36287811398506165;2.8131771087646484
47;0.13412117958068848;0.10869588702917099;0.1539882868528366;0.09468016028404236;0.035266462713479996;0.17890675365924835;0.11248764395713806;0.13742907345294952;0.041067034006118774;0.09471899271011353;0.034197453409433365;0.3624168634414673;4.9073472220655094e-42;2.4863569736480713;0.18991456925868988;0.35852956771850586;2.8024239540100098
48;0.12945598363876343;0.10573992878198624;0.16446208953857422;0.09779717773199081;0.03484389930963516;0.17305627465248108;0.10974764823913574;0.14269691705703735;0.04082934185862541;0.09181999415159225;0.033468954265117645;0.3594067096710205;4.9073472220655094e-42;2.5001368522644043;0.19603142142295837;0.3573061227798462;2.793769598007202
49;0.12547284364700317;0.10314168781042099;0.16654463112354279;0.10163633525371552;0.03418552502989769;0.1679273545742035;0.1070280596613884;0.1398761123418808;0.0396936759352684;0.08924359083175659;0.032347943633794785;0.3547619581222534;4.9073472220655094e-42;2.5114612579345703;0.1956135779619217;0.35569486021995544;2.784468173980713
50;0.11981856822967529;0.09928824752569199;0.1620463877916336;0.10013744980096817;0.03430565074086189;0.16573891043663025;0.10281817615032196;0.1340324878692627;0.06174631044268608;0.10332075506448746;0.03487144783139229;0.35092443227767944;4.9073472220655094e-42;2.5324277877807617;0.18963372707366943;0.350396066904068;2.7897837162017822
51;0.11671441793441772;0.09705594927072525;0.15894882380962372;0.09861110895872116;0.03484450280666351;0.1641361117362976;0.10086996108293533;0.13082894682884216;0.06977126002311707;0.10493943095207214;0.03643826022744179;0.3545544743537903;4.9073472220655094e-42;2.545527219772339;0.18956603109836578;0.3496220111846924;2.7838430404663086
52;0.11339153349399567;0.09471272677183151;0.15504144132137299;0.09759017825126648;0.0338534340262413;0.1604364812374115;0.10127576440572739;0.12918730080127716;0.07261176407337189;0.10313538461923599;0.035380057990550995;0.35383084416389465;4.9073472220655094e-42;2.560961961746216;0.1873706579208374;0.3446568548679352;2.781789541244507
53;0.11116751283407211;0.09303165972232819;0.15220040082931519;0.09670724719762802;0.03320503607392311;0.1574944257736206;0.10108880698680878;0.12738293409347534;0.07288870215415955;0.10540948063135147;0.0420818068087101;0.35360103845596313;4.9073472220655094e-42;2.5680339336395264;0.1847723126411438;0.34956300258636475;2.7725162506103516
54;0.10911351442337036;0.09440150111913681;0.1494496762752533;0.09511314332485199;0.03223719075322151;0.1545403152704239;0.10009025037288666;0.125323086977005;0.07271546870470047;0.10532095283269882;0.04382425174117088;0.3507537841796875;4.9073472220655094e-42;2.571688175201416;0.18237818777561188;0.3539702296257019;2.760606527328491
55;0.10723499953746796;0.09358105808496475;0.14677143096923828;0.09319370239973068;0.03126087784767151;0.15533338487148285;0.10151497274637222;0.12441640347242355;0.07184648513793945;0.10416264086961746;0.043224725872278214;0.3477058708667755;4.9073472220655094e-42;2.573629140853882;0.18564194440841675;0.3563472032546997;2.7480854988098145
56;0.1061202734708786;0.09233856201171875;0.14448778331279755;0.0914255827665329;0.03020464815199375;0.1539611518383026;0.10272400081157684;0.12331824749708176;0.07082917541265488;0.10292212665081024;0.04137152060866356;0.34589827060699463;4.9073472220655094e-42;2.571901321411133;0.18824319541454315;0.36021244525909424;2.7339160442352295
57;0.1042143777012825;0.09126271307468414;0.14142681658267975;0.08936942368745804;0.029143596068024635;0.1509401798248291;0.10129343718290329;0.12245655804872513;0.06946523487567902;0.10102497041225433;0.039870910346508026;0.3412177562713623;4.9073472220655094e-42;2.572953701019287;0.18660485744476318;0.3628041744232178;2.7233707904815674
58;0.10244887322187424;0.08979316055774689;0.13870905339717865;0.08951562643051147;0.0316564179956913;0.14813624322414398;0.10137464106082916;0.13255074620246887;0.06838192045688629;0.11105287820100784;0.040268730372190475;0.34053972363471985;4.9073472220655094e-42;2.5786361694335938;0.19229929149150848;0.36497023701667786;2.716919183731079
