train_batch;infer_batch;tid;pred;truth;probs
1;10;94;2;0;[[0.06313897669315338, 0.05720942094922066, 0.08387653529644012, 0.07913509756326675, 0.07584208250045776, 0.05723355710506439, 0.06821363419294357, 0.05723355710506439, 0.05735022947192192, 0.06783213466405869, 0.06848033517599106, 0.06735055893659592, 0.0678674578666687, 0.06793010979890823, 0.06130627542734146, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;12;111;0;3;[0.16101156175136566, 0.14951162040233612, 0.15972279012203217, 0.13314786553382874, 0.12320065498352051, 0.1502048820257187, 0.12320065498352051, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;12;119;0;1;[0.09420495480298996, 0.06654006242752075, 0.07036436349153519, 0.08694642782211304, 0.07926005870103836, 0.08010254800319672, 0.07850239425897598, 0.060436785221099854, 0.0619347058236599, 0.060436785221099854, 0.060436785221099854, 0.07264480739831924, 0.0677870661020279, 0.060402337461709976, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;15;145;0;3;[[0.1124337837100029, 0.09463758021593094, 0.07643380016088486, 0.0892065241932869, 0.09875659644603729, 0.0958259254693985, 0.09907291829586029, 0.08243680745363235, 0.07468485087156296, 0.08944181352853775, 0.08706943690776825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;22;219;3;0;[[0.11946214735507965, 0.10977433621883392, 0.1098206490278244, 0.1520136296749115, 0.1470780372619629, 0.14227254688739777, 0.1098206490278244, 0.10975805670022964, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;26;256;6;7;[[0.0873471051454544, 0.08478512614965439, 0.08727546036243439, 0.08740383386611938, 0.08727957308292389, 0.08717399835586548, 0.12697774171829224, 0.07049612700939178, 0.12481667846441269, 0.07172275334596634, 0.08472155779600143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;29;281;2;3;[[0.17531922459602356, 0.17473867535591125, 0.20041470229625702, 0.14932312071323395, 0.13388563692569733, 0.16631866991519928, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;39;380;2;0;[[0.16965776681900024, 0.1552189290523529, 0.22907103598117828, 0.21709172427654266, 0.2289605438709259, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;51;507;2;0;[[0.1866821050643921, 0.13973498344421387, 0.21294230222702026, 0.14001983404159546, 0.1809096783399582, 0.13971105217933655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;66;650;10;8;[0.05255379155278206, 0.05255379155278206, 0.0524824894964695, 0.060214631259441376, 0.06160534918308258, 0.06193023920059204, 0.05848370119929314, 0.0618249885737896, 0.06043120101094246, 0.0586346797645092, 0.06477316468954086, 0.05182059854269028, 0.06152660399675369, 0.05971582233905792, 0.0600307434797287, 0.06143340840935707, 0.05998487025499344, 0.0, 0.0, 0.0, 0.0, 0.0]
