batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16
1;0.04547610506415367;0.49066442251205444;0.6072494387626648;0.7139855027198792;-0.33842259645462036;0.5387831330299377;0.38419023156166077;0.29625624418258667;-0.044843368232250214;0.48679229617118835;-0.06400851905345917;-0.2848524749279022;0.6100468039512634;-0.17527560889720917;0.2602806091308594;0.5234822034835815;0.4268101453781128
2;0.19129371643066406;0.6359604597091675;0.7524288892745972;0.8548261523246765;-0.19804313778877258;0.6745254397392273;0.5037814378738403;0.16253462433815002;-0.00616808608174324;0.6209974884986877;0.05984367057681084;-0.14869216084480286;0.46551042795181274;-0.1483556479215622;0.34035390615463257;0.6122174859046936;0.4072098135948181
3;0.2966945767402649;0.7404380440711975;0.8563676476478577;0.935579240322113;-0.09446517378091812;0.7805880308151245;0.574724018573761;0.07667049020528793;0.057669997215270996;0.628956139087677;0.08888382464647293;-0.24596010148525238;0.37703442573547363;-0.12896913290023804;0.3825572431087494;0.700837254524231;0.3144856095314026
4;0.38501158356666565;0.8270014524459839;0.9426507949829102;1.0011438131332397;-0.022598857060074806;0.869125247001648;0.6642388701438904;0.03038932941854;-0.045378006994724274;0.6234503984451294;0.12050335109233856;-0.19878850877285004;0.27725130319595337;-0.11321841180324554;0.4397003948688507;0.7502133846282959;0.24037067592144012
5;0.46653807163238525;0.906509518623352;1.0220465660095215;1.0796465873718262;-0.05878103896975517;0.9498599767684937;0.7433976531028748;0.00995779037475586;-0.031132247298955917;0.6666514873504639;0.1226697713136673;-0.15587079524993896;0.19082890450954437;-0.09860985726118088;0.43999436497688293;0.7733993530273438;0.17411743104457855
6;0.5207143425941467;0.9585256576538086;1.074368953704834;1.1356124877929688;-0.04888724535703659;1.0014506578445435;0.7855230569839478;0.0030646834056824446;-0.02011183090507984;0.6754891276359558;0.11548531800508499;-0.12174906581640244;0.1318025290966034;-0.08618032187223434;0.41912925243377686;0.7926250100135803;0.25260797142982483
7;0.5712091326713562;1.006029725074768;1.1219106912612915;1.1848005056381226;-0.018724344670772552;1.0486512184143066;0.8223599195480347;0.0006718836375512183;-0.008804148063063622;0.6763471364974976;0.10160566121339798;-0.08794187754392624;0.08841074258089066;-0.07806386053562164;0.3988678753376007;0.7919788956642151;0.23079480230808258
8;0.6059040427207947;1.0367708206176758;1.1516246795654297;1.2111124992370605;0.004591219127178192;1.0772932767868042;0.8341322541236877;0.00011603921302594244;0.0006094910786487162;0.6736811995506287;0.08393161743879318;-0.06520761549472809;0.057736676186323166;-0.0670054629445076;0.37853607535362244;0.7749803066253662;0.18638953566551208
9;0.6349738240242004;1.0611156225204468;1.1746948957443237;1.2302074432373047;0.021197233349084854;1.099514365196228;0.8546480536460876;1.540125595056452e-05;0.008400822058320045;0.6578965187072754;0.0667751133441925;-0.04083693027496338;0.03925970941781998;-0.05595706030726433;0.35564371943473816;0.7635350823402405;0.14625398814678192
10;0.677253246307373;1.0994248390197754;1.2119646072387695;1.2694854736328125;0.033480677753686905;1.1369426250457764;0.8903610110282898;1.5237459365380346e-06;0.025669358670711517;0.6393434405326843;0.12546658515930176;-0.018712397664785385;0.43108412623405457;-0.03125312179327011;0.32913246750831604;0.7266127467155457;0.1110088974237442
11;0.7156368494033813;1.1328078508377075;1.2439160346984863;1.3018121719360352;0.03889734297990799;1.1692172288894653;0.9096179008483887;1.0825618801391101e-07;0.02968728169798851;0.6094463467597961;0.15983262658119202;-0.0023176311515271664;0.4083188772201538;-0.02268688939511776;0.31454282999038696;0.6906898617744446;0.0824006050825119
12;0.7451484203338623;1.1561938524246216;1.2655434608459473;1.320969820022583;0.03895893692970276;1.1907432079315186;0.9135275483131409;5.274456427173391e-09;0.03196953982114792;0.5843675136566162;0.16585271060466766;0.010186738334596157;0.3718772232532501;0.002751807449385524;0.2984268069267273;0.6760290265083313;0.06155377998948097
13;0.773216187953949;1.1781104803085327;1.28591787815094;1.3382701873779297;0.037588950246572495;1.2105087041854858;0.9178889393806458;1.6636980681994373e-10;0.032244302332401276;0.6157242655754089;0.14695490896701813;-0.005517894867807627;0.3465915322303772;0.008290113881230354;0.2819945216178894;0.6297275424003601;0.04528793320059776
14;0.7953681349754333;1.192743182182312;1.2986347675323486;1.3454500436782837;0.03489389270544052;1.2224029302597046;0.9247142672538757;3.1558275957743742e-12;0.03133643418550491;0.6061969995498657;0.12958741188049316;0.004427508916705847;0.30896079540252686;0.013659531250596046;0.2559164762496948;0.5905576348304749;0.03417015075683594
