train_batch;infer_batch;tid;pred;truth;probs
4;17;166;5;-1;[[0.1827848106622696, 0.15856656432151794, 0.15882180631160736, 0.1584569811820984, 0.1585465520620346, 0.1828232705593109]]
5;17;166;5;-1;[[0.18485653400421143, 0.15729142725467682, 0.1581459641456604, 0.15695235133171082, 0.15723541378974915, 0.18551833927631378]]
6;17;166;5;-1;[[0.1869267225265503, 0.1560974270105362, 0.1573464274406433, 0.1555846780538559, 0.15598760545253754, 0.18805715441703796]]
7;17;166;5;-1;[[0.1887480616569519, 0.15507657825946808, 0.15658535063266754, 0.15446282923221588, 0.1549469381570816, 0.190180242061615]]
8;17;166;5;-1;[[0.19177095592021942, 0.15341965854167938, 0.15527553856372833, 0.1526617705821991, 0.15325123071670532, 0.19362086057662964]]
9;17;166;5;-1;[[0.19452962279319763, 0.1519583910703659, 0.1540002077817917, 0.15108439326286316, 0.15172159671783447, 0.19670581817626953]]
10;17;166;5;-1;[[0.1981276571750641, 0.14990752935409546, 0.15249308943748474, 0.14884084463119507, 0.1496567577123642, 0.20097419619560242]]
11;17;166;5;-1;[[0.20081454515457153, 0.1484246551990509, 0.15129454433918, 0.14721688628196716, 0.1481126993894577, 0.2041366547346115]]
12;17;166;5;-1;[[0.20361346006393433, 0.14696072041988373, 0.14996300637722015, 0.14562585949897766, 0.1465386599302292, 0.20729826390743256]]
13;17;166;5;-1;[[0.2074865698814392, 0.14483684301376343, 0.14820562303066254, 0.1433456987142563, 0.14436428248882294, 0.2117609828710556]]
14;17;166;5;-1;[[0.21005287766456604, 0.14346656203269958, 0.14699789881706238, 0.1418255716562271, 0.14287017285823822, 0.21478687226772308]]
15;17;166;5;-1;[[0.21361921727657318, 0.14154762029647827, 0.14529991149902344, 0.1398114413022995, 0.14091965556144714, 0.21880213916301727]]
16;17;166;5;-1;[[0.2162296175956726, 0.1401597112417221, 0.1440565586090088, 0.13831870257854462, 0.13945090770721436, 0.22178451716899872]]
17;17;166;5;-1;[[0.2187042087316513, 0.13884475827217102, 0.142874076962471, 0.1368466466665268, 0.13798817992210388, 0.2247421145439148]]
1;17;166;18;-1;[[0.0396125353872776, 0.041364822536706924, 0.04143428057432175, 0.04139883816242218, 0.041364822536706924, 0.044144757091999054, 0.03856838122010231, 0.04399089515209198, 0.04143428057432175, 0.04130866378545761, 0.04157920554280281, 0.0402340330183506, 0.04111633822321892, 0.04187591373920441, 0.04143428057432175, 0.041498783975839615, 0.04083884507417679, 0.04143428057432175, 0.044397737830877304, 0.04078444465994835, 0.04399089515209198, 0.04143428057432175, 0.04084153100848198, 0.04391714558005333, 0.0, 0.0, 0.0, 0.0]]
1;53;523;5;-1;[[0.16876377165317535, 0.16593286395072937, 0.16615261137485504, 0.16509303450584412, 0.16481685638427734, 0.16924084722995758]]
1;2;19;1;0;[[0.4209086000919342, 0.5790914297103882, 0.0, 0.0, 0.0, 0.0]]
1;3;20;0;4;[0.24028465151786804, 0.18041326105594635, 0.17792890965938568, 0.1803194284439087, 0.2210538536310196, 0.0]
1;3;21;0;1;[0.6033451557159424, 0.39665487408638, 0.0, 0.0, 0.0, 0.0]
1;3;22;2;1;[0.23516865074634552, 0.24226106703281403, 0.2867264449596405, 0.2358437478542328, 0.0, 0.0]
1;3;23;0;2;[0.24028465151786804, 0.18041326105594635, 0.2210538536310196, 0.1803194284439087, 0.17792890965938568, 0.0]
1;3;24;3;0;[0.1611812859773636, 0.16755791008472443, 0.16773369908332825, 0.172976553440094, 0.16637812554836273, 0.1641724407672882]
