train_batch;infer_batch;tid;pred;truth;probs
1;16;158;2;-1;[[0.22988402843475342, 0.2547396421432495, 0.2611216604709625, 0.25425466895103455, 0.0, 0.0, 0.0]]
1;17;163;2;-1;[[0.2405768483877182, 0.25329524278640747, 0.25329524278640747, 0.25283268094062805, 0.0, 0.0, 0.0]]
1;19;187;0;-1;[[0.33728015422821045, 0.32891735434532166, 0.3338024616241455, 0.0, 0.0, 0.0, 0.0]]
1;24;237;0;2;[0.2528493106365204, 0.24798937141895294, 0.2504419982433319, 0.24871933460235596, 0.0, 0.0, 0.0]
1;24;238;0;-1;[0.36049118638038635, 0.33354082703590393, 0.3059680461883545, 0.0, 0.0, 0.0, 0.0]
1;26;252;2;-1;[[0.27651089429855347, 0.35803133249282837, 0.36545777320861816, 0.0, 0.0, 0.0, 0.0]]
1;38;378;0;1;[[0.33398857712745667, 0.33237048983573914, 0.3336408734321594, 0.0, 0.0, 0.0, 0.0]]
1;41;405;1;-1;[[0.32483601570129395, 0.34343042969703674, 0.3317335546016693, 0.0, 0.0, 0.0, 0.0]]
1;43;426;0;-1;[[0.5025304555892944, 0.4974695146083832, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;51;506;2;-1;[[0.3685779571533203, 0.2565370798110962, 0.3748849332332611, 0.0, 0.0, 0.0, 0.0]]
1;52;514;5;1;[[0.16075779497623444, 0.1696227490901947, 0.16553948819637299, 0.16630683839321136, 0.1670123040676117, 0.17076082527637482, 0.0]]
1;70;698;0;-1;[[0.315346360206604, 0.27041733264923096, 0.27004846930503845, 0.1441878378391266, 0.0, 0.0, 0.0]]
1;87;860;0;-1;[[0.3471222221851349, 0.3258362114429474, 0.32704150676727295, 0.0, 0.0, 0.0, 0.0]]
2;16;158;0;-1;[[0.315013587474823, 0.22312010824680328, 0.23072269558906555, 0.23114357888698578, 0.0, 0.0, 0.0]]
2;17;163;0;-1;[[0.3397134244441986, 0.2174592912197113, 0.2174592912197113, 0.22536799311637878, 0.0, 0.0, 0.0]]
2;19;187;0;-1;[[0.3370831608772278, 0.32862889766693115, 0.3342879116535187, 0.0, 0.0, 0.0, 0.0]]
2;21;208;0;-1;[[0.534174382686615, 0.4658256471157074, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;24;238;0;-1;[[0.41575121879577637, 0.28336095809936523, 0.3008878827095032, 0.0, 0.0, 0.0, 0.0]]
2;26;252;2;-1;[[0.30065545439720154, 0.3491937220096588, 0.35015082359313965, 0.0, 0.0, 0.0, 0.0]]
2;38;378;0;1;[[0.41706135869026184, 0.2920093536376953, 0.29092931747436523, 0.0, 0.0, 0.0, 0.0]]
2;41;405;0;-1;[[0.3583895266056061, 0.33838140964508057, 0.30322906374931335, 0.0, 0.0, 0.0, 0.0]]
2;51;506;2;-1;[[0.35762444138526917, 0.2685823142528534, 0.37379327416419983, 0.0, 0.0, 0.0, 0.0]]
2;70;698;0;-1;[[0.3668176233768463, 0.23754945397377014, 0.24435678124427795, 0.151276096701622, 0.0, 0.0, 0.0]]
2;87;860;0;-1;[[0.40552157163619995, 0.2999906837940216, 0.29448768496513367, 0.0, 0.0, 0.0, 0.0]]
3;16;158;0;-1;[[0.4138990640640259, 0.18803606927394867, 0.19632504880428314, 0.2017398476600647, 0.0, 0.0, 0.0]]
3;17;163;0;-1;[[0.4568912386894226, 0.1767040342092514, 0.1767040342092514, 0.189700648188591, 0.0, 0.0, 0.0]]
3;19;187;0;-1;[[0.3397282361984253, 0.3271471858024597, 0.3331244885921478, 0.0, 0.0, 0.0, 0.0]]
3;21;208;0;-1;[[0.5689772367477417, 0.4310227632522583, 0.0, 0.0, 0.0, 0.0, 0.0]]
3;24;238;0;-1;[[0.4667484164237976, 0.23558659851551056, 0.29766491055488586, 0.0, 0.0, 0.0, 0.0]]
3;26;252;1;-1;[[0.3245691955089569, 0.3400951623916626, 0.33533555269241333, 0.0, 0.0, 0.0, 0.0]]
3;38;378;0;1;[[0.5039536356925964, 0.24968791007995605, 0.24635840952396393, 0.0, 0.0, 0.0, 0.0]]
3;41;405;0;-1;[[0.39548781514167786, 0.3299104869365692, 0.2746017277240753, 0.0, 0.0, 0.0, 0.0]]
3;51;506;2;-1;[[0.34129342436790466, 0.2881597876548767, 0.37054678797721863, 0.0, 0.0, 0.0, 0.0]]
3;70;698;0;-1;[[0.4141436219215393, 0.20592018961906433, 0.21760697662830353, 0.16232921183109283, 0.0, 0.0, 0.0]]
3;72;718;0;2;[[0.3703610897064209, 0.1572825163602829, 0.17204099893569946, 0.3003154397010803, 0.0, 0.0, 0.0]]
3;87;860;0;-1;[[0.4674335718154907, 0.2712807357311249, 0.2612856328487396, 0.0, 0.0, 0.0, 0.0]]
4;16;158;0;-1;[[0.4157814085483551, 0.1873696893453598, 0.1951345056295395, 0.20171436667442322, 0.0, 0.0, 0.0]]
4;17;163;0;-1;[[0.4646284282207489, 0.17397882044315338, 0.17397882044315338, 0.18741396069526672, 0.0, 0.0, 0.0]]
4;19;187;0;-1;[[0.3436048626899719, 0.32443609833717346, 0.3319590985774994, 0.0, 0.0, 0.0, 0.0]]
4;21;208;0;-1;[[0.560693621635437, 0.4393063485622406, 0.0, 0.0, 0.0, 0.0, 0.0]]
4;24;238;0;-1;[[0.46857401728630066, 0.23309776186943054, 0.2983281910419464, 0.0, 0.0, 0.0, 0.0]]
4;26;252;1;-1;[[0.31041404604911804, 0.34914103150367737, 0.3404448628425598, 0.0, 0.0, 0.0, 0.0]]
4;38;378;0;1;[[0.5038471221923828, 0.24909915030002594, 0.24705375730991364, 0.0, 0.0, 0.0, 0.0]]
4;41;405;0;-1;[[0.3914349675178528, 0.332135409116745, 0.27642959356307983, 0.0, 0.0, 0.0, 0.0]]
4;51;506;2;-1;[[0.3409971296787262, 0.2831595242023468, 0.3758434057235718, 0.0, 0.0, 0.0, 0.0]]
4;70;698;0;-1;[[0.4237450063228607, 0.207583487033844, 0.2191838175058365, 0.14948770403862, 0.0, 0.0, 0.0]]
4;72;718;0;2;[[0.3728601634502411, 0.15451288223266602, 0.1735432893037796, 0.2990836501121521, 0.0, 0.0, 0.0]]
4;87;860;0;-1;[[0.4582884907722473, 0.2769009470939636, 0.26481059193611145, 0.0, 0.0, 0.0, 0.0]]
5;16;158;0;-1;[[0.4300765097141266, 0.18243630230426788, 0.19055649638175964, 0.1969306319952011, 0.0, 0.0, 0.0]]
5;17;163;0;-1;[[0.4854573607444763, 0.1670474112033844, 0.1670474112033844, 0.18044787645339966, 0.0, 0.0, 0.0]]
5;19;187;0;-1;[[0.34764382243156433, 0.3224817216396332, 0.3298744261264801, 0.0, 0.0, 0.0, 0.0]]
5;21;208;0;-1;[[0.56723952293396, 0.43276044726371765, 0.0, 0.0, 0.0, 0.0, 0.0]]
