train_batch;infer_batch;tid;pred;truth;probs
1;15;140;2;0;[[0.2911251187324524, 0.3517436385154724, 0.3571312725543976]]
1;58;572;3;1;[[0.2618044912815094, 0.21881812810897827, 0.2551456689834595, 0.2642316222190857]]
1;60;592;0;1;[[0.27938684821128845, 0.19234079122543335, 0.2561795115470886, 0.27209290862083435]]
2;15;140;2;0;[[0.30544325709342957, 0.34558889269828796, 0.3489677906036377]]
2;49;483;0;1;[[0.25194576382637024, 0.2518696188926697, 0.24699634313583374, 0.24918822944164276]]
2;58;572;3;1;[[0.2580842971801758, 0.22868117690086365, 0.253986656665802, 0.25924786925315857]]
2;60;592;0;1;[[0.26639097929000854, 0.21639999747276306, 0.25443941354751587, 0.26276955008506775]]
3;15;140;2;0;[[0.3149031102657318, 0.3414861559867859, 0.3436107635498047]]
3;23;228;2;0;[[0.33319154381752014, 0.3292209804058075, 0.33758744597435]]
3;49;483;0;1;[[0.25255176424980164, 0.2475285530090332, 0.2500895857810974, 0.24983012676239014]]
3;51;504;0;1;[[0.25230172276496887, 0.24457748234272003, 0.25221166014671326, 0.25090911984443665]]
3;58;572;3;1;[[0.25552213191986084, 0.2352161854505539, 0.25324198603630066, 0.256019651889801]]
3;60;592;0;1;[[0.25876253843307495, 0.23116877675056458, 0.25291839241981506, 0.2571503221988678]]
1;7;65;1;0;[[0.46602940559387207, 0.5339705944061279]]
1;8;74;1;0;[[0.4463370740413666, 0.5536628365516663]]
3;71;701;0;1;[[0.25165945291519165, 0.24825727939605713, 0.2501269578933716, 0.24995627999305725]]
1;10;96;1;0;[0.4745047092437744, 0.5254952907562256]
1;10;97;1;0;[0.49626046419143677, 0.5037395358085632]
1;10;99;1;0;[0.49626046419143677, 0.5037395358085632]
1;11;100;1;0;[[0.44845741987228394, 0.5515425801277161]]
1;12;115;1;0;[[0.3019541800022125, 0.35296598076820374, 0.34507980942726135]]
1;13;121;2;0;[0.29939138889312744, 0.33267009258270264, 0.3679385185241699]
1;13;122;2;0;[0.311095267534256, 0.33335307240486145, 0.3555516302585602]
1;13;123;1;0;[0.31590908765792847, 0.3564583957195282, 0.32763251662254333]
1;13;124;2;0;[0.311095267534256, 0.33335307240486145, 0.3555516302585602]
1;13;125;2;0;[0.29939138889312744, 0.33267009258270264, 0.3679385185241699]
1;14;137;2;0;[0.3377188444137573, 0.30998679995536804, 0.35229429602622986]
1;14;138;2;0;[0.3384121060371399, 0.30931469798088074, 0.35227319598197937]
1;14;139;2;0;[0.3377188444137573, 0.30998679995536804, 0.35229429602622986]
1;15;140;2;0;[0.2911251187324524, 0.3517436385154724, 0.3571312725543976]
1;15;147;2;0;[0.33916187286376953, 0.317854106426239, 0.34298399090766907]
1;15;149;1;0;[0.28991565108299255, 0.35587289929389954, 0.3542114496231079]
3;89;884;0;1;[[0.2522118091583252, 0.250603586435318, 0.24991334974765778, 0.24727119505405426]]
1;16;150;2;0;[[0.2808303236961365, 0.35484039783477783, 0.3643292486667633]]
1;18;171;2;0;[0.3382491171360016, 0.3182515799999237, 0.3434993326663971]
1;18;174;1;0;[0.284761905670166, 0.3584301173686981, 0.35680797696113586]
1;18;175;2;0;[0.2765064537525177, 0.3576435446739197, 0.36584991216659546]
1;19;186;2;0;[[0.3375805914402008, 0.3173515796661377, 0.3450677990913391]]
1;20;190;1;0;[0.2913847863674164, 0.3600609302520752, 0.3485543131828308]
1;20;192;2;0;[0.33545491099357605, 0.31738463044166565, 0.3471605181694031]
1;20;199;1;0;[0.2844286262989044, 0.35887861251831055, 0.35669276118278503]
1;25;240;1;0;[0.2780822217464447, 0.3677712082862854, 0.3541465401649475]
1;25;244;1;0;[0.2842085063457489, 0.36287710070610046, 0.35291439294815063]
1;25;245;1;0;[0.28948912024497986, 0.3571532368659973, 0.3533576428890228]
1;25;246;2;0;[0.28342005610466003, 0.3566572964191437, 0.3599226176738739]
1;25;247;1;0;[0.28953835368156433, 0.35710015892982483, 0.35336142778396606]
1;25;248;2;0;[0.2744310200214386, 0.35574859380722046, 0.36982032656669617]
1;25;249;1;0;[0.28948912024497986, 0.3571532368659973, 0.3533576428890228]
1;26;250;2;0;[[0.2836754024028778, 0.35648125410079956, 0.359843373298645]]
1;27;261;2;0;[0.2546865940093994, 0.3721538186073303, 0.37315958738327026]
1;27;265;1;0;[0.2757861316204071, 0.37050673365592957, 0.35370713472366333]
1;28;274;1;0;[0.30855876207351685, 0.35763776302337646, 0.3338035047054291]
1;28;275;1;0;[0.3322705626487732, 0.3517993688583374, 0.3159300982952118]
1;30;294;2;0;[0.260530561208725, 0.3668782114982605, 0.37259113788604736]
1;30;295;1;0;[0.25533056259155273, 0.3728337287902832, 0.3718357980251312]
1;30;296;2;0;[0.2505777180194855, 0.37207475304603577, 0.37734758853912354]
1;30;297;1;0;[0.25533056259155273, 0.3728337287902832, 0.3718357980251312]
1;30;298;2;0;[0.2511689066886902, 0.3721729516983032, 0.3766580820083618]
1;30;299;1;0;[0.25533056259155273, 0.3728337287902832, 0.3718357980251312]
1;31;300;2;0;[0.25062134861946106, 0.3720543384552002, 0.37732431292533875]
1;31;301;2;0;[0.2550922632217407, 0.3722006678581238, 0.3727070987224579]
1;31;302;2;0;[0.2550922632217407, 0.3722006678581238, 0.3727070987224579]
1;31;303;2;0;[0.24566058814525604, 0.37691327929496765, 0.3774261176586151]
1;31;304;2;0;[0.2550922632217407, 0.3722006678581238, 0.3727070987224579]
1;31;305;1;0;[0.254485160112381, 0.37343060970306396, 0.37208420038223267]
1;31;306;1;0;[0.254485160112381, 0.37343060970306396, 0.37208420038223267]
1;31;307;2;0;[0.249350443482399, 0.37259694933891296, 0.37805262207984924]
1;31;308;2;0;[0.24894829094409943, 0.37252816557884216, 0.3785235583782196]
1;31;309;1;0;[0.254485160112381, 0.37343060970306396, 0.37208420038223267]
1;32;310;1;0;[0.254523903131485, 0.37340590357780457, 0.3720701336860657]
1;32;318;1;0;[0.33026593923568726, 0.3535613417625427, 0.31617271900177]
1;37;360;2;0;[[0.29597294330596924, 0.3448249101638794, 0.359202116727829]]
1;38;375;1;0;[[0.28529295325279236, 0.36030128598213196, 0.35440582036972046]]
1;39;384;1;0;[[0.30759158730506897, 0.3568134903907776, 0.33559495210647583]]
1;40;394;1;0;[0.2905803918838501, 0.35567376017570496, 0.35374581813812256]
1;40;396;1;0;[0.2905803918838501, 0.35567376017570496, 0.35374581813812256]
1;40;397;2;0;[0.2866345942020416, 0.35536739230155945, 0.3579980134963989]
1;42;417;2;0;[0.29065459966659546, 0.35465484857559204, 0.3546905517578125]
1;42;419;2;0;[0.29065459966659546, 0.35465484857559204, 0.3546905517578125]
1;43;420;2;0;[[0.28749045729637146, 0.354339063167572, 0.35817044973373413]]
1;44;432;1;0;[0.08805032074451447, 0.5055950284004211, 0.20010250806808472, 0.2062520682811737]
1;44;433;1;0;[0.08976249396800995, 0.5102279186248779, 0.19995920360088348, 0.20005042850971222]
1;44;434;1;0;[0.14091584086418152, 0.40180137753486633, 0.22825035452842712, 0.229032501578331]
1;44;435;1;0;[0.08511970937252045, 0.5186441540718079, 0.19777919352054596, 0.19845692813396454]
1;44;436;1;0;[0.092671699821949, 0.4916260838508606, 0.20963405072689056, 0.20606811344623566]
1;44;437;1;0;[0.09003367274999619, 0.5071163177490234, 0.20124736428260803, 0.20160262286663055]
1;44;438;1;0;[0.08754993230104446, 0.5020851492881775, 0.20057721436023712, 0.20978763699531555]
1;44;439;1;0;[0.08874641358852386, 0.5000119209289551, 0.20126840472221375, 0.2099732607603073]
1;45;440;1;0;[0.08850900828838348, 0.5132453441619873, 0.1992402970790863, 0.1990053504705429]
1;45;441;1;0;[0.10576687008142471, 0.4752940833568573, 0.20959307253360748, 0.20934592187404633]
1;45;442;1;0;[0.10738348960876465, 0.47174403071403503, 0.21024508774280548, 0.21062736213207245]
1;45;443;1;0;[0.10737056285142899, 0.4673542082309723, 0.21083848178386688, 0.21443679928779602]
1;45;444;1;0;[0.10663852095603943, 0.4732725918292999, 0.20985370874404907, 0.21023525297641754]
1;45;445;1;0;[0.10717440396547318, 0.47217223048210144, 0.21013562381267548, 0.21051767468452454]
1;45;446;1;0;[0.09597230702638626, 0.439098596572876, 0.23792283236980438, 0.2270062416791916]
