train_batch;infer_batch;tid;pred;truth;probs
1;25;248;4;3;[[0.12160345911979675, 0.12326730787754059, 0.11450262367725372, 0.11962763965129852, 0.13298194110393524, 0.08385313302278519, 0.07727987319231033, 0.10845039039850235, 0.11843368411064148, 0.0]]
1;57;567;1;2;[[0.07615506649017334, 0.1428772509098053, 0.1209380179643631, 0.07263613492250443, 0.07607319205999374, 0.07429179549217224, 0.07434125244617462, 0.07635783404111862, 0.07431547343730927, 0.07438230514526367, 0.1376316398382187, 0.0, 0.0]]
1;83;827;3;1;[[0.05642212554812431, 0.08595320582389832, 0.1354883462190628, 0.13881725072860718, 0.05746617540717125, 0.05867628753185272, 0.06102136895060539, 0.0564209446310997, 0.0564209446310997, 0.05599766969680786, 0.055577658116817474, 0.0564209446310997, 0.1253170669078827, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;83;827;3;1;[[0.05165557190775871, 0.10618393868207932, 0.1431545913219452, 0.14769458770751953, 0.05437914654612541, 0.055106449872255325, 0.057343922555446625, 0.051651161164045334, 0.051651161164045334, 0.05183134973049164, 0.050902556627988815, 0.051651161164045334, 0.12679433822631836, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;6;51;1;0;[[0.49417391419410706, 0.5058260560035706, 0.0, 0.0, 0.0, 0.0]]
1;7;68;0;1;[[0.5068761110305786, 0.4931238889694214, 0.0, 0.0, 0.0, 0.0]]
1;13;120;0;1;[[0.33369842171669006, 0.33265039324760437, 0.3336511552333832, 0.0, 0.0, 0.0]]
3;83;827;3;1;[[0.04664904624223709, 0.12043582648038864, 0.15427041053771973, 0.16040882468223572, 0.04936835542321205, 0.0498814694583416, 0.05214411020278931, 0.04664201661944389, 0.04664201661944389, 0.04700369015336037, 0.045745979994535446, 0.04664201661944389, 0.13416634500026703, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;24;238;0;1;[[0.38449397683143616, 0.31097787618637085, 0.304528146982193, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;25;248;4;3;[[0.12160345911979675, 0.12326730787754059, 0.11450262367725372, 0.11962763965129852, 0.13298194110393524, 0.08385313302278519, 0.07727987319231033, 0.10845039039850235, 0.11843368411064148, 0.0]]
