train_batch;infer_batch;tid;pred;truth;probs
1;35;340;2;3;[[0.1468895673751831, 0.14636902511119843, 0.21552327275276184, 0.20959749817848206, 0.13008686900138855, 0.15153376758098602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;35;340;3;4;[[0.10779910534620285, 0.11086142063140869, 0.10397055000066757, 0.15316396951675415, 0.13635364174842834, 0.09054625034332275, 0.09192977845668793, 0.09049201011657715, 0.11488327383995056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;55;544;7;6;[[0.07266882061958313, 0.07227975875139236, 0.08175935596227646, 0.07276348769664764, 0.0813087597489357, 0.07167552411556244, 0.08736518025398254, 0.10176981985569, 0.07184229791164398, 0.06699405610561371, 0.08549881726503372, 0.06708008795976639, 0.06699405610561371, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;30;294;1;0;[0.2349673956632614, 0.24246272444725037, 0.17453952133655548, 0.18768130242824554, 0.1603490710258484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;30;295;1;0;[0.2348366528749466, 0.24232782423496246, 0.17444241046905518, 0.18898169696331024, 0.15941132605075836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;30;296;1;0;[0.23526327311992645, 0.23527659475803375, 0.17475931346416473, 0.1893250048160553, 0.1653757393360138, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;30;297;1;0;[0.23658141493797302, 0.2441282570362091, 0.17573848366737366, 0.18287929892539978, 0.16067253053188324, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;30;298;1;0;[0.23466669023036957, 0.24215243756771088, 0.1743161678314209, 0.18884491920471191, 0.16001971065998077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;30;299;1;0;[0.23470275104045868, 0.2421896606683731, 0.17434296011924744, 0.18887394666671753, 0.15989063680171967, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;35;340;3;4;[[0.10779910534620285, 0.11086142063140869, 0.10397055000066757, 0.15316396951675415, 0.13635364174842834, 0.09054625034332275, 0.09192977845668793, 0.09049201011657715, 0.11488327383995056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;36;352;3;0;[[0.17317241430282593, 0.13707086443901062, 0.13854844868183136, 0.18619391322135925, 0.13654296100139618, 0.11830804497003555, 0.1101633608341217, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;55;544;7;6;[[0.07266882061958313, 0.07227975875139236, 0.08175935596227646, 0.07276348769664764, 0.0813087597489357, 0.07167552411556244, 0.08736518025398254, 0.10176981985569, 0.07184229791164398, 0.06699405610561371, 0.08549881726503372, 0.06708008795976639, 0.06699405610561371, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;91;907;1;0;[0.22479063272476196, 0.2660035192966461, 0.1883465200662613, 0.1680092066526413, 0.1528501808643341, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;91;909;4;3;[0.11395115405321121, 0.12261416763067245, 0.11323139071464539, 0.1513102799654007, 0.1654229462146759, 0.11411989480257034, 0.11314204335212708, 0.10620813816785812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;35;340;2;3;[[0.1468895673751831, 0.14636902511119843, 0.21552327275276184, 0.20959749817848206, 0.13008686900138855, 0.15153376758098602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
