infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;global;True;1;1;3;154;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;global;True;1;2;4;154;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;4;4;3;3;3;0;3;0
dk;global;True;1;3;7;154;1.0;0.7142857142857143;0.7142857142857143;0.8333333333333333;0.8333333333333333;7;7;5;5;5;0;5;0
dk;global;True;1;4;3;154;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;3;3;2;3;3;0;3;0
dk;global;True;1;5;6;154;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;6;6;5;6;6;0;6;0
dk;global;True;1;6;6;154;1.0;0.8333333333333334;0.8333333333333334;0.9090909090909091;0.9090909090909091;6;6;5;5;5;0;5;0
dk;global;True;1;7;5;154;1.0;1.0;1.0;1.0;1.0;5;5;5;5;5;0;5;0
dk;global;True;1;8;5;154;1.0;1.0;1.0;1.0;1.0;5;5;5;5;5;0;5;0
dk;global;True;1;9;3;154;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;global;True;1;10;7;154;0.7142857142857143;0.625;0.7142857142857143;0.6666666666666666;0.7142857142857143;7;8;5;7;7;0;7;0
dk;global;True;1;11;4;154;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;4;4;3;3;3;0;3;0
dk;global;True;1;12;4;154;0.25;0.2;0.25;0.22222222222222224;0.25;4;5;1;4;4;0;4;0
dk;global;True;1;13;3;154;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;3;3;1;1;1;0;1;0
dk;global;True;1;14;4;154;1.0;0.8;1.0;0.888888888888889;1.0;4;5;4;4;4;0;4;0
dk;global;True;1;15;3;154;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;3;3;2;3;3;0;3;0
dk;global;True;1;16;5;154;0.4;0.4;0.4;0.4000000000000001;0.4000000000000001;5;5;2;5;5;0;5;0
dk;global;True;1;17;6;154;0.4;0.3333333333333333;0.3333333333333333;0.3636363636363636;0.3636363636363636;6;6;2;5;5;0;5;0
dk;global;True;1;18;3;154;1.0;0.75;1.0;0.8571428571428571;1.0;3;4;3;3;3;0;3;0
dk;global;True;1;19;3;154;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;3;3;2;3;3;0;3;0
dk;global;True;1;20;5;154;0.8;0.8;0.8;0.8000000000000002;0.8000000000000002;5;5;4;5;5;0;5;0
dk;global;True;1;21;2;154;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2;2;1;1;1;0;1;0
dk;global;True;1;22;10;154;0.7;0.7;0.7;0.7;0.7;10;10;7;10;10;0;10;0
dk;global;True;1;23;9;154;0.8888888888888888;0.8;0.8888888888888888;0.8421052631578948;0.8888888888888888;9;10;8;9;9;0;9;0
dk;global;True;1;24;7;154;0.5714285714285714;0.5;0.5714285714285714;0.5333333333333333;0.5714285714285714;7;8;4;7;7;0;7;0
dk;global;True;1;25;6;154;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;6;6;5;6;6;0;6;0
dk;global;True;1;26;6;154;0.6;0.5;0.5;0.5454545454545454;0.5454545454545454;6;6;3;5;5;0;5;0
dk;global;True;1;27;7;154;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;7;7;6;7;7;0;7;0
dk;global;True;1;28;4;154;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
