infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;2;1;7;86;1.0;0.16666666666666666;0.16666666666666666;0.2857142857142857;0.2857142857142857;6.0;6.0;1.0;1;1.0;0;1.0;37.0000000000000000
dk;incremental;False;2;2;10;0;0.625;0.5;0.5;0.5555555555555556;0.5555555555555556;10.0;10.0;5.0;8;8.0;0;8.0;0.0
dk;incremental;False;2;3;12;0;0.6666666666666666;0.5;0.5;0.5714285714285715;0.5714285714285715;12.0;12.0;6.0;9;9.0;0;9.0;0.0
dk;incremental;False;2;4;10;0;0.6666666666666666;0.4;0.4;0.5;0.5;10.0;10.0;4.0;6;6.0;0;6.0;0.0
dk;incremental;False;2;5;10;0;0.8571428571428571;0.6;0.6;0.7058823529411764;0.7058823529411764;10.0;10.0;6.0;7;7.0;0;7.0;0.0
dk;incremental;False;2;6;8;0;0.6;0.375;0.375;0.4615384615384615;0.4615384615384615;8.0;8.0;3.0;5;5.0;0;5.0;0.0
dk;incremental;False;2;7;7;0;0.5;0.3333333333333333;0.3333333333333333;0.4;0.4;6.0;6.0;2.0;4;4.0;0;4.0;100.0000000000000000
dk;incremental;False;2;8;8;0;0.8333333333333334;0.7142857142857143;0.7142857142857143;0.7692307692307692;0.7692307692307692;7.0;7.0;5.0;6;6.0;0;6.0;3.0000000000000000
dk;incremental;False;2;9;9;0;0.6;0.42857142857142855;0.42857142857142855;0.5;0.5;7.0;7.0;3.0;5;5.0;0;5.0;24.6981780704569381
dk;incremental;False;2;10;8;0;1.0;0.7142857142857143;0.7142857142857143;0.8333333333333333;0.8333333333333333;7.0;7.0;5.0;5;5.0;0;5.0;0.0
dk;incremental;False;2;11;12;0;0.8571428571428571;0.5454545454545454;0.5454545454545454;0.6666666666666665;0.6666666666666665;11.0;11.0;6.0;7;7.0;0;7.0;0.0
dk;incremental;False;2;12;16;0;0.3;0.21428571428571427;0.21428571428571427;0.25;0.25;14.0;14.0;3.0;10;10.0;0;10.0;95.0000000000000000
dk;incremental;False;2;13;12;0;0.42857142857142855;0.3;0.3;0.3529411764705882;0.3529411764705882;10.0;10.0;3.0;7;7.0;0;7.0;2.8284271247461901
dk;incremental;False;2;14;11;0;0.5555555555555556;0.45454545454545453;0.45454545454545453;0.5;0.5;11.0;11.0;5.0;9;9.0;0;9.0;0.0
dk;incremental;False;2;15;7;0;0.5;0.42857142857142855;0.42857142857142855;0.4615384615384615;0.4615384615384615;7.0;7.0;3.0;6;6.0;0;6.0;0.0
dk;incremental;False;2;16;6;0;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;6.0;6.0;4.0;6;6.0;0;6.0;0.0
dk;incremental;False;2;17;11;0;0.42857142857142855;0.3;0.3;0.3529411764705882;0.3529411764705882;10.0;10.0;3.0;7;7.0;0;7.0;26.0000000000000000
dk;incremental;False;2;18;11;0;0.4444444444444444;0.4;0.4;0.4210526315789474;0.4210526315789474;10.0;10.0;4.0;9;9.0;0;9.0;0.0
dk;incremental;False;2;19;11;0;1.0;0.7;0.7;0.8235294117647058;0.8235294117647058;10.0;10.0;7.0;7;7.0;0;7.0;70.0000000000000000
dk;incremental;False;2;20;15;0;0.35714285714285715;0.3333333333333333;0.3333333333333333;0.3448275862068965;0.3448275862068965;15.0;15.0;5.0;14;14.0;0;14.0;0.0
dk;incremental;False;2;21;14;0;0.7;0.5833333333333334;0.5833333333333334;0.6363636363636365;0.6363636363636365;12.0;12.0;7.0;10;10.0;0;10.0;8.2462112512353211
dk;incremental;False;2;22;6;0;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5.0;5.0;4.0;4;4.0;0;4.0;1.00000000000000000000
dk;incremental;False;2;23;8;0;0.6;0.375;0.375;0.4615384615384615;0.4615384615384615;8.0;8.0;3.0;5;5.0;0;5.0;0.0
dk;incremental;False;2;24;10;0;0.5714285714285714;0.4444444444444444;0.4444444444444444;0.5;0.5;9.0;9.0;4.0;7;7.0;0;7.0;0.0
dk;incremental;False;2;25;13;0;0.7272727272727273;0.6666666666666666;0.6666666666666666;0.6956521739130435;0.6956521739130435;12.0;12.0;8.0;11;11.0;0;11.0;4.0000000000000000
dk;incremental;False;2;26;10;0;0.625;0.625;0.625;0.625;0.625;8.0;8.0;5.0;8;8.0;0;8.0;14.5773797371132512
dk;incremental;False;2;27;8;0;0.8333333333333334;0.7142857142857143;0.7142857142857143;0.7692307692307692;0.7692307692307692;7.0;7.0;5.0;6;6.0;0;6.0;0.0
dk;incremental;False;2;28;11;0;0.75;0.6;0.6;0.6666666666666665;0.6666666666666665;10.0;10.0;6.0;8;8.0;0;8.0;0.0
dk;incremental;False;2;29;13;0;0.3333333333333333;0.3076923076923077;0.3076923076923077;0.32;0.32;13.0;13.0;4.0;12;12.0;0;12.0;0.0
dk;incremental;False;2;30;8;0;0.6666666666666666;0.5;0.5;0.5714285714285715;0.5714285714285715;8.0;8.0;4.0;6;6.0;0;6.0;0.0
dk;incremental;False;2;31;5;0;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5.0;5.0;4.0;4;4.0;0;4.0;0.0
dk;incremental;False;2;32;8;0;0.7142857142857143;0.625;0.625;0.6666666666666666;0.6666666666666666;8.0;8.0;5.0;7;7.0;0;7.0;0.0
dk;incremental;False;2;33;10;0;0.8333333333333334;0.5;0.5;0.625;0.625;10.0;10.0;5.0;6;6.0;0;6.0;0.0
