infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;featurizer;attribute;feature;weight
dk;incremental;False;2;1;OccurAttrFeaturizer;City;ProviderNumber;-0.197
dk;incremental;False;2;1;OccurAttrFeaturizer;City;HospitalName;0.697
dk;incremental;False;2;1;OccurAttrFeaturizer;City;Address1;0.376
dk;incremental;False;2;1;OccurAttrFeaturizer;City;City;0.29
dk;incremental;False;2;1;OccurAttrFeaturizer;City;State;-0.362
dk;incremental;False;2;1;OccurAttrFeaturizer;City;ZipCode;0.228
dk;incremental;False;2;1;OccurAttrFeaturizer;City;CountyName;0.492
dk;incremental;False;2;1;OccurAttrFeaturizer;City;PhoneNumber;-0.347
dk;incremental;False;2;1;OccurAttrFeaturizer;City;HospitalType;0.478
dk;incremental;False;2;1;OccurAttrFeaturizer;City;HospitalOwner;-0.247
dk;incremental;False;2;1;OccurAttrFeaturizer;City;EmergencyService;-0.375
dk;incremental;False;2;1;OccurAttrFeaturizer;City;Condition;-0.299
dk;incremental;False;2;1;OccurAttrFeaturizer;City;MeasureCode;0.069
dk;incremental;False;2;1;OccurAttrFeaturizer;City;MeasureName;-0.144
dk;incremental;False;2;1;OccurAttrFeaturizer;City;Score;0.466
dk;incremental;False;2;1;OccurAttrFeaturizer;City;Sample;0.15
dk;incremental;False;2;1;OccurAttrFeaturizer;City;Stateavg;0.371
dk;incremental;False;2;1;OccurAttrFeaturizer;HospitalType;ProviderNumber;0.253
dk;incremental;False;2;1;OccurAttrFeaturizer;HospitalType;HospitalName;0.206
dk;incremental;False;2;1;OccurAttrFeaturizer;HospitalType;Address1;0.634
dk;incremental;False;2;1;OccurAttrFeaturizer;HospitalType;City;-0.29
dk;incremental;False;2;1;OccurAttrFeaturizer;HospitalType;State;-0.355
dk;incremental;False;2;1;OccurAttrFeaturizer;HospitalType;ZipCode;-0.009
dk;incremental;False;2;1;OccurAttrFeaturizer;HospitalType;CountyName;0.623
dk;incremental;False;2;1;OccurAttrFeaturizer;HospitalType;PhoneNumber;0.22
dk;incremental;False;2;1;OccurAttrFeaturizer;HospitalType;HospitalType;0.236
dk;incremental;False;2;1;OccurAttrFeaturizer;HospitalType;HospitalOwner;-0.028
