infer_mode;features;train_using_all_batches;batch;featurizer;attribute;feature;weight
dk;incremental;False;1;OccurAttrFeaturizer;Address1;ProviderNumber;1.238
dk;incremental;False;1;OccurAttrFeaturizer;Address1;HospitalName;1.225
dk;incremental;False;1;OccurAttrFeaturizer;Address1;Address1;-0.0
dk;incremental;False;1;OccurAttrFeaturizer;Address1;City;0.749
dk;incremental;False;1;OccurAttrFeaturizer;Address1;State;0.019
dk;incremental;False;1;OccurAttrFeaturizer;Address1;ZipCode;1.041
dk;incremental;False;1;OccurAttrFeaturizer;Address1;CountyName;0.56
dk;incremental;False;1;OccurAttrFeaturizer;Address1;PhoneNumber;1.229
dk;incremental;False;1;OccurAttrFeaturizer;Address1;HospitalType;0.01
dk;incremental;False;1;OccurAttrFeaturizer;Address1;HospitalOwner;0.244
dk;incremental;False;1;OccurAttrFeaturizer;Address1;EmergencyService;0.066
dk;incremental;False;1;OccurAttrFeaturizer;Address1;Condition;0.037
dk;incremental;False;1;OccurAttrFeaturizer;Address1;MeasureCode;0.059
dk;incremental;False;1;OccurAttrFeaturizer;Address1;MeasureName;0.05
dk;incremental;False;1;OccurAttrFeaturizer;Address1;Score;0.1
dk;incremental;False;1;OccurAttrFeaturizer;Address1;Sample;0.224
dk;incremental;False;1;OccurAttrFeaturizer;Address1;Stateavg;0.094
dk;incremental;False;1;OccurAttrFeaturizer;City;ProviderNumber;1.035
dk;incremental;False;1;OccurAttrFeaturizer;City;HospitalName;1.03
dk;incremental;False;1;OccurAttrFeaturizer;City;Address1;1.028
dk;incremental;False;1;OccurAttrFeaturizer;City;City;0.0
dk;incremental;False;1;OccurAttrFeaturizer;City;State;0.025
dk;incremental;False;1;OccurAttrFeaturizer;City;ZipCode;1.033
dk;incremental;False;1;OccurAttrFeaturizer;City;CountyName;0.681
dk;incremental;False;1;OccurAttrFeaturizer;City;PhoneNumber;1.019
dk;incremental;False;1;OccurAttrFeaturizer;City;HospitalType;0.052
dk;incremental;False;1;OccurAttrFeaturizer;City;HospitalOwner;0.187
dk;incremental;False;1;OccurAttrFeaturizer;City;EmergencyService;0.043
dk;incremental;False;1;OccurAttrFeaturizer;City;Condition;0.055
dk;incremental;False;1;OccurAttrFeaturizer;City;MeasureCode;0.047
dk;incremental;False;1;OccurAttrFeaturizer;City;MeasureName;0.04
dk;incremental;False;1;OccurAttrFeaturizer;City;Score;0.08
dk;incremental;False;1;OccurAttrFeaturizer;City;Sample;0.195
dk;incremental;False;1;OccurAttrFeaturizer;City;Stateavg;0.048
dk;incremental;False;1;OccurAttrFeaturizer;Condition;ProviderNumber;0.197
dk;incremental;False;1;OccurAttrFeaturizer;Condition;HospitalName;0.222
dk;incremental;False;1;OccurAttrFeaturizer;Condition;Address1;0.207
dk;incremental;False;1;OccurAttrFeaturizer;Condition;City;0.203
dk;incremental;False;1;OccurAttrFeaturizer;Condition;State;0.156
dk;incremental;False;1;OccurAttrFeaturizer;Condition;ZipCode;0.189
dk;incremental;False;1;OccurAttrFeaturizer;Condition;CountyName;0.199
dk;incremental;False;1;OccurAttrFeaturizer;Condition;PhoneNumber;0.206
dk;incremental;False;1;OccurAttrFeaturizer;Condition;HospitalType;0.178
dk;incremental;False;1;OccurAttrFeaturizer;Condition;HospitalOwner;0.174
dk;incremental;False;1;OccurAttrFeaturizer;Condition;EmergencyService;0.158
dk;incremental;False;1;OccurAttrFeaturizer;Condition;Condition;0.0
dk;incremental;False;1;OccurAttrFeaturizer;Condition;MeasureCode;1.733
dk;incremental;False;1;OccurAttrFeaturizer;Condition;MeasureName;1.735
dk;incremental;False;1;OccurAttrFeaturizer;Condition;Score;0.226
dk;incremental;False;1;OccurAttrFeaturizer;Condition;Sample;0.367
dk;incremental;False;1;OccurAttrFeaturizer;Condition;Stateavg;1.733
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;ProviderNumber;0.92
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;HospitalName;0.922
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;Address1;0.917
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;City;0.903
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;State;0.028
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;ZipCode;0.922
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;CountyName;0.0
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;PhoneNumber;0.92
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;HospitalType;0.035
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;HospitalOwner;0.178
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;EmergencyService;0.048
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;Condition;0.043
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;MeasureCode;0.049
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;MeasureName;0.046
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;Score;0.086
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;Sample;0.156
dk;incremental;False;1;OccurAttrFeaturizer;CountyName;Stateavg;0.061
