train_batch;infer_batch;tid;pred;truth;probs
1;3;662;5;0;[[0.16089658439159393, 0.17026983201503754, 0.1660032421350479, 0.1660032421350479, 0.1660032421350479, 0.1708238571882248]]
1;7;449;2;1;[[0.2965248227119446, 0.34242895245552063, 0.3610462248325348, 0.0, 0.0, 0.0]]
1;8;600;0;1;[[0.16556958854198456, 0.15083016455173492, 0.1478186845779419, 0.12761946022510529, 0.13249431550502777, 0.13823676109313965, 0.13743112981319427]]
1;13;456;0;1;[[0.2744060456752777, 0.2559340298175812, 0.2474835067987442, 0.22217637300491333, 0.0, 0.0]]
1;16;809;2;1;[[0.24758894741535187, 0.22787116467952728, 0.2852979004383087, 0.23924195766448975, 0.0, 0.0, 0.0]]
1;28;587;0;2;[[0.24057142436504364, 0.15042781829833984, 0.2352282702922821, 0.18974168598651886, 0.18403078615665436, 0.0]]
1;32;113;0;1;[[0.5005254745483398, 0.49947455525398254, 0.0, 0.0, 0.0, 0.0]]
1;36;650;0;2;[[0.21473462879657745, 0.1796787679195404, 0.20897354185581207, 0.19657132029533386, 0.20004180073738098, 0.0]]
1;37;243;0;2;[[0.274654746055603, 0.24954035878181458, 0.23383745551109314, 0.24196742475032806, 0.0, 0.0]]
1;40;131;3;2;[[0.2079654484987259, 0.206972137093544, 0.17844124138355255, 0.21202123165130615, 0.1945999562740326, 0.0]]
1;42;777;1;0;[[0.3363896608352661, 0.34970223903656006, 0.3139081299304962, 0.0, 0.0, 0.0]]
1;56;758;0;2;[[0.26914718747138977, 0.23212584853172302, 0.2524811029434204, 0.24624589085578918, 0.0, 0.0]]
1;59;36;0;2;[[0.28723591566085815, 0.25199344754219055, 0.22174392640590668, 0.239026740193367, 0.0, 0.0]]
1;66;938;2;0;[[0.3067975640296936, 0.32725873589515686, 0.36594370007514954, 0.0, 0.0, 0.0, 0.0]]
1;74;65;0;3;[[0.18955190479755402, 0.15336710214614868, 0.1551092565059662, 0.18911555409431458, 0.1576547920703888, 0.15520140528678894, 0.0, 0.0]]
1;88;699;9;3;[[0.07040569186210632, 0.06272085011005402, 0.07165493071079254, 0.07931026071310043, 0.07150633633136749, 0.07069095969200134, 0.07069095969200134, 0.07070093601942062, 0.0706220269203186, 0.08383382111787796, 0.07069095969200134, 0.06577041000127792, 0.07070093601942062, 0.07070093601942062, 0.0, 0.0]]
1;89;337;4;2;[[0.19262364506721497, 0.2022925615310669, 0.19534139335155487, 0.19141685962677002, 0.21832549571990967, 0.0, 0.0, 0.0]]
1;30;987;4;1;[[0.1374453604221344, 0.15391777455806732, 0.1337287276983261, 0.13370804488658905, 0.16010591387748718, 0.14372512698173523, 0.1373690366744995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;40;131;0;3;[[0.15548835694789886, 0.14489279687404633, 0.13698120415210724, 0.1487123668193817, 0.13427560031414032, 0.1468508392572403, 0.13279888033866882, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;42;777;5;1;[[0.10999978333711624, 0.12196911126375198, 0.105242058634758, 0.1060258150100708, 0.1060175821185112, 0.127677321434021, 0.1040908619761467, 0.11488667875528336, 0.1040908619761467, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;66;938;3;0;[[0.19330807030200958, 0.19012731313705444, 0.19012731313705444, 0.2272188663482666, 0.19921840727329254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;89;337;5;3;[[0.12328426539897919, 0.14283998310565948, 0.14135964214801788, 0.1573464721441269, 0.13341300189495087, 0.1708841770887375, 0.1308724582195282, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
