train_batch;infer_batch;tid;pred;truth;probs
1;1;710;2;-1;[[0.13040967285633087, 0.14765746891498566, 0.1635417342185974, 0.1567932665348053, 0.13040967285633087, 0.1407785266637802, 0.13040967285633087]]
1;1;710;2;-1;[[0.13040967285633087, 0.14765746891498566, 0.1635417342185974, 0.1567932665348053, 0.13040967285633087, 0.1407785266637802, 0.13040967285633087]]
1;1;979;1;3;[0.24555304646492004, 0.29157552123069763, 0.27954381704330444, 0.18332767486572266, 0.0, 0.0, 0.0]
1;1;710;2;-1;[0.13040967285633087, 0.14765746891498566, 0.1635417342185974, 0.1567932665348053, 0.13040967285633087, 0.1407785266637802, 0.13040967285633087]
1;1;729;5;1;[0.19066335260868073, 0.10125787556171417, 0.19488605856895447, 0.1591532826423645, 0.1591532826423645, 0.19488605856895447, 0.0]
1;1;229;1;2;[0.2755822241306305, 0.29380953311920166, 0.14892268180847168, 0.28168565034866333, 0.0, 0.0, 0.0]
1;1;119;1;0;[0.48811617493629456, 0.5118838548660278, 0.0, 0.0, 0.0, 0.0, 0.0]
1;2;638;2;3;[0.19933657348155975, 0.2085409015417099, 0.21093404293060303, 0.17758610844612122, 0.20360243320465088, 0.0]
1;2;446;1;0;[0.365920752286911, 0.6340792179107666, 0.0, 0.0, 0.0, 0.0]
1;2;468;5;0;[0.1435329169034958, 0.17467175424098969, 0.17104275524616241, 0.15776528418064117, 0.17649365961551666, 0.17649365961551666]
1;2;400;0;1;[0.616339385509491, 0.3836606740951538, 0.0, 0.0, 0.0, 0.0]
1;2;988;1;0;[0.16772794723510742, 0.17154604196548462, 0.16820396482944489, 0.16820396482944489, 0.1621590107679367, 0.1621590107679367]
1;2;972;1;5;[0.16894195973873138, 0.18237538635730743, 0.17877106368541718, 0.17070409655570984, 0.13081754744052887, 0.1683899313211441]
1;3;172;6;4;[0.13179953396320343, 0.13155712187290192, 0.13021281361579895, 0.12461764365434647, 0.09450342506170273, 0.11818428337574005, 0.13891243934631348, 0.13021281361579895, 0.0, 0.0]
1;3;639;2;0;[0.36233341693878174, 0.25099894404411316, 0.3866675794124603, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;4;696;1;0;[0.15759624540805817, 0.2931213080883026, 0.18436436355113983, 0.1912083774805069, 0.1737096905708313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;4;713;1;0;[0.09673900902271271, 0.10704363137483597, 0.10474929213523865, 0.10169745981693268, 0.09092934429645538, 0.10373558849096298, 0.09387029707431793, 0.1003628671169281, 0.10479053854942322, 0.0960819199681282, 0.0, 0.0, 0.0]
1;4;712;2;1;[0.13996733725070953, 0.12732188403606415, 0.1938791275024414, 0.14074411988258362, 0.12903618812561035, 0.12483511120080948, 0.14421619474887848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;4;625;2;0;[0.2646750509738922, 0.26709863543510437, 0.2716488540172577, 0.19657742977142334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;4;890;8;5;[0.09220334142446518, 0.09593607485294342, 0.08190973848104477, 0.09258896112442017, 0.0937746912240982, 0.09274812787771225, 0.08999462425708771, 0.0956786721944809, 0.09745914489030838, 0.0951167419552803, 0.07258983701467514, 0.0, 0.0]
1;4;459;1;2;[0.2162523865699768, 0.22199693322181702, 0.20313812792301178, 0.21982142329216003, 0.13879111409187317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;4;356;8;9;[0.08959373086690903, 0.09567040205001831, 0.0971510037779808, 0.07321758568286896, 0.09581796079874039, 0.09542670100927353, 0.09621082246303558, 0.07770562916994095, 0.10002236813306808, 0.08336583524942398, 0.09581796079874039, 0.0, 0.0]
1;5;379;3;4;[0.18390914797782898, 0.22367630898952484, 0.16050896048545837, 0.23003055155277252, 0.20187494158744812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;5;424;0;2;[0.0996917262673378, 0.0972510501742363, 0.08753539621829987, 0.09380906820297241, 0.07774730026721954, 0.08450274914503098, 0.08471828699111938, 0.09018095582723618, 0.09533418715000153, 0.09761480987071991, 0.09161447733640671, 0.0, 0.0, 0.0]
1;5;369;8;11;[0.07003803551197052, 0.07173412293195724, 0.07838322222232819, 0.08089499920606613, 0.08089499920606613, 0.08100023865699768, 0.08036275207996368, 0.07946881651878357, 0.08126674592494965, 0.07299520075321198, 0.0713915228843689, 0.07210062444210052, 0.07946881651878357, 0.0]
1;5;782;2;3;[0.16476283967494965, 0.20925045013427734, 0.2207316756248474, 0.2059323936700821, 0.19932258129119873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;6;66;10;8;[0.0802437886595726, 0.08524031192064285, 0.08413709700107574, 0.08344056457281113, 0.0859392061829567, 0.06814014166593552, 0.08670491725206375, 0.08760413527488708, 0.07966234534978867, 0.08613090962171555, 0.08975066244602203, 0.08300591260194778, 0.0, 0.0, 0.0]
1;6;797;0;1;[0.3442598879337311, 0.3436313271522522, 0.3121088445186615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;7;180;2;0;[0.2938705384731293, 0.31174442172050476, 0.3943850100040436, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;7;449;3;0;[0.22977694869041443, 0.23630622029304504, 0.22979801893234253, 0.3041188716888428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;8;904;0;1;[0.6003947257995605, 0.39960530400276184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;8;663;5;4;[0.16623371839523315, 0.15170922875404358, 0.14874257147312164, 0.1473143994808197, 0.18551969528198242, 0.20048043131828308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;10;281;3;4;[[0.16793875396251678, 0.16393379867076874, 0.1677352786064148, 0.176383838057518, 0.15606965124607086, 0.16793875396251678, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;13;863;2;0;[[0.35804370045661926, 0.27351143956184387, 0.36844488978385925, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;14;651;6;5;[0.13331010937690735, 0.1431291103363037, 0.13738949596881866, 0.14002454280853271, 0.144377201795578, 0.13868513703346252, 0.16308440268039703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;14;462;4;1;[0.20290586352348328, 0.19793637096881866, 0.19771356880664825, 0.19771356880664825, 0.20373056828975677, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;16;389;1;0;[0.41162198781967163, 0.5883780121803284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;16;467;3;0;[0.14145976305007935, 0.17211535573005676, 0.17093336582183838, 0.17410628497600555, 0.1720144897699356, 0.16937072575092316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;17;555;1;2;[0.32472363114356995, 0.3411361277103424, 0.33414024114608765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;17;912;2;1;[0.28078052401542664, 0.35101231932640076, 0.3682071566581726, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;18;715;1;0;[0.4889225363731384, 0.5110774040222168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;18;523;1;0;[0.33874404430389404, 0.35471901297569275, 0.306537002325058, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;21;464;4;1;[[0.18982551991939545, 0.21063371002674103, 0.1889057159423828, 0.1889057159423828, 0.2217293083667755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
