train_batch;infer_batch;tid;pred;truth;probs
1;4;356;0;1;[[0.25477850437164307, 0.17754124104976654, 0.09924715012311935, 0.16079017519950867, 0.15648382902145386, 0.15115903317928314, 0.0]]
1;7;449;2;0;[[0.23342177271842957, 0.37745410203933716, 0.3891240954399109, 0.0, 0.0, 0.0]]
1;11;526;1;0;[[0.2838951051235199, 0.36313167214393616, 0.35297322273254395, 0.0, 0.0, 0.0]]
1;13;456;2;0;[[0.30486154556274414, 0.1625000387430191, 0.532638430595398, 0.0, 0.0, 0.0]]
1;15;572;1;4;[[0.14106136560440063, 0.18094836175441742, 0.17898906767368317, 0.13598710298538208, 0.07096710801124573, 0.12180289626121521, 0.17024409770965576]]
1;20;31;2;0;[[0.19910894334316254, 0.33290135860443115, 0.4679897725582123, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;21;744;8;3;[[0.10280976444482803, 0.14355196058750153, 0.11746284365653992, 0.062394604086875916, 0.0948902890086174, 0.10306695103645325, 0.11264927685260773, 0.10251331329345703, 0.16066104173660278, 0.0]]
1;22;868;2;3;[[0.20580758154392242, 0.21590374410152435, 0.2462366819381714, 0.16102518141269684, 0.17102684080600739, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;24;162;3;1;[[0.23151421546936035, 0.11590719223022461, 0.17506800591945648, 0.27952760457992554, 0.19798290729522705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;27;216;1;2;[[0.2511698603630066, 0.2795563042163849, 0.19114993512630463, 0.2781238853931427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;31;872;0;2;[[0.23951022326946259, 0.21583515405654907, 0.11621628701686859, 0.2372148036956787, 0.191223606467247, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;32;113;3;4;[[0.20122212171554565, 0.16424612700939178, 0.1693902611732483, 0.20374329388141632, 0.10558672994375229, 0.15581144392490387, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;33;493;1;8;[[0.1030682846903801, 0.123256154358387, 0.09553054720163345, 0.10935753583908081, 0.09792765974998474, 0.10663404315710068, 0.11736999452114105, 0.09525036811828613, 0.06559654325246811, 0.08600875735282898, 0.0, 0.0]]
1;42;332;1;3;[[0.19424758851528168, 0.21351192891597748, 0.1952970325946808, 0.21215534210205078, 0.1847880333662033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;47;221;1;0;[[0.17159201204776764, 0.46571239829063416, 0.3626956045627594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;57;164;1;2;[[0.18414084613323212, 0.2114366590976715, 0.09091649949550629, 0.15026463568210602, 0.20365552604198456, 0.15958592295646667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;61;238;1;0;[[0.218687042593956, 0.4349265694618225, 0.3463863730430603, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;67;42;4;0;[[0.12818311154842377, 0.16907207667827606, 0.16907207667827606, 0.16571134328842163, 0.19220033288002014, 0.1757611483335495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;75;846;1;5;[[0.14950798451900482, 0.18136242032051086, 0.1453433632850647, 0.16256707906723022, 0.15320853888988495, 0.07178089022636414, 0.1362297087907791, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;76;159;0;1;[[0.24864332377910614, 0.10939634591341019, 0.2347469925880432, 0.1991618126630783, 0.20805145800113678, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;96;247;10;0;[[0.03184439241886139, 0.10429399460554123, 0.07938335090875626, 0.08238887041807175, 0.07839250564575195, 0.09790314733982086, 0.07893376797437668, 0.0857224240899086, 0.09514833986759186, 0.07743127644062042, 0.11110135167837143, 0.07745662331581116, 0.0, 0.0, 0.0, 0.0, 0.0]]
