train_batch;infer_batch;tid;pred;truth;probs
1;14;651;4;5;[[0.08904942125082016, 0.07740366458892822, 0.07043533772230148, 0.07008549571037292, 0.10421525686979294, 0.0648178979754448, 0.09724213182926178, 0.08802887797355652, 0.0716719925403595, 0.08808812499046326, 0.08922296017408371, 0.08973883092403412, 0.0]]
1;30;915;5;0;[[0.12762166559696198, 0.12089037895202637, 0.12089037895202637, 0.15973588824272156, 0.1443261057138443, 0.17605610191822052, 0.15047946572303772, 0.0, 0.0, 0.0, 0.0]]
1;32;380;1;0;[[0.16671349108219147, 0.30887147784233093, 0.30248120427131653, 0.22193388640880585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;47;145;0;2;[[0.13948345184326172, 0.09854639321565628, 0.0973227396607399, 0.10769060254096985, 0.12428361922502518, 0.12315540015697479, 0.11038282513618469, 0.0932696983218193, 0.10586536675691605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;88;997;4;5;[[0.13821196556091309, 0.12979038059711456, 0.13210751116275787, 0.12938840687274933, 0.14018593728542328, 0.09976790100336075, 0.10516391694545746, 0.1253838837146759, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;89;802;5;0;[[0.1204596757888794, 0.12377830594778061, 0.16459761559963226, 0.1238156333565712, 0.17093408107757568, 0.17265872657299042, 0.12375586479902267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;90;893;0;1;[[0.21972393989562988, 0.13923563063144684, 0.21136479079723358, 0.1432277113199234, 0.1432277113199234, 0.14322012662887573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;93;111;0;3;[0.1636749655008316, 0.15131618082523346, 0.1622389256954193, 0.11973436921834946, 0.12423472106456757, 0.15456610918045044, 0.12423472106456757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;93;902;0;1;[0.07067187130451202, 0.050201624631881714, 0.06956754624843597, 0.05995484068989754, 0.05900087580084801, 0.059751592576503754, 0.060188233852386475, 0.058654747903347015, 0.055975478142499924, 0.05864807590842247, 0.0520816408097744, 0.054700229316949844, 0.05629083514213562, 0.05859287083148956, 0.059040360152721405, 0.05817534774541855, 0.05850384384393692, 0.0, 0.0, 0.0, 0.0, 0.0]
1;100;705;3;2;[[0.18234069645404816, 0.1823437511920929, 0.1360776722431183, 0.1860310584306717, 0.13801391422748566, 0.17519286274909973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
