train_batch;infer_batch;tid;pred;truth;probs
1;3;639;4;2;[[0.17509725689888, 0.12873978912830353, 0.25410720705986023, 0.17162564396858215, 0.2704300582408905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;4;970;3;4;[[0.1863430142402649, 0.21473214030265808, 0.16814132034778595, 0.21884752810001373, 0.2119360715150833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;5;409;0;1;[[0.19425377249717712, 0.16672837734222412, 0.11138056963682175, 0.17575635015964508, 0.17594045400619507, 0.17594045400619507, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;6;385;2;1;[[0.2710345387458801, 0.332082599401474, 0.3968828618526459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;9;418;11;15;[0.052514877170324326, 0.04359465092420578, 0.04423586651682854, 0.06036098673939705, 0.04428456351161003, 0.044115807861089706, 0.04428456351161003, 0.04417579621076584, 0.04423586651682854, 0.04360802844166756, 0.04428456351161003, 0.0649380162358284, 0.04428456351161003, 0.04428456351161003, 0.04422230273485184, 0.04372868314385414, 0.05497832968831062, 0.04428456351161003, 0.061061084270477295, 0.04423586651682854, 0.044286567717790604, 0.0, 0.0, 0.0, 0.0, 0.0]
1;9;681;6;1;[0.09875129908323288, 0.12694376707077026, 0.09875129908323288, 0.09380625933408737, 0.09569431096315384, 0.08282028883695602, 0.12807601690292358, 0.07747241854667664, 0.09893302619457245, 0.09875129908323288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;11;683;8;9;[0.10119246691465378, 0.10235092043876648, 0.10235092043876648, 0.10644710808992386, 0.09139089286327362, 0.08485956490039825, 0.10235092043876648, 0.10636183619499207, 0.10644710808992386, 0.09624822437763214, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;11;749;1;0;[0.18864065408706665, 0.21559371054172516, 0.16256512701511383, 0.16241931915283203, 0.15863503515720367, 0.11214618384838104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;11;559;2;6;[0.12164716422557831, 0.11335556209087372, 0.18773919343948364, 0.11739406734704971, 0.11739406734704971, 0.11395351588726044, 0.136346697807312, 0.09216964244842529, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;11;649;0;3;[0.2132636308670044, 0.2002391219139099, 0.20005953311920166, 0.1955079436302185, 0.19092977046966553, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;12;933;1;2;[0.2820211350917816, 0.4445917010307312, 0.2733871042728424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;12;471;0;2;[0.22253350913524628, 0.09755033254623413, 0.16928495466709137, 0.12781153619289398, 0.12781153619289398, 0.1279127150774002, 0.12709544599056244, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;12;489;0;6;[0.09772557765245438, 0.08816663920879364, 0.07183656096458435, 0.09152353554964066, 0.08815617114305496, 0.09152437001466751, 0.09362497925758362, 0.09679167717695236, 0.09686830639839172, 0.087672658264637, 0.09610956162214279, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;12;682;7;1;[0.11180827766656876, 0.11510151624679565, 0.09292393177747726, 0.111953966319561, 0.111953966319561, 0.1228499710559845, 0.09923159331083298, 0.1228499710559845, 0.11132671684026718, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;13;171;0;8;[0.07497449964284897, 0.06185587868094444, 0.06932753324508667, 0.06361185759305954, 0.0705275908112526, 0.05555834621191025, 0.052529118955135345, 0.05555834621191025, 0.06443055719137192, 0.05550575256347656, 0.05555834621191025, 0.05555834621191025, 0.06218862161040306, 0.0705275908112526, 0.06218862161040306, 0.0700988620519638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;13;962;8;9;[0.06293606758117676, 0.0682314932346344, 0.10494636744260788, 0.0682314932346344, 0.0682314932346344, 0.06753227859735489, 0.1055067628622055, 0.09125564992427826, 0.1055067628622055, 0.09354984015226364, 0.09165683388710022, 0.07241484522819519, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;13;456;5;1;[0.09971711784601212, 0.11233918368816376, 0.09971711784601212, 0.09971711784601212, 0.09594246000051498, 0.19331173598766327, 0.0998210459947586, 0.09971711784601212, 0.09971711784601212, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;13;426;6;9;[0.09214908629655838, 0.09890658408403397, 0.08810673654079437, 0.10912720859050751, 0.09883107244968414, 0.09661344438791275, 0.1114581972360611, 0.10912720859050751, 0.09890658408403397, 0.09677383303642273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;14;918;16;2;[0.035051826387643814, 0.03453580662608147, 0.04934447631239891, 0.03560744971036911, 0.0357879139482975, 0.03563699498772621, 0.037244074046611786, 0.035642243921756744, 0.03546690568327904, 0.04840903729200363, 0.034530527889728546, 0.035642243921756744, 0.03563699498772621, 0.03547212481498718, 0.0357879139482975, 0.03977871686220169, 0.060152556747198105, 0.0357879139482975, 0.035642243921756744, 0.04041905328631401, 0.03563699498772621, 0.039969488978385925, 0.035642243921756744, 0.03547212481498718, 0.03957719728350639, 0.04212489351630211, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;14;414;7;2;[0.07565678656101227, 0.07434513419866562, 0.08329436928033829, 0.08835840970277786, 0.0695578008890152, 0.08542965352535248, 0.08556420356035233, 0.09000878036022186, 0.08835840970277786, 0.08550385385751724, 0.08556420356035233, 0.08835840970277786, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;14;502;3;-1;[0.11030088365077972, 0.11031397432088852, 0.08496318012475967, 0.18860909342765808, 0.15149842202663422, 0.08539378643035889, 0.0845576599240303, 0.09939988702535629, 0.08496318012475967, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;15;704;1;7;[0.0733836367726326, 0.11144249141216278, 0.07432067394256592, 0.10376084595918655, 0.06371650844812393, 0.07432067394256592, 0.07600872218608856, 0.0743105486035347, 0.07362093776464462, 0.0634760931134224, 0.06375858187675476, 0.07394515722990036, 0.07393507659435272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;15;724;0;12;[0.10732132196426392, 0.08490198850631714, 0.08121343702077866, 0.07077624648809433, 0.07071307301521301, 0.09322729706764221, 0.08133059740066528, 0.0844407007098198, 0.07836082577705383, 0.08139337599277496, 0.0812859907746315, 0.08503522723913193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;16;188;9;16;[0.04572201147675514, 0.05847024917602539, 0.04157925397157669, 0.04665529727935791, 0.051064521074295044, 0.041931089013814926, 0.04296937957406044, 0.047463566064834595, 0.04299521446228027, 0.06046817824244499, 0.04299521446228027, 0.04296873137354851, 0.04296937957406044, 0.05115756392478943, 0.05116216093301773, 0.047288548201322556, 0.05651918798685074, 0.05103383958339691, 0.041780222207307816, 0.05084945261478424, 0.041956931352615356, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;16;469;11;15;[0.03157205507159233, 0.02682328224182129, 0.027077767997980118, 0.027619607746601105, 0.027853740379214287, 0.02795431949198246, 0.027853740379214287, 0.02769417129456997, 0.02785123698413372, 0.02771528996527195, 0.027736425399780273, 0.04305282235145569, 0.02785123698413372, 0.02785123698413372, 0.027853740379214287, 0.03785218298435211, 0.02795431949198246, 0.027736425399780273, 0.02756023220717907, 0.027933016419410706, 0.02795431949198246, 0.031930502504110336, 0.03213464096188545, 0.027853740379214287, 0.03383227810263634, 0.027853740379214287, 0.027853740379214287, 0.027853740379214287, 0.03213464096188545, 0.027712801471352577, 0.032018207013607025, 0.027619607746601105, 0.02785194292664528, 0.03199929744005203, 0.0, 0.0, 0.0, 0.0]
1;16;529;13;11;[0.06083296239376068, 0.06554342061281204, 0.052974630147218704, 0.05952758342027664, 0.052943333983421326, 0.052974630147218704, 0.06114332005381584, 0.061623647809028625, 0.06154775619506836, 0.06140192970633507, 0.07198460400104523, 0.07360569387674332, 0.059562765061855316, 0.079698346555233, 0.060885798186063766, 0.06374954432249069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;16;809;0;3;[0.13528648018836975, 0.1301472783088684, 0.10715697705745697, 0.07701227813959122, 0.11609510332345963, 0.10458935797214508, 0.11600833386182785, 0.11609510332345963, 0.09760897606611252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;17;535;5;9;[0.06521614640951157, 0.06133424490690231, 0.05641384422779083, 0.07675883173942566, 0.06569506973028183, 0.1081342101097107, 0.06573303788900375, 0.06157682090997696, 0.05622408911585808, 0.06157682090997696, 0.06136822700500488, 0.08594208210706711, 0.05622408911585808, 0.06157829612493515, 0.05622408911585808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;17;413;11;2;[0.02546544186770916, 0.02567143179476261, 0.03027063049376011, 0.026069853454828262, 0.026297545060515404, 0.026407454162836075, 0.0263186264783144, 0.030267978087067604, 0.026214944198727608, 0.026316318660974503, 0.026214944198727608, 0.038829658180475235, 0.03027063049376011, 0.026193946599960327, 0.02515982650220394, 0.036778222769498825, 0.026316318660974503, 0.0263186264783144, 0.0263186264783144, 0.034324005246162415, 0.025955623015761375, 0.026407454162836075, 0.026193946599960327, 0.0260605625808239, 0.026407454162836075, 0.03027063049376011, 0.026407454162836075, 0.026316318660974503, 0.0263186264783144, 0.0263186264783144, 0.026297545060515404, 0.0263186264783144, 0.026212645694613457, 0.028303394094109535, 0.026090754196047783, 0.03409534692764282, 0.0, 0.0, 0.0, 0.0]
1;17;912;12;15;[0.03726966679096222, 0.02959626168012619, 0.026925817131996155, 0.02715437486767769, 0.0272460225969553, 0.027139222249388695, 0.027047399431467056, 0.029404539614915848, 0.027139222249388695, 0.027047399431467056, 0.027047399431467056, 0.027032310143113136, 0.04662211611866951, 0.02715437486767769, 0.027139222249388695, 0.029550913721323013, 0.02715437486767769, 0.027139222249388695, 0.026767246425151825, 0.027230819687247276, 0.027047399431467056, 0.02688811533153057, 0.0272460225969553, 0.0272460225969553, 0.02715437486767769, 0.027139222249388695, 0.02715437486767769, 0.02715437486767769, 0.029550913721323013, 0.02715437486767769, 0.03072727471590042, 0.029567290097475052, 0.0305891502648592, 0.02715502306818962, 0.02941807359457016, 0.0, 0.0, 0.0, 0.0, 0.0]
1;18;54;0;16;[0.05308384820818901, 0.043591007590293884, 0.04501531645655632, 0.0453292652964592, 0.03982429578900337, 0.03982429578900337, 0.048161834478378296, 0.03882785141468048, 0.045071057975292206, 0.048340704292058945, 0.038807615637779236, 0.038045503199100494, 0.04579776152968407, 0.048258524388074875, 0.03882785141468048, 0.048340704292058945, 0.050653550773859024, 0.0410521924495697, 0.03982429578900337, 0.03982429578900337, 0.0451861135661602, 0.039631035178899765, 0.038681089878082275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
