train_batch;infer_batch;tid;pred;truth;probs
1;13;426;0;5;[[0.16953244805335999, 0.1347717046737671, 0.12259309738874435, 0.13416188955307007, 0.13414208590984344, 0.13556556403636932, 0.16923320293426514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;21;378;0;-1;[[0.20276378095149994, 0.10950212925672531, 0.10976598411798477, 0.11132122576236725, 0.1116141602396965, 0.09745849668979645, 0.10933487117290497, 0.1482393890619278, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;25;252;10;5;[[0.10334579646587372, 0.08800085633993149, 0.08798747509717941, 0.08858755230903625, 0.08682415634393692, 0.0892714187502861, 0.09694518148899078, 0.08288320899009705, 0.08496462553739548, 0.08717578649520874, 0.1040138304233551, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;33;405;5;4;[[0.15050677955150604, 0.12804244458675385, 0.1275160014629364, 0.14727729558944702, 0.1266215294599533, 0.1708892285823822, 0.14914670586585999, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;50;158;0;-1;[[0.5787097811698914, 0.42129015922546387, 0.0, 0.0, 0.0, 0.0]]
1;55;208;0;-1;[[0.5328087210655212, 0.4671911895275116, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;63;506;1;-1;[[0.4528198540210724, 0.54718017578125, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;77;698;0;-1;[[0.5024098753929138, 0.2757326364517212, 0.2218574732542038, 0.0, 0.0, 0.0, 0.0]]
2;13;426;0;5;[[0.19821962714195251, 0.12246723473072052, 0.12153013050556183, 0.1218179240822792, 0.12198448181152344, 0.12367229908704758, 0.1903083175420761, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;21;378;0;-1;[[0.2519958019256592, 0.09654490649700165, 0.09673228114843369, 0.09803003072738647, 0.09769090265035629, 0.08505608886480331, 0.10860781371593475, 0.16534215211868286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;33;405;5;4;[[0.154619961977005, 0.12123233824968338, 0.12447583675384521, 0.14475688338279724, 0.12321221828460693, 0.17687176167964935, 0.15483102202415466, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;50;158;0;-1;[[0.6313193440437317, 0.3686806261539459, 0.0, 0.0, 0.0, 0.0]]
2;55;208;0;-1;[[0.546270489692688, 0.4537294805049896, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;62;718;0;1;[[0.42947298288345337, 0.19390079379081726, 0.37662625312805176, 0.0, 0.0, 0.0, 0.0]]
2;63;506;1;-1;[[0.4722568392753601, 0.5277431607246399, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;77;698;0;-1;[[0.533890962600708, 0.2410181164741516, 0.2250908762216568, 0.0, 0.0, 0.0, 0.0]]
2;88;888;0;-1;[[0.31546178460121155, 0.19294415414333344, 0.17894861102104187, 0.31264540553092957, 0.0, 0.0, 0.0]]
1;13;426;0;5;[[0.16953244805335999, 0.1347717046737671, 0.12259309738874435, 0.13416188955307007, 0.13414208590984344, 0.13556556403636932, 0.16923320293426514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;21;378;0;-1;[[0.20276378095149994, 0.10950212925672531, 0.10976598411798477, 0.11132122576236725, 0.1116141602396965, 0.09745849668979645, 0.10933487117290497, 0.1482393890619278, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;25;252;10;5;[[0.10334579646587372, 0.08800085633993149, 0.08798747509717941, 0.08858755230903625, 0.08682415634393692, 0.0892714187502861, 0.09694518148899078, 0.08288320899009705, 0.08496462553739548, 0.08717578649520874, 0.1040138304233551, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;33;405;5;4;[[0.15050677955150604, 0.12804244458675385, 0.1275160014629364, 0.14727729558944702, 0.1266215294599533, 0.1708892285823822, 0.14914670586585999, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;50;158;0;-1;[[0.5787097811698914, 0.42129015922546387, 0.0, 0.0, 0.0, 0.0]]
1;55;208;0;-1;[[0.5328087210655212, 0.4671911895275116, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;63;506;1;-1;[[0.4528198540210724, 0.54718017578125, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;77;698;0;-1;[[0.5024098753929138, 0.2757326364517212, 0.2218574732542038, 0.0, 0.0, 0.0, 0.0]]
2;13;426;0;5;[[0.19821962714195251, 0.12246723473072052, 0.12153013050556183, 0.1218179240822792, 0.12198448181152344, 0.12367229908704758, 0.1903083175420761, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;21;378;0;-1;[[0.2519958019256592, 0.09654490649700165, 0.09673228114843369, 0.09803003072738647, 0.09769090265035629, 0.08505608886480331, 0.10860781371593475, 0.16534215211868286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;33;405;5;4;[[0.154619961977005, 0.12123233824968338, 0.12447583675384521, 0.14475688338279724, 0.12321221828460693, 0.17687176167964935, 0.15483102202415466, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;50;158;0;-1;[[0.6313193440437317, 0.3686806261539459, 0.0, 0.0, 0.0, 0.0]]
2;55;208;0;-1;[[0.546270489692688, 0.4537294805049896, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;62;718;0;1;[[0.42947298288345337, 0.19390079379081726, 0.37662625312805176, 0.0, 0.0, 0.0, 0.0]]
2;63;506;1;-1;[[0.4722568392753601, 0.5277431607246399, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;2;187;0;-1;[[0.33698663115501404, 0.32898005843162537, 0.334033340215683, 0.0, 0.0, 0.0, 0.0]]
2;77;698;0;-1;[[0.533890962600708, 0.2410181164741516, 0.2250908762216568, 0.0, 0.0, 0.0, 0.0]]
2;88;888;0;-1;[[0.31546178460121155, 0.19294415414333344, 0.17894861102104187, 0.31264540553092957, 0.0, 0.0, 0.0]]
1;21;378;0;1;[[0.40863412618637085, 0.2968761622905731, 0.2944897413253784, 0.0, 0.0, 0.0, 0.0]]
1;22;860;0;-1;[[0.40937912464141846, 0.2964188754558563, 0.2942019999027252, 0.0, 0.0, 0.0, 0.0]]
1;25;252;2;-1;[[0.3040219247341156, 0.3456381559371948, 0.3503398895263672, 0.0, 0.0, 0.0, 0.0]]
1;33;405;0;-1;[[0.35644611716270447, 0.33914637565612793, 0.3044074475765228, 0.0, 0.0, 0.0, 0.0]]
1;36;163;0;-1;[[0.3252713680267334, 0.2227262407541275, 0.2227262407541275, 0.22927607595920563, 0.0, 0.0, 0.0]]
1;50;158;0;-1;[[0.30186566710472107, 0.22767071425914764, 0.2361900508403778, 0.2342735081911087, 0.0, 0.0, 0.0]]
1;55;208;0;-1;[[0.5350006818771362, 0.46499937772750854, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;61;238;0;-1;[[0.39848166704177856, 0.28599053621292114, 0.3155278265476227, 0.0, 0.0, 0.0, 0.0]]
1;63;506;2;-1;[[0.35537242889404297, 0.2755982279777527, 0.36902934312820435, 0.0, 0.0, 0.0, 0.0]]
1;77;698;0;-1;[[0.35262301564216614, 0.24042606353759766, 0.24550321698188782, 0.16144776344299316, 0.0, 0.0, 0.0]]
3;21;378;0;-1;[[0.2794553339481354, 0.0877838060259819, 0.08788196742534637, 0.0889444574713707, 0.08800274133682251, 0.07570774853229523, 0.1061779335141182, 0.1860460638999939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
