train_batch;infer_batch;tid;pred;truth;probs
1;25;193;1;2;[[0.20577071607112885, 0.3170790672302246, 0.28422853350639343, 0.1929217129945755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;25;193;1;2;[[0.18289943039417267, 0.307492733001709, 0.3048470914363861, 0.2047608345746994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;25;193;1;2;[[0.20577071607112885, 0.3170790672302246, 0.28422853350639343, 0.1929217129945755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
2;25;193;1;2;[[0.18289943039417267, 0.307492733001709, 0.3048470914363861, 0.2047608345746994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;12;682;4;5;[[0.07375458627939224, 0.12579326331615448, 0.08012720197439194, 0.09224773943424225, 0.13321198523044586, 0.12017296999692917, 0.10623111575841904, 0.10686465352773666, 0.07957245409488678, 0.0820239931344986, 0.0, 0.0, 0.0, 0.0]]
1;13;456;3;2;[[0.11082081496715546, 0.12668634951114655, 0.349566787481308, 0.4129260778427124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;25;193;1;2;[[0.20577071607112885, 0.3170790672302246, 0.28422853350639343, 0.1929217129945755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;40;677;0;1;[[0.37006863951683044, 0.36482277512550354, 0.26510852575302124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;44;359;2;5;[[0.11731993407011032, 0.09322847425937653, 0.15309849381446838, 0.09154202789068222, 0.1290844827890396, 0.1529950350522995, 0.0865764245390892, 0.08956010639667511, 0.08659497648477554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;62;134;1;2;[0.2103714495897293, 0.2952641546726227, 0.28397518396377563, 0.21038922667503357, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;62;438;2;0;[0.2744823098182678, 0.20454950630664825, 0.2990342378616333, 0.22193387150764465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;63;695;2;3;[[0.08824539929628372, 0.08782800287008286, 0.10510428994894028, 0.09770457446575165, 0.07397963851690292, 0.07397963851690292, 0.06329283863306046, 0.07367349416017532, 0.08462511003017426, 0.08244285732507706, 0.08449900150299072, 0.08462511003017426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;66;225;1;2;[[0.13245049118995667, 0.1852719932794571, 0.16114847362041473, 0.1324550211429596, 0.12723997235298157, 0.13271668553352356, 0.12871740758419037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;70;433;2;0;[0.28627869486808777, 0.2284954935312271, 0.2908293604850769, 0.19439642131328583, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;70;432;1;0;[0.3461083769798279, 0.38518577814102173, 0.2687058448791504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;72;439;5;0;[[0.1599940061569214, 0.1282857358455658, 0.13223972916603088, 0.13884074985980988, 0.14070647954940796, 0.17478454113006592, 0.12514878809452057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;74;877;5;1;[0.11110956966876984, 0.14903853833675385, 0.14547139406204224, 0.1109783947467804, 0.1111035943031311, 0.1503700464963913, 0.1111035943031311, 0.11082489043474197, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;74;390;1;4;[0.1183733269572258, 0.17230059206485748, 0.1243315115571022, 0.17224931716918945, 0.169305220246315, 0.1250665932893753, 0.1183733269572258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1;2;446;4;0;[[0.17490655183792114, 0.14754793047904968, 0.14164799451828003, 0.1475456804037094, 0.22820888459682465, 0.16014300286769867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;3;440;2;0;[[0.1826755851507187, 0.1565093845129013, 0.22784875333309174, 0.1384800225496292, 0.15425848960876465, 0.14022783935070038, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;92;657;4;6;[[0.10868395119905472, 0.12399225682020187, 0.13031427562236786, 0.12403447926044464, 0.13544179499149323, 0.13030754029750824, 0.12320535629987717, 0.12402030825614929, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;25;252;4;2;[[0.17627328634262085, 0.22076547145843506, 0.20582513511180878, 0.176300510764122, 0.2208356261253357, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;46;436;2;0;[[0.15056629478931427, 0.12620504200458527, 0.19283702969551086, 0.13707731664180756, 0.15088394284248352, 0.12119501084089279, 0.12123537808656693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
