train_batch;infer_batch;tid;pred;truth;probs
1;70;340;1;2;[[0.21121826767921448, 0.22268012166023254, 0.18526384234428406, 0.15944039821624756, 0.22139737010002136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;81;544;4;3;[[0.15721207857131958, 0.1566556990146637, 0.15959353744983673, 0.18102781474590302, 0.18305426836013794, 0.16245661675930023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;70;340;1;2;[[0.21121826767921448, 0.22268012166023254, 0.18526384234428406, 0.15944039821624756, 0.22139737010002136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;81;544;4;3;[[0.15721207857131958, 0.1566556990146637, 0.15959353744983673, 0.18102781474590302, 0.18305426836013794, 0.16245661675930023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;70;340;2;3;[[0.14507581293582916, 0.14697639644145966, 0.21440698206424713, 0.2070598304271698, 0.1336304396390915, 0.1528504639863968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;22;213;1;2;[[0.13954852521419525, 0.1945062279701233, 0.18002356588840485, 0.14711618423461914, 0.18281283974647522, 0.15599262714385986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;34;203;1;2;[[0.1096871867775917, 0.1532639116048813, 0.1529397964477539, 0.1264718919992447, 0.11649003624916077, 0.10607527941465378, 0.1067735031247139, 0.12829838693141937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;37;217;1;2;[[0.1327708661556244, 0.2416280061006546, 0.2250318080186844, 0.14052747189998627, 0.13076671957969666, 0.12927517294883728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;40;46;4;3;[[0.07724836468696594, 0.07437679916620255, 0.07327567040920258, 0.09436705708503723, 0.10217534750699997, 0.0743311271071434, 0.07295029610395432, 0.07272864133119583, 0.07322102040052414, 0.0736529529094696, 0.06695452332496643, 0.07272864133119583, 0.0719895288348198, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
1;70;340;1;2;[[0.21121826767921448, 0.22268012166023254, 0.18526384234428406, 0.15944039821624756, 0.22139737010002136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
