infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;886;3821;0.7697516930022573;0.7697516930022573;0.7697516930022573;0.7697516930022573;0.7697516930022573;886.0;886.0;682.0;886;886.0;0;886.0;0.0
dk;incremental;False;-1;2;838;3831;0.7911694510739857;0.7911694510739857;0.7911694510739857;0.7911694510739857;0.7911694510739857;838.0;838.0;663.0;838;838.0;0;838.0;0.0
dk;incremental;False;-1;3;771;3897;0.788586251621271;0.788586251621271;0.788586251621271;0.788586251621271;0.788586251621271;771.0;771.0;608.0;771;771.0;0;771.0;0.0
dk;incremental;False;-1;4;829;3836;0.7756332931242461;0.7756332931242461;0.7756332931242461;0.7756332931242461;0.7756332931242461;829.0;829.0;643.0;829;829.0;0;829.0;0.0
dk;incremental;False;-1;5;892;3814;0.7600896860986547;0.7600896860986547;0.7600896860986547;0.7600896860986546;0.7600896860986546;892.0;892.0;678.0;892;892.0;0;892.0;0.0
dk;incremental;False;-1;6;854;3685;0.7845433255269321;0.7845433255269321;0.7845433255269321;0.784543325526932;0.784543325526932;854.0;854.0;670.0;854;854.0;0;854.0;0.0
dk;incremental;False;-1;7;830;3828;0.7783132530120482;0.7783132530120482;0.7783132530120482;0.7783132530120482;0.7783132530120482;830.0;830.0;646.0;830;830.0;0;830.0;0.0
dk;incremental;False;-1;8;870;3817;0.7827586206896552;0.7827586206896552;0.7827586206896552;0.7827586206896551;0.7827586206896551;870.0;870.0;681.0;870;870.0;0;870.0;0.0
dk;incremental;False;-1;9;818;3819;0.7946210268948656;0.7946210268948656;0.7946210268948656;0.7946210268948656;0.7946210268948656;818.0;818.0;650.0;818;818.0;0;818.0;0.0
dk;incremental;False;-1;10;851;3833;0.7837837837837838;0.7837837837837838;0.7837837837837838;0.7837837837837838;0.7837837837837838;851.0;851.0;667.0;851;851.0;0;851.0;0.0
dk;incremental;False;-1;11;892;3771;0.757327080890973;0.7582159624413145;0.7582159624413145;0.7577712609970674;0.7577712609970674;852.0;852.0;646.0;853;853.0;1.0;852.0;0.0
dk;incremental;False;-1;12;839;3840;0.7949940405244339;0.7949940405244339;0.7949940405244339;0.7949940405244339;0.7949940405244339;839.0;839.0;667.0;839;839.0;0;839.0;0.0
dk;incremental;False;-1;13;884;3747;0.7790834312573442;0.78;0.78;0.7795414462081128;0.7795414462081128;850.0;850.0;663.0;851;851.0;1.0;850.0;0.0
dk;incremental;False;-1;14;875;3861;0.776;0.776;0.776;0.776;0.776;875.0;875.0;679.0;875;875.0;0;875.0;0.0
dk;incremental;False;-1;15;848;3809;0.7830188679245284;0.7830188679245284;0.7830188679245284;0.7830188679245284;0.7830188679245284;848.0;848.0;664.0;848;848.0;0;848.0;0.0
dk;incremental;False;-1;16;886;3791;0.7358916478555305;0.7358916478555305;0.7358916478555305;0.7358916478555305;0.7358916478555305;886.0;886.0;652.0;886;886.0;0;886.0;0.0
dk;incremental;False;-1;17;883;3768;0.8029445073612684;0.8029445073612684;0.8029445073612684;0.8029445073612684;0.8029445073612684;883.0;883.0;709.0;883;883.0;0;883.0;0.0
dk;incremental;False;-1;18;906;3834;0.7991169977924945;0.7991169977924945;0.7991169977924945;0.7991169977924945;0.7991169977924945;906.0;906.0;724.0;906;906.0;0;906.0;0.0
dk;incremental;False;-1;19;862;3822;0.7865429234338747;0.7865429234338747;0.7865429234338747;0.7865429234338747;0.7865429234338747;862.0;862.0;678.0;862;862.0;0;862.0;0.0
dk;incremental;False;-1;20;807;3833;0.7893432465923172;0.7893432465923172;0.7893432465923172;0.7893432465923172;0.7893432465923172;807.0;807.0;637.0;807;807.0;0;807.0;0.0
dk;incremental;False;-1;21;811;3865;0.7805178791615289;0.7805178791615289;0.7805178791615289;0.7805178791615289;0.7805178791615289;811.0;811.0;633.0;811;811.0;0;811.0;0.0
dk;incremental;False;-1;22;848;3781;0.7783018867924528;0.7783018867924528;0.7783018867924528;0.7783018867924528;0.7783018867924528;848.0;848.0;660.0;848;848.0;0;848.0;0.0
dk;incremental;False;-1;23;961;3650;0.7704545454545455;0.7722095671981777;0.7722095671981777;0.7713310580204777;0.7713310580204777;878.0;878.0;678.0;880;880.0;2.0;878.0;0.0
dk;incremental;False;-1;24;875;3779;0.768;0.768;0.768;0.768;0.768;875.0;875.0;672.0;875;875.0;0;875.0;0.0
dk;incremental;False;-1;25;830;3853;0.8240963855421687;0.8240963855421687;0.8240963855421687;0.8240963855421687;0.8240963855421687;830.0;830.0;684.0;830;830.0;0;830.0;0.0
dk;incremental;False;-1;26;879;3844;0.7906712172923777;0.7906712172923777;0.7906712172923777;0.7906712172923778;0.7906712172923778;879.0;879.0;695.0;879;879.0;0;879.0;0.0
dk;incremental;False;-1;27;851;3805;0.7849588719153937;0.7849588719153937;0.7849588719153937;0.7849588719153936;0.7849588719153936;851.0;851.0;668.0;851;851.0;0;851.0;0.0
dk;incremental;False;-1;28;829;3831;0.7864897466827503;0.7864897466827503;0.7864897466827503;0.7864897466827502;0.7864897466827502;829.0;829.0;652.0;829;829.0;0;829.0;0.0
dk;incremental;False;-1;29;832;3821;0.8245192307692307;0.8245192307692307;0.8245192307692307;0.8245192307692307;0.8245192307692307;832.0;832.0;686.0;832;832.0;0;832.0;0.0
dk;incremental;False;-1;30;912;3720;0.7737819025522041;0.7764842840512224;0.7764842840512224;0.7751307379430563;0.7751307379430563;859.0;859.0;667.0;862;862.0;3.0;859.0;0.0
dk;incremental;False;-1;31;889;3827;0.7750281214848144;0.7750281214848144;0.7750281214848144;0.7750281214848144;0.7750281214848144;889.0;889.0;689.0;889;889.0;0;889.0;0.0
dk;incremental;False;-1;32;838;3818;0.7971360381861575;0.7971360381861575;0.7971360381861575;0.7971360381861575;0.7971360381861575;838.0;838.0;668.0;838;838.0;0;838.0;0.0
dk;incremental;False;-1;33;815;3822;0.807361963190184;0.807361963190184;0.807361963190184;0.807361963190184;0.807361963190184;815.0;815.0;658.0;815;815.0;0;815.0;0.0
dk;incremental;False;-1;34;822;3858;0.7603406326034063;0.7603406326034063;0.7603406326034063;0.7603406326034063;0.7603406326034063;822.0;822.0;625.0;822;822.0;0;822.0;0.0
dk;incremental;False;-1;35;822;3873;0.8126520681265207;0.8126520681265207;0.8126520681265207;0.8126520681265208;0.8126520681265208;822.0;822.0;668.0;822;822.0;0;822.0;0.0
dk;incremental;False;-1;36;856;3808;0.802570093457944;0.802570093457944;0.802570093457944;0.802570093457944;0.802570093457944;856.0;856.0;687.0;856;856.0;0;856.0;0.0
dk;incremental;False;-1;37;862;3779;0.7865429234338747;0.7865429234338747;0.7865429234338747;0.7865429234338747;0.7865429234338747;862.0;862.0;678.0;862;862.0;0;862.0;0.0
dk;incremental;False;-1;38;856;3822;0.7663551401869159;0.7663551401869159;0.7663551401869159;0.766355140186916;0.766355140186916;856.0;856.0;656.0;856;856.0;0;856.0;0.0
dk;incremental;False;-1;39;822;3859;0.7834549878345499;0.7834549878345499;0.7834549878345499;0.7834549878345499;0.7834549878345499;822.0;822.0;644.0;822;822.0;0;822.0;0.0
dk;incremental;False;-1;40;883;3773;0.7896634615384616;0.7925211097708083;0.7925211097708083;0.7910897049969897;0.7910897049969897;829.0;829.0;657.0;832;832.0;3.0;829.0;0.0
dk;incremental;False;-1;41;852;3867;0.7640845070422535;0.7640845070422535;0.7640845070422535;0.7640845070422535;0.7640845070422535;852.0;852.0;651.0;852;852.0;0;852.0;0.0
dk;incremental;False;-1;42;851;3806;0.7849588719153937;0.7849588719153937;0.7849588719153937;0.7849588719153936;0.7849588719153936;851.0;851.0;668.0;851;851.0;0;851.0;0.0
dk;incremental;False;-1;43;830;3832;0.763855421686747;0.763855421686747;0.763855421686747;0.763855421686747;0.763855421686747;830.0;830.0;634.0;830;830.0;0;830.0;0.0
dk;incremental;False;-1;44;903;3754;0.7692307692307693;0.7719298245614035;0.7719298245614035;0.7705779334500876;0.7705779334500876;855.0;855.0;660.0;858;858.0;3.0;855.0;0.0
dk;incremental;False;-1;45;832;3834;0.7620192307692307;0.7620192307692307;0.7620192307692307;0.7620192307692307;0.7620192307692307;832.0;832.0;634.0;832;832.0;0;832.0;0.0
dk;incremental;False;-1;46;870;3831;0.771264367816092;0.771264367816092;0.771264367816092;0.771264367816092;0.771264367816092;870.0;870.0;671.0;870;870.0;0;870.0;0.0
dk;incremental;False;-1;47;852;3846;0.7946009389671361;0.7946009389671361;0.7946009389671361;0.7946009389671361;0.7946009389671361;852.0;852.0;677.0;852;852.0;0;852.0;0.0
dk;incremental;False;-1;48;815;3856;0.7668711656441718;0.7668711656441718;0.7668711656441718;0.7668711656441717;0.7668711656441717;815.0;815.0;625.0;815;815.0;0;815.0;0.0
dk;incremental;False;-1;49;818;3868;0.7591687041564792;0.7591687041564792;0.7591687041564792;0.7591687041564793;0.7591687041564793;818.0;818.0;621.0;818;818.0;0;818.0;0.0
dk;incremental;False;-1;50;878;3741;0.7710843373493976;0.7729468599033816;0.7729468599033816;0.7720144752714113;0.7720144752714113;828.0;828.0;640.0;830;830.0;2.0;828.0;0.0
dk;incremental;False;-1;51;864;3822;0.7847222222222222;0.7847222222222222;0.7847222222222222;0.7847222222222222;0.7847222222222222;864.0;864.0;678.0;864;864.0;0;864.0;0.0
dk;incremental;False;-1;52;810;3859;0.8049382716049382;0.8049382716049382;0.8049382716049382;0.8049382716049382;0.8049382716049382;810.0;810.0;652.0;810;810.0;0;810.0;0.0
dk;incremental;False;-1;53;859;3715;0.7741559953434226;0.7741559953434226;0.7741559953434226;0.7741559953434226;0.7741559953434226;859.0;859.0;665.0;859;859.0;0;859.0;0.0
dk;incremental;False;-1;54;829;3871;0.7575392038600723;0.7575392038600723;0.7575392038600723;0.7575392038600723;0.7575392038600723;829.0;829.0;628.0;829;829.0;0;829.0;0.0
dk;incremental;False;-1;55;847;3823;0.7886658795749705;0.7886658795749705;0.7886658795749705;0.7886658795749705;0.7886658795749705;847.0;847.0;668.0;847;847.0;0;847.0;0.0
dk;incremental;False;-1;56;854;3818;0.8231850117096019;0.8231850117096019;0.8231850117096019;0.8231850117096018;0.8231850117096018;854.0;854.0;703.0;854;854.0;0;854.0;0.0
dk;incremental;False;-1;57;843;3854;0.800711743772242;0.800711743772242;0.800711743772242;0.8007117437722421;0.8007117437722421;843.0;843.0;675.0;843;843.0;0;843.0;0.0
dk;incremental;False;-1;58;810;3836;0.7913580246913581;0.7913580246913581;0.7913580246913581;0.791358024691358;0.791358024691358;810.0;810.0;641.0;810;810.0;0;810.0;0.0
dk;incremental;False;-1;59;809;3833;0.799752781211372;0.799752781211372;0.799752781211372;0.7997527812113722;0.7997527812113722;809.0;809.0;647.0;809;809.0;0;809.0;0.0
dk;incremental;False;-1;60;822;3766;0.7749391727493917;0.7749391727493917;0.7749391727493917;0.7749391727493916;0.7749391727493916;822.0;822.0;637.0;822;822.0;0;822.0;0.0
dk;incremental;False;-1;61;831;3831;0.7569193742478941;0.7569193742478941;0.7569193742478941;0.7569193742478941;0.7569193742478941;831.0;831.0;629.0;831;831.0;0;831.0;0.0
dk;incremental;False;-1;62;827;3815;0.7714631197097944;0.7714631197097944;0.7714631197097944;0.7714631197097944;0.7714631197097944;827.0;827.0;638.0;827;827.0;0;827.0;0.0
dk;incremental;False;-1;63;850;3809;0.7670588235294118;0.7670588235294118;0.7670588235294118;0.7670588235294118;0.7670588235294118;850.0;850.0;652.0;850;850.0;0;850.0;0.0
