infer_mode;features;train_using_all_batches;iteration;skip_training_starting_batch;batch;load_data;load_dcs;detect_errors;setup_domain;featurize_data;setup_model;fit_model;infer_repairs;get_inferred_values;generate_repaired_dataset;repaired_table_copy_time;save_stats_time
dk;incremental;False;1;-1;1;0.15082499999698484;0.0016990000003715977;0.16388300000107847;4.161652565002441;15.480374999999185;0.006077000005461741;29.136296000004222;0.5030160000023898;0.02664799999911338;0.06736000000091735;0;0.006538000001455657
dk;incremental;False;1;-1;2;0.16307500000402797;0.0015889999995124526;0.16569600000366336;3.99652361869812;14.706249999995634;0.005987999997159932;31.231488999997964;0.47279600000183564;0.026182000001426786;0.06399299999611685;0;0.008216000001993962
dk;incremental;False;1;-1;3;0.17529800000193063;0.0016379999942728318;0.16203500000119675;4.07892632484436;15.546717999997782;0.006309000003966503;26.06404499999917;0.4638780000022962;0.02564200000051642;0.06366300000081537;0;0.006760999996913597
dk;incremental;False;1;-1;4;0.1632030000037048;0.001596000001882203;0.1551370000015595;4.148430824279785;16.493751000001794;0.006051000003935769;28.580887999996776;0.49790699999721255;0.02691200000117533;0.06083300000318559;0;0.007721000001765788
dk;incremental;False;1;-1;5;0.16938500000105705;0.0016389999946113676;0.16662100000394275;4.018870830535889;14.746125999998185;0.0061080000014044344;25.343110000001616;0.4804740000035963;0.02524999999877764;0.059969000001729;0;0.006396999997377861
dk;incremental;False;1;-1;6;0.17145799999707378;0.0016690000047674403;0.16299099999741884;4.427695989608765;17.19488999999885;0.008065999994869344;24.99555899999541;0.5277349999960279;0.024511000003258232;0.06412100000306964;0;0.007154999999329448
dk;incremental;False;1;-1;7;0.17328799999813782;0.0016160000013769604;0.169662000000244;4.2602033615112305;16.620733000003383;0.006282000002101995;29.17389700000058;0.501685000002908;0.026296999996702652;0.06351200000062818;0;0.007192000004579313
dk;incremental;False;1;-1;8;0.1632979999994859;0.0016049999976530671;0.15690899999754038;4.180010080337524;15.708833999997296;0.006175000002258457;26.750145999998495;0.49853299999813316;0.027597000000241678;0.06278000000020256;0;0.006556000000273343
dk;incremental;False;1;-1;9;0.1632450000033714;0.0015469999998458661;0.15689500000007683;4.202520370483398;17.075556000003417;0.0063020000015967526;30.530815000005532;0.5104480000009062;0.02487299999484094;0.06307399999786867;0;0.008808999999018852
dk;incremental;False;1;-1;10;0.18243900000379654;0.0016790000008768402;0.16039099999761675;4.32408881187439;17.114362000000256;0.006188999999722;33.5535330000057;0.533132000004116;0.025504999997792765;0.06286200000613462;0;0.007334999994782265
dk;incremental;False;1;-1;11;0.16937800000596326;0.0015979999952833168;0.1580759999997099;4.120036602020264;16.28949499999726;0.006833999999798834;23.908673999998427;0.5125790000020061;0.02472299999499228;0.06268299999646842;0;0.007368999999016523
dk;incremental;False;1;-1;12;0.17062599999917438;0.0016290000057779253;0.15614500000083353;4.310366153717041;16.836237000003166;0.006061000000045169;28.244971000000078;0.5090989999953308;0.02648600000247825;0.06318699999246746;0;0.007060000003548339
dk;incremental;False;1;-1;13;0.1794609999997192;0.0016150000010384247;0.1620519999996759;4.346316814422607;17.197186000004876;0.006246999997529201;24.84163499999704;0.5286819999964791;0.025086000001465436;0.06305299999803538;0;0.007321999997657258
