infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;886;3821;0.7697516930022573;0.7697516930022573;0.7697516930022573;0.7697516930022573;0.7697516930022573;886.0;886.0;682.0;886;886.0;0;886.0;0.0
dk;incremental;False;-1;2;4030;5016;0.6156615661566157;0.6564299424184261;0.7339055793991416;0.6353924756154204;0.669603524229075;932.0;1042.0;684.0;1111;1111.0;251.0;860.0;0.0
dk;incremental;False;-1;3;6362;6862;0.6196078431372549;0.4579710144927536;0.5271059216013344;0.5266666666666667;0.5696259576385758;1199.0;1380.0;632.0;1020;1020.0;206.0;814.0;0.0
dk;incremental;False;-1;4;8581;8936;0.6132075471698113;0.4010095344924285;0.46916010498687666;0.4849101390301797;0.5315985130111525;1524.0;1783.0;715.0;1166;1166.0;256.0;910.0;0.0
dk;incremental;False;-1;5;10441;11308;0.588897827835881;0.3303249097472924;0.3899840170484816;0.42324371205550737;0.46923076923076923;1877.0;2216.0;732.0;1243;1243.0;288.0;955.0;0.0
dk;incremental;False;-1;6;11689;14343;0.5777951524628616;0.2814166031987814;0.3490788852149268;0.37848911651728556;0.4352179034157833;2117.0;2626.0;739.0;1279;1279.0;347.0;932.0;0.0
dk;incremental;False;-1;7;14076;16194;0.557088122605364;0.2372715404699739;0.3052057094878254;0.33279926756694894;0.39435855709248707;2382.0;3064.0;727.0;1305;1305.0;375.0;930.0;0.0
dk;incremental;False;-1;8;15520;18959;0.5848;0.20407593523171413;0.24991452991452992;0.302566225165563;0.3501796407185629;2925.0;3582.0;731.0;1250;1250.0;279.0;971.0;0.0
dk;incremental;False;-1;9;19114;19518;0.5659919028340081;0.1770516717325228;0.21912225705329152;0.2697279567817866;0.31593220338983047;3190.0;3948.0;699.0;1235;1235.0;322.0;913.0;0.0
dk;incremental;False;-1;10;21083;21794;0.5648503453568687;0.16644052464947987;0.1983292912961466;0.257117903930131;0.29357798165137616;3711.0;4422.0;736.0;1303;1303.0;332.0;971.0;0.0
dk;incremental;False;-1;11;22858;24257;0.5348148148148149;0.14825462012320328;0.17796401281735272;0.23215434083601286;0.2670612169410024;4057.0;4870.0;722.0;1350;1350.0;385.0;965.0;0.0
dk;incremental;False;-1;12;26050;25314;0.4814573845152895;0.1377513030528667;0.16415261756876665;0.21421334491243305;0.24483043837882548;4508.0;5372.0;740.0;1537;1537.0;588.0;949.0;0.0
dk;incremental;False;-1;13;28976;26742;0.5334728033472803;0.12602965403624383;0.15139521076588167;0.20389125799573563;0.23585632804069678;5053.0;6070.0;765.0;1434;1434.0;443.0;991.0;0.0
dk;incremental;False;-1;14;28391;31584;0.4928478543563069;0.11444964517590216;0.13697144922298518;0.18576154882980028;0.2143665158371041;5534.0;6623.0;758.0;1538;1538.0;443.0;1095.0;0.0
dk;incremental;False;-1;15;31667;32531;0.4792332268370607;0.10480715483510342;0.1254600200736032;0.17199862401100793;0.1988598700782182;5978.0;7156.0;750.0;1565;1565.0;558.0;1007.0;0.0
dk;incremental;False;-1;16;32947;35417;0.51;0.09745222929936306;0.11554145899410966;0.16363636363636366;0.1884004432951607;6621.0;7850.0;765.0;1500;1500.0;386.0;1114.0;0.0
dk;incremental;False;-1;17;37789;34753;0.48703352308665404;0.09217141489107014;0.10752688172043011;0.15500754906894815;0.17616106154198125;7161.0;8354.0;770.0;1581;1581.0;528.0;1053.0;0.0
dk;incremental;False;-1;18;36662;40228;0.4763246899661781;0.09370148591705478;0.11114033933973431;0.15659747961452927;0.18022821798016422;7603.0;9018.0;845.0;1774;1774.0;646.0;1128.0;0.0
dk;incremental;False;-1;19;42967;38061;0.4273743016759777;0.07902076231794236;0.09366964613689237;0.1333798273908116;0.15366074118710454;8167.0;9681.0;765.0;1790;1790.0;705.0;1085.0;0.0
