infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;886;3821;0.7697516930022573;0.7697516930022573;0.7697516930022573;0.7697516930022573;0.7697516930022573;886.0;886.0;682.0;886;886.0;0;886.0;0.0
dk;incremental;False;-1;2;4030;5016;0.6385542168674698;0.6612284069097889;0.7392703862660944;0.6496935407826496;0.6852312282446543;932.0;1042.0;689.0;1079;1079.0;220.0;859.0;0.0
dk;incremental;False;-1;3;6041;7185;0.6045845272206304;0.47098214285714285;0.5438144329896907;0.5294855708908406;0.5725915875169606;1164.0;1344.0;633.0;1047;1047.0;231.0;816.0;0.0
dk;incremental;False;-1;4;8995;8523;0.6116838487972509;0.4020327498588368;0.46293888166449937;0.4851788756388416;0.5270170244263508;1538.0;1771.0;712.0;1164;1164.0;250.0;914.0;0.0
dk;incremental;False;-1;5;10794;10954;0.5833333333333334;0.3339391185824625;0.39095744680851063;0.4247327362034094;0.4681528662420382;1880.0;2201.0;735.0;1260;1260.0;306.0;954.0;0.0
dk;incremental;False;-1;6;12908;13156;0.5492957746478874;0.28217821782178215;0.341947392708814;0.37283018867924533;0.42150170648464164;2167.0;2626.0;741.0;1349;1349.0;407.0;942.0;0.0
dk;incremental;False;-1;7;13482;16801;0.5786561264822134;0.2344650864830237;0.2857142857142857;0.33371324367449284;0.3825450744708649;2562.0;3122.0;732.0;1265;1265.0;332.0;933.0;0.0
dk;incremental;False;-1;8;15506;18978;0.563412759415834;0.20406458797327395;0.2529330572808834;0.2996116901696301;0.3491307454155751;2898.0;3592.0;733.0;1301;1301.0;332.0;969.0;0.0
dk;incremental;False;-1;9;20526;18150;0.524264705882353;0.17784983786480418;0.21176121176121177;0.26559880797168933;0.3016712502644383;3367.0;4009.0;713.0;1360;1360.0;441.0;919.0;0.0
dk;incremental;False;-1;10;21606;21356;0.5093425605536333;0.16041848299912817;0.1880429228410833;0.24399138073926738;0.27467811158798283;3914.0;4588.0;736.0;1445;1445.0;474.0;971.0;0.0
dk;incremental;False;-1;11;23949;23233;0.5071967100753941;0.1429123213595983;0.17560512577123874;0.22299231580533374;0.26088489335448617;4214.0;5178.0;740.0;1459;1459.0;477.0;982.0;0.0
dk;incremental;False;-1;12;25877;25611;0.488961038961039;0.13086548488008343;0.15345424903199512;0.20647107211406635;0.23359702187063755;4907.0;5754.0;753.0;1540;1540.0;497.0;1043.0;0.0
dk;incremental;False;-1;13;30584;25148;0.4794520547945205;0.12129804662885948;0.14309607879576286;0.19361327633894895;0.220409331615858;5381.0;6348.0;770.0;1606;1606.0;609.0;997.0;0.0
dk;incremental;False;-1;14;28740;31350;0.44925816023738874;0.10719342962333617;0.12481450948062654;0.1730879158568652;0.1953548387096774;6065.0;7062.0;757.0;1685;1685.0;598.0;1087.0;0.0
dk;incremental;False;-1;15;32177;31979;0.49;0.10114823893691137;0.11743559017375674;0.16768260079135922;0.18946350894151764;6676.0;7751.0;784.0;1600;1600.0;530.0;1070.0;0.0
dk;incremental;False;-1;16;32950;35400;0.44249854057209576;0.09042109030180126;0.10799259153725602;0.15015847860538825;0.17361429225836006;7019.0;8383.0;758.0;1713;1713.0;572.0;1141.0;0.0
dk;incremental;False;-1;17;37367;35209;0.4402203856749311;0.0879955947136564;0.10108805668016195;0.14667278568150527;0.1644202078403128;7904.0;9080.0;799.0;1815;1815.0;699.0;1116.0;0.0
dk;incremental;False;-1;18;38591;38292;0.48772130211307824;0.08638478656686223;0.10125681764287409;0.14677322333934864;0.16769759450171823;8434.0;9886.0;854.0;1751;1751.0;611.0;1140.0;0.0
dk;incremental;False;-1;19;42964;38172;0.44658590308370044;0.0772013326987149;0.0896826274466438;0.1316451586721857;0.1493691868496178;9043.0;10505.0;811.0;1816;1816.0;681.0;1135.0;0.0
dk;incremental;False;-1;20;38799;46667;0.476310802274163;0.06742979788946521;0.09140501879015639;0.11813552683117899;0.1533767290480065;8249.0;11182.0;754.0;1583;1583.0;564.0;1019.0;0.0
dk;incremental;False;-1;21;43318;46263;0.49525015832805575;0.06625434211641108;0.07717359123655383;0.11687341204603197;0.1335382513661202;10133.0;11803.0;782.0;1579;1579.0;566.0;1013.0;0.0
dk;incremental;False;-1;22;42342;51182;0.5351123595505618;0.061278648974668275;0.08569500674763833;0.1099646439137023;0.14773167894532765;8892.0;12435.0;762.0;1424;1424.0;407.0;1017.0;0.0
dk;incremental;False;-1;23;48024;49978;0.46941176470588236;0.06158357771260997;0.07221719457013574;0.10888252148997134;0.12517647058823528;11050.0;12958.0;798.0;1700;1700.0;622.0;1078.0;0.0
dk;incremental;False;-1;24;47875;54187;0.49080532656943565;0.05667423299406898;0.07884282367321993;0.10161480897991336;0.13586097946287523;9817.0;13657.0;774.0;1577;1577.0;522.0;1055.0;0.0
dk;incremental;False;-1;25;52861;53592;0.47621951219512193;0.054864769933263086;0.0638645841851337;0.09839370078740158;0.11262527940010095;12229.0;14235.0;781.0;1640;1640.0;633.0;1007.0;0.0
dk;incremental;False;-1;26;49459;60991;0.5211267605633803;0.0519176800748363;0.07270515579676243;0.09442790301999149;0.1276071604532764;10687.0;14966.0;777.0;1491;1491.0;441.0;1050.0;0.0
dk;incremental;False;-1;27;59006;55819;0.46176644931831656;0.05031974678638331;0.0579182156133829;0.0907502329916123;0.1029266036863315;13450.0;15481.0;779.0;1687;1687.0;668.0;1019.0;0.0
dk;incremental;False;-1;28;56915;61979;0.4788273615635179;0.045373171183406384;0.05536723163841808;0.08289162061576634;0.09925725860904795;13275.0;16199.0;735.0;1535;1535.0;527.0;1008.0;0.0
dk;incremental;False;-1;29;60379;62824;0.5052980132450331;0.045354574094989004;0.06195193244559922;0.08323787705231005;0.11037176334442354;12316.0;16823.0;763.0;1510;1510.0;493.0;1017.0;0.0
dk;incremental;False;-1;30;66710;60835;0.4180729450190528;0.04410751206064783;0.05231607629427793;0.07979635305730168;0.0929950959617364;14680.0;17412.0;768.0;1837;1837.0;823.0;1014.0;0.0
dk;incremental;False;-1;31;63973;67780;0.47062146892655365;0.045380257136631075;0.06124099397147478;0.08277849547848555;0.10837887067395265;13602.0;18356.0;833.0;1770;1770.0;703.0;1067.0;0.0
dk;incremental;False;-1;32;72237;63787;0.4949238578680203;0.040914813260595886;0.048634493078937524;0.0755813953488372;0.0885659134779153;16038.0;19064.0;780.0;1576;1576.0;591.0;985.0;0.0
dk;incremental;False;-1;33;71395;68668;0.5484320557491289;0.03996952767902488;0.051441270671285705;0.07450887573964497;0.09405999760965698;15299.0;19690.0;787.0;1435;1435.0;457.0;978.0;0.0
dk;incremental;False;-1;34;71926;72394;0.4774193548387097;0.03666633633931226;0.047005018103284;0.06810233756672189;0.08558376221592551;15743.0;20182.0;740.0;1550;1550.0;574.0;976.0;0.0
dk;incremental;False;-1;35;71412;77223;0.4277270284793122;0.03819944332469527;0.04933986239385111;0.07013524824882154;0.08847393575636323;16133.0;20838.0;796.0;1861;1861.0;830.0;1031.0;0.0
dk;incremental;False;-1;36;75564;77321;0.4247455811462239;0.036496686303387336;0.04536613272311213;0.0672176308539945;0.08197653382953429;17480.0;21728.0;793.0;1867;1867.0;830.0;1037.0;0.0
dk;incremental;False;-1;37;80935;76391;0.39296187683284456;0.03553277058381579;0.04095145927774665;0.06517245572082843;0.07417316296877162;19633.0;22627.0;804.0;2046;2046.0;982.0;1064.0;0.0
dk;incremental;False;-1;38;88692;72764;0.4288804759329367;0.03351506698787034;0.03805547557347154;0.06217169737357899;0.06990787675761448;20838.0;23661.0;793.0;1849;1849.0;780.0;1069.0;0.0
dk;incremental;False;-1;39;82019;83432;0.504885993485342;0.031671434409480996;0.03742334250808827;0.059603922322630266;0.06968171192231612;20709.0;24470.0;775.0;1535;1535.0;479.0;1056.0;0.0
dk;incremental;False;-1;40;81619;88013;0.5125080179602309;0.03195616526016878;0.04272955773035991;0.06016113244484601;0.07888241682298351;18699.0;25003.0;799.0;1559;1559.0;501.0;1058.0;0.0
dk;incremental;False;-1;41;82130;91759;0.483811850946854;0.030989552764408967;0.03778085197729333;0.058248142972714564;0.07008849557522123;20963.0;25557.0;792.0;1637;1637.0;565.0;1072.0;0.0
dk;incremental;False;-1;42;87175;91142;0.41758820431806215;0.030289140980100073;0.03999596509809855;0.05648148148148149;0.07300009205560158;19827.0;26181.0;793.0;1899;1899.0;855.0;1044.0;0.0
dk;incremental;False;-1;43;97359;85043;0.5107491856677524;0.02895874118125069;0.03364518067118702;0.05480984340044743;0.06313161815034021;23302.0;27073.0;784.0;1535;1535.0;487.0;1048.0;0.0
dk;incremental;False;-1;44;97604;88968;0.5365691489361702;0.02920632622778763;0.034959279154392654;0.05539728848464047;0.06564177647632992;23084.0;27631.0;807.0;1504;1504.0;400.0;1104.0;0.0
dk;incremental;False;-1;45;92702;97988;0.47610405323653965;0.028051040775591674;0.03538350867727722;0.05298057827594332;0.06587152123875288;22242.0;28056.0;787.0;1653;1653.0;549.0;1104.0;0.0
dk;incremental;False;-1;46;106341;88738;0.4485049833887043;0.028234802007808143;0.03551229777719321;0.05312520495835246;0.06581352833638024;22809.0;28688.0;810.0;1806;1806.0;696.0;1110.0;0.0
dk;incremental;False;-1;47;105912;93315;0.46774193548387094;0.026609121185346293;0.03187980945401246;0.050353697749196145;0.05969125214408233;24561.0;29426.0;783.0;1674;1674.0;623.0;1051.0;0.0
dk;incremental;False;-1;48;107185;96299;0.47589229805886035;0.025265117516040027;0.030812892763024527;0.047982827198686795;0.057878303251846765;24665.0;30081.0;760.0;1597;1597.0;581.0;1016.0;0.0
dk;incremental;False;-1;49;100154;107580;0.4198300283286119;0.02412109375;0.03163827334443448;0.045621055871940895;0.058842213928372904;23421.0;30720.0;741.0;1765;1765.0;759.0;1006.0;0.0
dk;incremental;False;-1;50;109236;102850;0.42549668874172186;0.024425014255844896;0.029476984248356018;0.04619809455329858;0.055134439359267734;26156.0;31566.0;771.0;1812;1812.0;800.0;1012.0;0.0
dk;incremental;False;-1;51;107169;109012;0.4438170525127047;0.024215163745032194;0.03002750611246944;0.04592462751971954;0.05624932908720077;26176.0;32459.0;786.0;1771;1771.0;723.0;1048.0;0.0
