infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;886;3821;0.7697516930022573;0.7697516930022573;0.7697516930022573;0.7697516930022573;0.7697516930022573;886.0;886.0;682.0;886;886.0;0;886.0;0.0
dk;incremental;False;-1;2;2114;2681;0.7080679405520169;0.7959427207637232;0.7959427207637232;0.749438202247191;0.749438202247191;838.0;838.0;667.0;942;942.0;104.0;838.0;0.0
dk;incremental;False;-1;3;1900;2840;0.722877358490566;0.795071335927367;0.795071335927367;0.7572575663990117;0.7572575663990117;771.0;771.0;613.0;848;848.0;77.0;771.0;0.0
dk;incremental;False;-1;4;2194;2610;0.6865364850976362;0.8057901085645356;0.8057901085645356;0.7413984461709213;0.7413984461709213;829.0;829.0;668.0;973;973.0;144.0;829.0;0.0
dk;incremental;False;-1;5;2292;2537;0.6932270916334662;0.7802690582959642;0.7802690582959642;0.7341772151898734;0.7341772151898734;892.0;892.0;696.0;1004;1004.0;112.0;892.0;0.0
dk;incremental;False;-1;6;2207;2605;0.711088504577823;0.8185011709601874;0.8185011709601874;0.7610234077299945;0.7610234077299945;854.0;854.0;699.0;983;983.0;129.0;854.0;0.0
dk;incremental;False;-1;7;2358;2448;0.6864754098360656;0.8072289156626506;0.8072289156626506;0.7419712070874862;0.7419712070874862;830.0;830.0;670.0;976;976.0;146.0;830.0;0.0
dk;incremental;False;-1;8;2437;2418;0.6563706563706564;0.7816091954022989;0.7816091954022989;0.7135362014690453;0.7135362014690453;870.0;870.0;680.0;1036;1036.0;166.0;870.0;0.0
dk;incremental;False;-1;9;2246;2545;0.6734902763561924;0.80440097799511;0.80440097799511;0.7331476323119778;0.7331476323119778;818.0;818.0;658.0;977;977.0;159.0;818.0;0.0
dk;incremental;False;-1;10;2343;2466;0.6518804243008679;0.7943595769682726;0.7943595769682726;0.7161016949152543;0.7161016949152543;851.0;851.0;676.0;1037;1037.0;186.0;851.0;0.0
dk;incremental;False;-1;11;2458;2369;0.6349809885931559;0.784037558685446;0.784037558685446;0.7016806722689075;0.7016806722689075;852.0;852.0;668.0;1052;1052.0;200.0;852.0;0.0
dk;incremental;False;-1;12;2247;2581;0.6663366336633664;0.8021454112038141;0.8021454112038141;0.72796106003245;0.72796106003245;839.0;839.0;673.0;1010;1010.0;171.0;839.0;0.0
dk;incremental;False;-1;13;2325;2508;0.6809338521400778;0.8235294117647058;0.8235294117647058;0.7454739084132056;0.7454739084132056;850.0;850.0;700.0;1028;1028.0;178.0;850.0;0.0
dk;incremental;False;-1;14;2477;2339;0.6322160148975792;0.776;0.776;0.6967675731144177;0.6967675731144177;875.0;875.0;679.0;1074;1074.0;199.0;875.0;0.0
dk;incremental;False;-1;15;2535;2296;0.664745437079731;0.8160377358490566;0.8160377358490566;0.7326627845420859;0.7326627845420859;848.0;848.0;692.0;1041;1041.0;193.0;848.0;0.0
dk;incremental;False;-1;16;2378;2452;0.641438032166509;0.7652370203160271;0.7652370203160271;0.6978898610396295;0.6978898610396295;886.0;886.0;678.0;1057;1057.0;171.0;886.0;0.0
dk;incremental;False;-1;17;2377;2413;0.6422018348623854;0.7927519818799547;0.7927519818799547;0.7095793208312214;0.7095793208312214;883.0;883.0;700.0;1090;1090.0;207.0;883.0;0.0
dk;incremental;False;-1;18;2493;2403;0.6841620626151013;0.8200883002207505;0.8200883002207505;0.7459839357429717;0.7459839357429717;906.0;906.0;743.0;1086;1086.0;180.0;906.0;0.0
dk;incremental;False;-1;19;2481;2345;0.664756446991404;0.8074245939675174;0.8074245939675174;0.7291775798847563;0.7291775798847563;862.0;862.0;696.0;1047;1047.0;185.0;862.0;0.0
dk;incremental;False;-1;20;2467;2336;0.6383186705767351;0.8091697645600991;0.8091697645600991;0.7136612021857923;0.7136612021857923;807.0;807.0;653.0;1023;1023.0;216.0;807.0;0.0
dk;incremental;False;-1;21;2551;2263;0.6468842729970327;0.8064118372379778;0.8064118372379778;0.7178924259055983;0.7178924259055983;811.0;811.0;654.0;1011;1011.0;200.0;811.0;0.0
dk;incremental;False;-1;22;2468;2348;0.6576139670223085;0.7995283018867925;0.7995283018867925;0.7216604576902608;0.7216604576902608;848.0;848.0;678.0;1031;1031.0;183.0;848.0;0.0
dk;incremental;False;-1;23;2428;2400;0.6547507055503292;0.7927107061503417;0.7927107061503417;0.7171561051004636;0.7171561051004636;878.0;878.0;696.0;1063;1063.0;185.0;878.0;0.0
dk;incremental;False;-1;24;2513;2326;0.6320147194112236;0.7851428571428571;0.7851428571428571;0.7003058103975535;0.7003058103975535;875.0;875.0;687.0;1087;1087.0;212.0;875.0;0.0
dk;incremental;False;-1;25;2557;2276;0.6446991404011462;0.8132530120481928;0.8132530120481928;0.7192328183271177;0.7192328183271177;830.0;830.0;675.0;1047;1047.0;217.0;830.0;0.0
dk;incremental;False;-1;26;2517;2322;0.6430568499534017;0.7849829351535836;0.7849829351535836;0.7069672131147542;0.7069672131147542;879.0;879.0;690.0;1073;1073.0;194.0;879.0;0.0
dk;incremental;False;-1;27;2624;2185;0.6348470806302131;0.8049353701527615;0.8049353701527615;0.7098445595854923;0.7098445595854923;851.0;851.0;685.0;1079;1079.0;228.0;851.0;0.0
dk;incremental;False;-1;28;2564;2252;0.6396135265700483;0.7985524728588661;0.7985524728588661;0.7103004291845494;0.7103004291845494;829.0;829.0;662.0;1035;1035.0;206.0;829.0;0.0
dk;incremental;False;-1;29;2524;2305;0.6448863636363636;0.8185096153846154;0.8185096153846154;0.7213983050847457;0.7213983050847457;832.0;832.0;681.0;1056;1056.0;224.0;832.0;0.0
dk;incremental;False;-1;30;2445;2393;0.6494360902255639;0.8044237485448196;0.8044237485448196;0.7186687467498701;0.7186687467498701;859.0;859.0;691.0;1064;1064.0;205.0;859.0;0.0
dk;incremental;False;-1;31;2607;2278;0.6472727272727272;0.8008998875140607;0.8008998875140607;0.7159376571141277;0.7159376571141277;889.0;889.0;712.0;1100;1100.0;211.0;889.0;0.0
dk;incremental;False;-1;32;2527;2305;0.6537001897533207;0.8221957040572793;0.8221957040572793;0.7283298097251586;0.7283298097251586;838.0;838.0;689.0;1054;1054.0;216.0;838.0;0.0
dk;incremental;False;-1;33;2423;2388;0.6759167492566898;0.8368098159509203;0.8368098159509203;0.7478070175438597;0.7478070175438597;815.0;815.0;682.0;1009;1009.0;194.0;815.0;0.0
dk;incremental;False;-1;34;2567;2222;0.6108986615678776;0.7773722627737226;0.7773722627737226;0.6841541755888652;0.6841541755888652;822.0;822.0;639.0;1046;1046.0;224.0;822.0;0.0
dk;incremental;False;-1;35;2571;2260;0.6317757009345795;0.8223844282238443;0.8223844282238443;0.7145877378435517;0.7145877378435517;822.0;822.0;676.0;1070;1070.0;248.0;822.0;0.0
dk;incremental;False;-1;36;2529;2315;0.6530612244897959;0.822429906542056;0.822429906542056;0.7280248190279213;0.7280248190279213;856.0;856.0;704.0;1078;1078.0;222.0;856.0;0.0
dk;incremental;False;-1;37;2557;2276;0.6200913242009133;0.7877030162412993;0.7877030162412993;0.6939192641798672;0.6939192641798672;862.0;862.0;679.0;1095;1095.0;233.0;862.0;0.0
dk;incremental;False;-1;38;2648;2209;0.5863874345549738;0.7850467289719626;0.7850467289719626;0.6713286713286714;0.6713286713286714;856.0;856.0;672.0;1146;1146.0;290.0;856.0;0.0
dk;incremental;False;-1;39;2600;2224;0.6134453781512605;0.7992700729927007;0.7992700729927007;0.694136291600634;0.694136291600634;822.0;822.0;657.0;1071;1071.0;249.0;822.0;0.0
dk;incremental;False;-1;40;2549;2266;0.6484149855907781;0.8142340168878166;0.8142340168878166;0.7219251336898396;0.7219251336898396;829.0;829.0;675.0;1041;1041.0;212.0;829.0;0.0
dk;incremental;False;-1;41;2708;2137;0.5878136200716846;0.7699530516431925;0.7699530516431925;0.6666666666666667;0.6666666666666667;852.0;852.0;656.0;1116;1116.0;264.0;852.0;0.0
dk;incremental;False;-1;42;2661;2177;0.6140035906642729;0.8037602820211516;0.8037602820211516;0.6961832061068702;0.6961832061068702;851.0;851.0;684.0;1114;1114.0;263.0;851.0;0.0
dk;incremental;False;-1;43;2567;2251;0.6145930776426567;0.791566265060241;0.791566265060241;0.6919431279620852;0.6919431279620852;830.0;830.0;657.0;1069;1069.0;239.0;830.0;0.0
dk;incremental;False;-1;44;2646;2186;0.5973451327433629;0.7894736842105263;0.7894736842105263;0.6801007556675063;0.6801007556675063;855.0;855.0;675.0;1130;1130.0;275.0;855.0;0.0
dk;incremental;False;-1;45;2757;2056;0.5686619718309859;0.7764423076923077;0.7764423076923077;0.6565040650406504;0.6565040650406504;832.0;832.0;646.0;1136;1136.0;304.0;832.0;0.0
dk;incremental;False;-1;46;2696;2140;0.6005267778753293;0.7862068965517242;0.7862068965517242;0.6809357889497263;0.6809357889497263;870.0;870.0;684.0;1139;1139.0;269.0;870.0;0.0
dk;incremental;False;-1;47;2618;2200;0.5991189427312775;0.7981220657276995;0.7981220657276995;0.6844489179667841;0.6844489179667841;852.0;852.0;680.0;1135;1135.0;283.0;852.0;0.0
dk;incremental;False;-1;48;2720;2102;0.5683646112600537;0.7803680981595092;0.7803680981595092;0.65770423991727;0.65770423991727;815.0;815.0;636.0;1119;1119.0;304.0;815.0;0.0
dk;incremental;False;-1;49;2769;2039;0.5663956639566395;0.7665036674816625;0.7665036674816625;0.6514285714285715;0.6514285714285715;818.0;818.0;627.0;1107;1107.0;289.0;818.0;0.0
dk;incremental;False;-1;50;2615;2197;0.5934664246823956;0.7898550724637681;0.7898550724637681;0.6777202072538859;0.6777202072538859;828.0;828.0;654.0;1102;1102.0;274.0;828.0;0.0
dk;incremental;False;-1;51;2772;2083;0.5791274593669803;0.7835648148148148;0.7835648148148148;0.6660108214461387;0.6660108214461387;864.0;864.0;677.0;1169;1169.0;305.0;864.0;0.0
dk;incremental;False;-1;52;2709;2119;0.5848724714160071;0.8209876543209876;0.8209876543209876;0.6831022085259374;0.6831022085259374;810.0;810.0;665.0;1137;1137.0;327.0;810.0;0.0
dk;incremental;False;-1;53;2642;2217;0.5909090909090909;0.7869615832363213;0.7869615832363213;0.6749875187219172;0.6749875187219172;859.0;859.0;676.0;1144;1144.0;285.0;859.0;0.0
dk;incremental;False;-1;54;2746;2071;0.5815412186379928;0.7828709288299156;0.7828709288299156;0.6673521850899743;0.6673521850899743;829.0;829.0;649.0;1116;1116.0;287.0;829.0;0.0
dk;incremental;False;-1;55;2674;2172;0.5965217391304348;0.8099173553719008;0.8099173553719008;0.6870305458187281;0.6870305458187281;847.0;847.0;686.0;1150;1150.0;303.0;847.0;0.0
dk;incremental;False;-1;56;2642;2224;0.6154521510096576;0.8208430913348946;0.8208430913348946;0.7034621174109382;0.7034621174109382;854.0;854.0;701.0;1139;1139.0;285.0;854.0;0.0
dk;incremental;False;-1;57;2715;2146;0.5949913644214162;0.8173190984578885;0.8173190984578885;0.688655672163918;0.688655672163918;843.0;843.0;689.0;1158;1158.0;315.0;843.0;0.0
dk;incremental;False;-1;58;2749;2077;0.5578111209179171;0.7802469135802469;0.7802469135802469;0.6505404014410705;0.6505404014410705;810.0;810.0;632.0;1133;1133.0;323.0;810.0;0.0
dk;incremental;False;-1;59;2658;2182;0.5988960441582337;0.8046971569839307;0.8046971569839307;0.6867088607594937;0.6867088607594937;809.0;809.0;651.0;1087;1087.0;278.0;809.0;0.0
dk;incremental;False;-1;60;2655;2181;0.5688888888888889;0.7785888077858881;0.7785888077858881;0.657421674370827;0.657421674370827;822.0;822.0;640.0;1125;1125.0;303.0;822.0;0.0
dk;incremental;False;-1;61;2783;2021;0.5767524401064774;0.7821901323706378;0.7821901323706378;0.6639427987742594;0.6639427987742594;831.0;831.0;650.0;1127;1127.0;296.0;831.0;0.0
dk;incremental;False;-1;62;2792;2053;0.5877659574468085;0.8016928657799275;0.8016928657799275;0.6782608695652174;0.6782608695652174;827.0;827.0;663.0;1128;1128.0;301.0;827.0;0.0
dk;incremental;False;-1;63;2655;2207;0.5913884007029877;0.7917647058823529;0.7917647058823529;0.6770623742454729;0.6770623742454729;850.0;850.0;673.0;1138;1138.0;288.0;850.0;0.0
dk;incremental;False;-1;64;2641;2167;0.5906976744186047;0.8017676767676768;0.8017676767676768;0.6802356722013927;0.6802356722013927;792.0;792.0;635.0;1075;1075.0;283.0;792.0;0.0
dk;incremental;False;-1;65;2795;2022;0.5372112917023096;0.7557160048134778;0.7557160048134778;0.628;0.628;831.0;831.0;628.0;1169;1169.0;338.0;831.0;0.0
dk;incremental;False;-1;66;2737;2091;0.5464813205907906;0.7823383084577115;0.7823383084577115;0.6434782608695653;0.6434782608695653;804.0;804.0;629.0;1151;1151.0;347.0;804.0;0.0
dk;incremental;False;-1;67;2689;2168;0.5844827586206897;0.7883720930232558;0.7883720930232558;0.6712871287128714;0.6712871287128714;860.0;860.0;678.0;1160;1160.0;300.0;860.0;0.0
dk;incremental;False;-1;68;2811;2015;0.5730533683289589;0.7863145258103241;0.7863145258103241;0.6629554655870445;0.6629554655870445;833.0;833.0;655.0;1143;1143.0;310.0;833.0;0.0
dk;incremental;False;-1;69;2844;2038;0.583752093802345;0.795662100456621;0.795662100456621;0.6734299516908213;0.6734299516908213;876.0;876.0;697.0;1194;1194.0;318.0;876.0;0.0
dk;incremental;False;-1;70;2733;2141;0.6050269299820467;0.7995255041518387;0.7995255041518387;0.6888094021461421;0.6888094021461421;843.0;843.0;674.0;1114;1114.0;271.0;843.0;0.0
dk;incremental;False;-1;71;2702;2099;0.5404217926186292;0.7765151515151515;0.7765151515151515;0.6373056994818653;0.6373056994818653;792.0;792.0;615.0;1138;1138.0;346.0;792.0;0.0
dk;incremental;False;-1;72;2843;1992;0.5629955947136563;0.7811735941320294;0.7811735941320294;0.6543778801843317;0.6543778801843317;818.0;818.0;639.0;1135;1135.0;317.0;818.0;0.0
dk;incremental;False;-1;73;2693;2160;0.5722689075630252;0.8011764705882353;0.8011764705882353;0.6676470588235295;0.6676470588235295;850.0;850.0;681.0;1190;1190.0;340.0;850.0;0.0
dk;incremental;False;-1;74;2760;2085;0.5663865546218487;0.7791907514450868;0.7791907514450868;0.6559610705596108;0.6559610705596108;865.0;865.0;674.0;1190;1190.0;325.0;865.0;0.0
dk;incremental;False;-1;75;2829;1965;0.5468468468468468;0.7635220125786164;0.7635220125786164;0.637270341207349;0.637270341207349;795.0;795.0;607.0;1110;1110.0;315.0;795.0;0.0
dk;incremental;False;-1;76;2767;2086;0.5595637583892618;0.7782963827304551;0.7782963827304551;0.6510492923377258;0.6510492923377258;857.0;857.0;667.0;1192;1192.0;335.0;857.0;0.0
dk;incremental;False;-1;77;2696;2152;0.5713058419243986;0.7983193277310925;0.7983193277310925;0.6659989984977466;0.6659989984977466;833.0;833.0;665.0;1164;1164.0;331.0;833.0;0.0
dk;incremental;False;-1;78;2817;2069;0.5606936416184971;0.7858796296296297;0.7858796296296297;0.6544578313253011;0.6544578313253011;864.0;864.0;679.0;1211;1211.0;347.0;864.0;0.0
dk;incremental;False;-1;79;2731;2133;0.5839727195225917;0.7873563218390804;0.7873563218390804;0.6705824767498776;0.6705824767498776;870.0;870.0;685.0;1173;1173.0;303.0;870.0;0.0
dk;incremental;False;-1;80;2694;2133;0.5765765765765766;0.8080808080808081;0.8080808080808081;0.6729758149316509;0.6729758149316509;792.0;792.0;640.0;1110;1110.0;318.0;792.0;0.0
dk;incremental;False;-1;81;2814;2029;0.5654867256637168;0.7830882352941176;0.7830882352941176;0.656731757451182;0.656731757451182;816.0;816.0;639.0;1130;1130.0;314.0;816.0;0.0
dk;incremental;False;-1;82;2752;2120;0.5532994923857868;0.7685076380728555;0.7685076380728555;0.6433841613379242;0.6433841613379242;851.0;851.0;654.0;1182;1182.0;331.0;851.0;0.0
dk;incremental;False;-1;83;2768;2124;0.6013628620102215;0.8022727272727272;0.8022727272727272;0.6874391431353457;0.6874391431353457;880.0;880.0;706.0;1174;1174.0;294.0;880.0;0.0
dk;incremental;False;-1;84;2787;2068;0.5552721088435374;0.7664319248826291;0.7664319248826291;0.6439842209072979;0.6439842209072979;852.0;852.0;653.0;1176;1176.0;324.0;852.0;0.0
dk;incremental;False;-1;85;2731;2140;0.569078947368421;0.7917620137299771;0.7917620137299771;0.662200956937799;0.662200956937799;874.0;874.0;692.0;1216;1216.0;342.0;874.0;0.0
dk;incremental;False;-1;86;2732;2169;0.5988074957410562;0.8108419838523645;0.8108419838523645;0.6888780009799118;0.6888780009799118;867.0;867.0;703.0;1174;1174.0;307.0;867.0;0.0
dk;incremental;False;-1;87;2679;2185;0.5923076923076923;0.8162544169611308;0.8162544169611308;0.6864784546805349;0.6864784546805349;849.0;849.0;693.0;1170;1170.0;321.0;849.0;0.0
dk;incremental;False;-1;88;2746;2134;0.5512073272273106;0.7806603773584906;0.7806603773584906;0.6461688628599317;0.6461688628599317;848.0;848.0;662.0;1201;1201.0;353.0;848.0;0.0
