infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;False;-1;1;886;3821;0.7697516930022573;0.7697516930022573;0.7697516930022573;0.7697516930022573;0.7697516930022573;886.0;886.0;682.0;886;886.0;0;886.0;0.0
dk;incremental;False;-1;2;2114;2681;0.7198275862068966;0.7971360381861575;0.7971360381861575;0.7565118912797281;0.7565118912797281;838.0;838.0;668.0;928;928.0;90.0;838.0;0.0
dk;incremental;False;-1;3;1913;2827;0.7247058823529412;0.7989623865110247;0.7989623865110247;0.7600246761258482;0.7600246761258482;771.0;771.0;616.0;850;850.0;79.0;771.0;0.0
dk;incremental;False;-1;4;2221;2585;0.7177083333333333;0.8311218335343787;0.8311218335343787;0.7702627166014533;0.7702627166014533;829.0;829.0;689.0;960;960.0;131.0;829.0;0.0
dk;incremental;False;-1;5;2213;2617;0.7132796780684104;0.7948430493273543;0.7948430493273543;0.7518557794273595;0.7518557794273595;892.0;892.0;709.0;994;994.0;102.0;892.0;0.0
dk;incremental;False;-1;6;2121;2696;0.7242798353909465;0.8243559718969555;0.8243559718969555;0.7710843373493975;0.7710843373493975;854.0;854.0;704.0;972;972.0;118.0;854.0;0.0
dk;incremental;False;-1;7;2279;2529;0.7106076210092688;0.8313253012048193;0.8313253012048193;0.7662409772348695;0.7662409772348695;830.0;830.0;690.0;971;971.0;141.0;830.0;0.0
dk;incremental;False;-1;8;2381;2470;0.6738072054527751;0.7954022988505747;0.7954022988505747;0.7295730100158144;0.7295730100158144;870.0;870.0;692.0;1027;1027.0;157.0;870.0;0.0
dk;incremental;False;-1;9;2192;2612;0.690625;0.8105134474327629;0.8105134474327629;0.7457817772778403;0.7457817772778403;818.0;818.0;663.0;960;960.0;142.0;818.0;0.0
dk;incremental;False;-1;10;2309;2516;0.6705539358600583;0.8108108108108109;0.8108108108108109;0.7340425531914894;0.7340425531914894;851.0;851.0;690.0;1029;1029.0;178.0;851.0;0.0
dk;incremental;False;-1;11;2443;2389;0.648854961832061;0.7981220657276995;0.7981220657276995;0.7157894736842104;0.7157894736842104;852.0;852.0;680.0;1048;1048.0;196.0;852.0;0.0
