infer_mode;features;train_using_all_batches;batch;featurizer;attribute;feature;weight
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;ADDR_PCT_CD;0.0
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;BORO_NM;0.472
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;CRM_ATPT_CPTD_CD;0.006
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;JURISDICTION_CODE;0.037
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;JURIS_DESC;0.065
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;KY_CD;0.067
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;LAW_CAT_CD;-0.005
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;LOC_OF_OCCUR_DESC;0.001
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;OFNS_DESC;0.057
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;PATROL_BORO;0.939
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;PD_CD;0.267
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;PD_DESC;0.288
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;PREM_TYP_DESC;0.179
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;X_COORD_CD;3.494
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;Y_COORD_CD;3.479
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;Latitude;3.583
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;Longitude;3.515
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;ADDR_PCT_CD;1.635
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;BORO_NM;0.0
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;CRM_ATPT_CPTD_CD;0.067
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;JURISDICTION_CODE;0.089
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;JURIS_DESC;0.075
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;KY_CD;0.098
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;LAW_CAT_CD;0.074
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;LOC_OF_OCCUR_DESC;0.074
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;OFNS_DESC;0.083
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;PATROL_BORO;1.631
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;PD_CD;0.119
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;PD_DESC;0.141
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;PREM_TYP_DESC;0.188
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;X_COORD_CD;1.331
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;Y_COORD_CD;1.344
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;Latitude;1.352
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;Longitude;1.308
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;ADDR_PCT_CD;0.225
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;BORO_NM;0.196
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;CRM_ATPT_CPTD_CD;0.0
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;JURISDICTION_CODE;0.189
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;JURIS_DESC;0.2
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;KY_CD;0.285
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;LAW_CAT_CD;0.188
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;LOC_OF_OCCUR_DESC;0.247
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;OFNS_DESC;0.266
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;PATROL_BORO;0.146
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;PD_CD;0.423
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;PD_DESC;0.402
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;PREM_TYP_DESC;0.165
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;X_COORD_CD;0.645
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;Y_COORD_CD;0.657
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;Latitude;0.756
dk;incremental;False;1;OccurAttrFeaturizer;CRM_ATPT_CPTD_CD;Longitude;0.698
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;ADDR_PCT_CD;0.323
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;BORO_NM;0.061
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;CRM_ATPT_CPTD_CD;0.405
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;JURISDICTION_CODE;-0.0
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;JURIS_DESC;2.621
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;KY_CD;0.182
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;LAW_CAT_CD;0.088
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;LOC_OF_OCCUR_DESC;0.195
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;OFNS_DESC;0.174
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;PATROL_BORO;0.143
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;PD_CD;0.305
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;PD_DESC;0.286
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;PREM_TYP_DESC;2.194
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;X_COORD_CD;0.804
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;Y_COORD_CD;0.811
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;Latitude;0.895
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;Longitude;0.832
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;ADDR_PCT_CD;0.369
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;BORO_NM;0.094
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;CRM_ATPT_CPTD_CD;0.339
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;JURISDICTION_CODE;2.692
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;JURIS_DESC;0.0
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;KY_CD;0.216
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;LAW_CAT_CD;0.169
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;LOC_OF_OCCUR_DESC;0.202
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;OFNS_DESC;0.176
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;PATROL_BORO;0.164
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;PD_CD;0.292
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;PD_DESC;0.311
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;PREM_TYP_DESC;2.268
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;X_COORD_CD;0.789
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;Y_COORD_CD;0.795
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;Latitude;0.839
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;Longitude;0.761
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;ADDR_PCT_CD;0.357
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;BORO_NM;0.318
