infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;73;319;1.0;1.0;1.0;1.0;1.0;73;73;73;73;73;0;73;0
dk;incremental;True;1;2;76;319;0.9736842105263158;0.9736842105263158;0.9736842105263158;0.9736842105263158;0.9736842105263158;76;76;74;76;76;0;76;0
dk;incremental;True;1;3;65;319;1.0;1.0;1.0;1.0;1.0;65;65;65;65;65;0;65;0
dk;incremental;True;1;4;51;319;1.0;1.0;1.0;1.0;1.0;51;51;51;51;51;0;51;0
dk;incremental;True;1;5;66;319;1.0;1.0;1.0;1.0;1.0;66;66;66;66;66;0;66;0
dk;incremental;True;1;6;54;319;0.9814814814814815;0.9814814814814815;0.9814814814814815;0.9814814814814815;0.9814814814814815;54;54;53;54;54;0;54;0
dk;incremental;True;1;7;62;319;0.9838709677419355;0.9838709677419355;0.9838709677419355;0.9838709677419355;0.9838709677419355;62;62;61;62;62;0;62;0
dk;incremental;True;1;8;76;319;1.0;1.0;1.0;1.0;1.0;76;76;76;76;76;0;76;0
dk;incremental;True;1;9;53;319;0.9811320754716981;0.9811320754716981;0.9811320754716981;0.9811320754716981;0.9811320754716981;53;53;52;53;53;0;53;0
dk;incremental;True;1;10;74;319;1.0;1.0;1.0;1.0;1.0;74;74;74;74;74;0;74;0
dk;incremental;True;1;11;62;319;1.0;1.0;1.0;1.0;1.0;62;62;62;62;62;0;62;0
dk;incremental;True;1;12;81;319;1.0;1.0;1.0;1.0;1.0;81;81;81;81;81;0;81;0
dk;incremental;True;1;13;64;319;1.0;1.0;1.0;1.0;1.0;64;64;64;64;64;0;64;0
dk;incremental;True;1;14;68;319;1.0;1.0;1.0;1.0;1.0;68;68;68;68;68;0;68;0
dk;incremental;True;1;15;69;319;1.0;1.0;1.0;1.0;1.0;69;69;69;69;69;0;69;0
dk;incremental;True;1;16;64;319;0.984375;0.984375;0.984375;0.984375;0.984375;64;64;63;64;64;0;64;0
dk;incremental;True;1;17;67;319;1.0;1.0;1.0;1.0;1.0;67;67;67;67;67;0;67;0
dk;incremental;True;1;18;71;319;1.0;1.0;1.0;1.0;1.0;71;71;71;71;71;0;71;0
dk;incremental;True;1;19;61;319;1.0;1.0;1.0;1.0;1.0;61;61;61;61;61;0;61;0
dk;incremental;True;1;20;81;319;1.0;1.0;1.0;1.0;1.0;81;81;81;81;81;0;81;0
dk;incremental;True;1;21;51;319;1.0;1.0;1.0;1.0;1.0;51;51;51;51;51;0;51;0
dk;incremental;True;1;22;68;319;1.0;1.0;1.0;1.0;1.0;68;68;68;68;68;0;68;0
dk;incremental;True;1;23;74;319;0.9864864864864865;0.9864864864864865;0.9864864864864865;0.9864864864864865;0.9864864864864865;74;74;73;74;74;0;74;0
dk;incremental;True;1;24;59;319;1.0;1.0;1.0;1.0;1.0;59;59;59;59;59;0;59;0
