infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
all;incremental;True;1;1;324;292;0.726027397260274;0.8688524590163934;0.8688524590163934;0.7910447761194029;0.7910447761194029;61;61;53;73;73;12;61;0
all;incremental;True;1;2;324;292;0.75;0.9402985074626866;0.9402985074626866;0.8344370860927153;0.8344370860927153;67;67;63;84;84;17;67;0
all;incremental;True;1;3;324;292;0.6944444444444444;0.819672131147541;0.819672131147541;0.7518796992481204;0.7518796992481204;61;61;50;72;72;11;61;0
all;incremental;True;1;4;324;292;0.7361111111111112;0.9464285714285714;0.9464285714285714;0.828125;0.828125;56;56;53;72;72;16;56;0
all;incremental;True;1;5;324;292;0.7333333333333333;0.8918918918918919;0.8918918918918919;0.8048780487804879;0.8048780487804879;74;74;66;90;90;16;74;0
all;incremental;True;1;6;324;292;0.7802197802197802;0.9102564102564102;0.9102564102564102;0.8402366863905325;0.8402366863905325;78;78;71;91;91;13;78;0
all;incremental;True;1;7;324;292;0.7802197802197802;0.8875;0.8875;0.8304093567251462;0.8304093567251462;80;80;71;91;91;11;80;0
all;incremental;True;1;8;324;292;0.6477272727272727;0.9344262295081968;0.9344262295081968;0.7651006711409395;0.7651006711409395;61;61;57;88;88;27;61;0
all;incremental;True;1;9;324;292;0.6455696202531646;0.9444444444444444;0.9444444444444444;0.7669172932330827;0.7669172932330827;54;54;51;79;79;25;54;0
all;incremental;True;1;10;324;292;0.7215189873417721;0.9047619047619048;0.9047619047619048;0.8028169014084506;0.8028169014084506;63;63;57;79;79;16;63;0
all;incremental;True;1;11;324;292;0.7415730337078652;0.9041095890410958;0.9041095890410958;0.8148148148148147;0.8148148148148147;73;73;66;89;89;16;73;0
all;incremental;True;1;12;324;292;0.7333333333333333;0.9016393442622951;0.9016393442622951;0.8088235294117647;0.8088235294117647;61;61;55;75;75;14;61;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
all;global;True;1;1;324;311;0.7125;0.9344262295081968;0.9344262295081968;0.8085106382978724;0.8085106382978724;61;61;57;80;80;19;61;0
all;incremental;True;1;13;324;292;0.7558139534883721;0.9848484848484849;0.9848484848484849;0.8552631578947368;0.8552631578947368;66;66;65;86;86;20;66;0
all;global;True;1;2;324;311;0.7325581395348837;0.9402985074626866;0.9402985074626866;0.823529411764706;0.823529411764706;67;67;63;86;86;19;67;0
all;incremental;True;1;14;324;292;0.6823529411764706;0.9206349206349206;0.9206349206349206;0.7837837837837838;0.7837837837837838;63;63;58;85;85;22;63;0
all;global;True;1;3;324;311;0.7012987012987013;0.8852459016393442;0.8852459016393442;0.7826086956521738;0.7826086956521738;61;61;54;77;77;16;61;0
all;incremental;True;1;15;324;292;0.7432432432432432;0.873015873015873;0.873015873015873;0.8029197080291971;0.8029197080291971;63;63;55;74;74;11;63;0
all;global;True;1;4;324;311;0.7333333333333333;0.9821428571428571;0.9821428571428571;0.8396946564885496;0.8396946564885496;56;56;55;75;75;19;56;0
all;incremental;True;1;16;324;292;0.6794871794871795;0.9298245614035088;0.9298245614035088;0.7851851851851852;0.7851851851851852;57;57;53;78;78;21;57;0
all;global;True;1;5;324;311;0.7444444444444445;0.9054054054054054;0.9054054054054054;0.8170731707317074;0.8170731707317074;74;74;67;90;90;16;74;0
all;incremental;True;1;17;324;292;0.7191011235955056;0.8421052631578947;0.8421052631578947;0.7757575757575758;0.7757575757575758;76;76;64;89;89;13;76;0
all;global;True;1;6;324;311;0.776595744680851;0.9358974358974359;0.9358974358974359;0.8488372093023256;0.8488372093023256;78;78;73;94;94;16;78;0
all;incremental;True;1;18;324;292;0.7634408602150538;0.9594594594594594;0.9594594594594594;0.8502994011976047;0.8502994011976047;74;74;71;93;93;19;74;0
all;global;True;1;7;324;311;0.7628865979381443;0.925;0.925;0.8361581920903955;0.8361581920903955;80;80;74;97;97;17;80;0
all;incremental;True;1;19;324;292;0.7472527472527473;0.9577464788732394;0.9577464788732394;0.839506172839506;0.839506172839506;71;71;68;91;91;20;71;0
all;global;True;1;8;324;311;0.6823529411764706;0.9508196721311475;0.9508196721311475;0.7945205479452054;0.7945205479452054;61;61;58;85;85;24;61;0
all;incremental;True;1;20;324;292;0.75;0.9230769230769231;0.9230769230769231;0.8275862068965517;0.8275862068965517;65;65;60;80;80;15;65;0
all;incremental;True;1;21;324;292;0.6582278481012658;0.9454545454545454;0.9454545454545454;0.7761194029850746;0.7761194029850746;55;55;52;79;79;24;55;0
all;global;True;1;9;324;311;0.6710526315789473;0.9444444444444444;0.9444444444444444;0.7846153846153845;0.7846153846153845;54;54;51;76;76;22;54;0
all;incremental;True;1;22;324;292;0.686046511627907;0.8676470588235294;0.8676470588235294;0.7662337662337664;0.7662337662337664;68;68;59;86;86;18;68;0
all;global;True;1;10;324;311;0.7272727272727273;0.8888888888888888;0.8888888888888888;0.7999999999999999;0.7999999999999999;63;63;56;77;77;14;63;0
all;incremental;True;1;23;324;292;0.6829268292682927;0.9032258064516129;0.9032258064516129;0.7777777777777778;0.7777777777777778;62;62;56;82;82;20;62;0
all;global;True;1;11;324;311;0.7362637362637363;0.9178082191780822;0.9178082191780822;0.8170731707317073;0.8170731707317073;73;73;67;91;91;18;73;0
all;incremental;True;1;24;324;292;0.7402597402597403;0.890625;0.890625;0.8085106382978724;0.8085106382978724;64;64;57;77;77;13;64;0
all;global;True;1;12;324;311;0.7466666666666667;0.9180327868852459;0.9180327868852459;0.823529411764706;0.823529411764706;61;61;56;75;75;14;61;0
all;incremental;True;1;25;324;292;0.7228915662650602;0.9090909090909091;0.9090909090909091;0.8053691275167785;0.8053691275167785;66;66;60;83;83;17;66;0
all;global;True;1;13;324;311;0.7558139534883721;0.9848484848484849;0.9848484848484849;0.8552631578947368;0.8552631578947368;66;66;65;86;86;20;66;0
all;incremental;True;1;26;324;292;0.6666666666666666;0.8484848484848485;0.8484848484848485;0.7466666666666666;0.7466666666666666;66;66;56;84;84;18;66;0
all;global;True;1;14;324;311;0.6666666666666666;0.9206349206349206;0.9206349206349206;0.7733333333333333;0.7733333333333333;63;63;58;87;87;24;63;0
