batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12
1;3.165269136428833;2.6536004543304443;0.06670945137739182;0.26543936133384705;0.22372643649578094;0.45361632108688354;0.026595018804073334;0.0841989666223526;0.6532486081123352;2.994855077954999e-41;1.614885687828064;1.1004916429519653;1.157591700553894
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12
1;3.693509101867676;2.9147913455963135;0.18124449253082275;0.3729437291622162;0.31537947058677673;0.3121154308319092;0.18851694464683533;0.20632997155189514;0.31891313195228577;2.994855077954999e-41;0.8901955485343933;0.5566584467887878;0.7914986610412598
2;4.248936176300049;3.289599895477295;0.06364413350820541;0.14880965650081635;0.11587846279144287;0.4925186336040497;0.09546662867069244;0.09426988661289215;0.2540118396282196;2.994855077954999e-41;1.180305004119873;0.8558375239372253;0.9677518606185913
2;4.49658727645874;3.3900489807128906;0.12114057689905167;0.18341153860092163;0.1804009974002838;0.32140395045280457;0.12741705775260925;0.11958221346139908;0.2410745769739151;2.994855077954999e-41;0.6095935702323914;0.4486742615699768;0.6306173205375671
3;4.327735424041748;3.3702681064605713;0.04970049858093262;0.12429121136665344;0.10104067623615265;0.4328322112560272;0.07126282155513763;0.047141484916210175;0.23596960306167603;2.994855077954999e-41;0.8774736523628235;0.9020511507987976;0.7439795136451721
3;4.529390811920166;3.4272549152374268;0.08039573580026627;0.14241257309913635;0.12141164392232895;0.27032509446144104;0.08646516501903534;0.07523336261510849;0.17755837738513947;2.994855077954999e-41;0.4695332944393158;0.4189952313899994;0.4986463487148285
4;4.404731750488281;3.308687925338745;0.058838777244091034;0.11779198050498962;0.09631629288196564;0.30227845907211304;0.0790465772151947;0.047699227929115295;0.21417690813541412;2.994855077954999e-41;0.7819642424583435;0.8326078653335571;0.7161423563957214
4;4.537900447845459;3.3768303394317627;0.09687978774309158;0.1387382298707962;0.12397873401641846;0.21678198873996735;0.09278234839439392;0.07688296586275101;0.18435519933700562;2.994855077954999e-41;0.44956815242767334;0.4216284453868866;0.4879498779773712
5;4.451754570007324;3.4064724445343018;0.09183681756258011;0.11545195430517197;0.10971186310052872;0.2870432138442993;0.09349596500396729;0.11279793083667755;0.24173785746097565;2.994855077954999e-41;0.7471619844436646;0.7654291391372681;0.6145429015159607
5;4.547779560089111;3.44925856590271;0.10918029397726059;0.12669184803962708;0.1243470311164856;0.2365478277206421;0.10147623717784882;0.12400439381599426;0.2152743637561798;2.994855077954999e-41;0.4827726185321808;0.4326939284801483;0.47967785596847534
6;4.490130424499512;3.4247167110443115;0.07700105011463165;0.09732925146818161;0.0979662761092186;0.28412455320358276;0.08661442250013351;0.09201853722333908;0.23893427848815918;2.994855077954999e-41;0.7738590836524963;0.7561346292495728;0.6515088081359863
6;4.540584564208984;3.4663283824920654;0.08971323817968369;0.1086190938949585;0.11161165684461594;0.2428906410932541;0.09826138615608215;0.10062285512685776;0.19525638222694397;2.994855077954999e-41;0.4937918186187744;0.4790749251842499;0.5073831677436829
7;4.506992816925049;3.4615235328674316;0.07016781717538834;0.0843803733587265;0.08905311673879623;0.27846643328666687;0.0784032791852951;0.10827939957380295;0.2489503026008606;2.994855077954999e-41;0.7126911282539368;0.7551010847091675;0.6397110223770142
7;4.522497653961182;3.489680051803589;0.08009006828069687;0.10585878789424896;0.11725236475467682;0.22121116518974304;0.09075044095516205;0.11108175665140152;0.18993474543094635;2.994855077954999e-41;0.458949476480484;0.508529007434845;0.5299854278564453
8;4.507835865020752;3.4511499404907227;0.08104770630598068;0.1246134415268898;0.10462379455566406;0.28797078132629395;0.08061818778514862;0.0971890315413475;0.2558433413505554;2.994855077954999e-41;0.6842131018638611;0.7140443325042725;0.6228799819946289
8;4.515770435333252;3.483126163482666;0.09566155076026917;0.1294412612915039;0.12227313220500946;0.22973082959651947;0.08477355539798737;0.10604839026927948;0.20579208433628082;2.994855077954999e-41;0.4766835868358612;0.5097850561141968;0.5252909660339355
9;4.4817376136779785;3.457043170928955;0.08857053518295288;0.12305079400539398;0.12338216602802277;0.27609309554100037;0.09220467507839203;0.12501020729541779;0.23975913226604462;2.994855077954999e-41;0.6978781223297119;0.720680296421051;0.6429402232170105
9;4.514209270477295;3.489229917526245;0.09996578842401505;0.13015279173851013;0.13720671832561493;0.22865663468837738;0.09761827439069748;0.1211041510105133;0.19689808785915375;2.994855077954999e-41;0.4954496920108795;0.5066663026809692;0.5460278987884521
10;4.480307102203369;3.4485466480255127;0.08649613708257675;0.12554804980754852;0.13579688966274261;0.3274523913860321;0.08558396995067596;0.1160678043961525;0.2644488513469696;2.994855077954999e-41;0.7653276920318604;0.7359482645988464;0.6138834953308105
10;4.519482135772705;3.472782850265503;0.0941433385014534;0.13228118419647217;0.14541572332382202;0.28968003392219543;0.09281647205352783;0.11579813063144684;0.23726651072502136;2.994855077954999e-41;0.570609986782074;0.5618520379066467;0.5334665179252625
11;4.490811824798584;3.4420957565307617;0.09276453405618668;0.1575552374124527;0.15273398160934448;0.3148304522037506;0.0933568924665451;0.10714498907327652;0.24827337265014648;2.994855077954999e-41;0.7230648994445801;0.7332656383514404;0.6085032224655151
11;4.522909164428711;3.4501633644104004;0.09580519795417786;0.1646997034549713;0.1676250547170639;0.2701426148414612;0.09850618243217468;0.10776972025632858;0.2189500480890274;2.994855077954999e-41;0.5451980829238892;0.5413569808006287;0.5545255541801453
12;4.489165782928467;3.4121618270874023;0.07873858511447906;0.14426979422569275;0.1484568566083908;0.31832897663116455;0.07715263217687607;0.10414610803127289;0.26031601428985596;2.994855077954999e-41;0.7233905792236328;0.6716753840446472;0.6126427054405212
