infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;75;276;0.6666666666666666;0.8333333333333334;0.8333333333333334;0.7407407407407408;0.7407407407407408;60;60;50;75;75;15;60;0
dk;incremental;True;1;2;67;276;0.7611940298507462;0.8793103448275862;0.8793103448275862;0.8160000000000001;0.8160000000000001;58;58;51;67;67;9;58;0
dk;incremental;True;1;3;52;276;0.8269230769230769;0.8775510204081632;0.8775510204081632;0.8514851485148514;0.8514851485148514;49;49;43;52;52;3;49;0
dk;incremental;True;1;4;57;276;0.9473684210526315;0.9473684210526315;0.9473684210526315;0.9473684210526315;0.9473684210526315;57;57;54;57;57;0;57;0
dk;incremental;True;1;5;67;276;0.8656716417910447;0.8923076923076924;0.8923076923076924;0.8787878787878788;0.8787878787878788;65;65;58;67;67;2;65;0
dk;incremental;True;1;6;74;276;0.9459459459459459;0.9459459459459459;0.9459459459459459;0.9459459459459459;0.9459459459459459;74;74;70;74;74;0;74;0
dk;incremental;True;1;7;56;276;0.9285714285714286;0.9454545454545454;0.9454545454545454;0.9369369369369368;0.9369369369369368;55;55;52;56;56;1;55;0
dk;incremental;True;1;8;53;276;0.9056603773584906;0.9230769230769231;0.9230769230769231;0.9142857142857143;0.9142857142857143;52;52;48;53;53;1;52;0
dk;incremental;True;1;9;59;276;0.847457627118644;0.8771929824561403;0.8771929824561403;0.8620689655172413;0.8620689655172413;57;57;50;59;59;2;57;0
dk;incremental;True;1;10;60;276;0.8;0.8888888888888888;0.8888888888888888;0.8421052631578948;0.8421052631578948;54;54;48;60;60;6;54;0
dk;incremental;True;1;11;53;276;0.9056603773584906;0.9056603773584906;0.9056603773584906;0.9056603773584906;0.9056603773584906;53;53;48;53;53;0;53;0
dk;incremental;True;1;12;67;276;0.7611940298507462;0.7727272727272727;0.7727272727272727;0.7669172932330827;0.7669172932330827;66;66;51;67;67;1;66;0
dk;incremental;True;1;13;64;276;0.9375;0.9523809523809523;0.9523809523809523;0.9448818897637795;0.9448818897637795;63;63;60;64;64;1;63;0
dk;incremental;True;1;14;61;276;0.819672131147541;0.819672131147541;0.819672131147541;0.819672131147541;0.819672131147541;61;61;50;61;61;0;61;0
dk;incremental;True;1;15;57;276;0.8947368421052632;0.8947368421052632;0.8947368421052632;0.8947368421052632;0.8947368421052632;57;57;51;57;57;0;57;0
dk;incremental;True;1;16;73;276;0.6986301369863014;0.7285714285714285;0.7285714285714285;0.7132867132867133;0.7132867132867133;70;70;51;73;73;3;70;0
dk;incremental;True;1;17;64;276;0.875;0.8888888888888888;0.8888888888888888;0.8818897637795274;0.8818897637795274;63;63;56;64;64;1;63;0
dk;incremental;True;1;18;68;276;0.9558823529411765;0.9558823529411765;0.9558823529411765;0.9558823529411765;0.9558823529411765;68;68;65;68;68;0;68;0
dk;incremental;True;1;19;75;276;0.9333333333333333;0.9459459459459459;0.9459459459459459;0.9395973154362416;0.9395973154362416;74;74;70;75;75;1;74;0
dk;incremental;True;1;20;71;276;0.8732394366197183;0.8857142857142857;0.8857142857142857;0.8794326241134751;0.8794326241134751;70;70;62;71;71;1;70;0
dk;incremental;True;1;21;64;276;0.859375;0.873015873015873;0.873015873015873;0.8661417322834646;0.8661417322834646;63;63;55;64;64;1;63;0
dk;incremental;True;1;22;66;276;0.8787878787878788;0.8923076923076924;0.8923076923076924;0.8854961832061069;0.8854961832061069;65;65;58;66;66;1;65;0
dk;incremental;True;1;23;73;276;0.8904109589041096;0.8904109589041096;0.8904109589041096;0.8904109589041096;0.8904109589041096;73;73;65;73;73;0;73;0
dk;incremental;True;1;24;75;276;0.8933333333333333;0.9054054054054054;0.9054054054054054;0.8993288590604026;0.8993288590604026;74;74;67;75;75;1;74;0
dk;incremental;True;1;25;52;276;0.8653846153846154;0.8653846153846154;0.8653846153846154;0.8653846153846154;0.8653846153846154;52;52;45;52;52;0;52;0
dk;incremental;True;1;26;63;276;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;0.9523809523809523;63;63;60;63;63;0;63;0
dk;incremental;True;1;27;70;276;0.8857142857142857;0.8857142857142857;0.8857142857142857;0.8857142857142857;0.8857142857142857;70;70;62;70;70;0;70;0
dk;incremental;True;1;28;78;276;0.9230769230769231;0.9230769230769231;0.9230769230769231;0.9230769230769231;0.9230769230769231;78;78;72;78;78;0;78;0
dk;incremental;True;1;29;65;276;0.9076923076923077;0.9076923076923077;0.9076923076923077;0.9076923076923076;0.9076923076923076;65;65;59;65;65;0;65;0
dk;incremental;True;1;30;70;276;0.9285714285714286;0.9285714285714286;0.9285714285714286;0.9285714285714286;0.9285714285714286;70;70;65;70;70;0;70;0
dk;incremental;True;1;31;71;276;0.9154929577464789;0.9154929577464789;0.9154929577464789;0.9154929577464789;0.9154929577464789;71;71;65;71;71;0;71;0
dk;incremental;True;1;32;68;276;0.8529411764705882;0.8529411764705882;0.8529411764705882;0.8529411764705882;0.8529411764705882;68;68;58;68;68;0;68;0
dk;incremental;True;1;33;57;276;0.8421052631578947;0.8727272727272727;0.8727272727272727;0.8571428571428571;0.8571428571428571;55;55;48;57;57;2;55;0
dk;incremental;True;1;34;68;276;0.8529411764705882;0.8656716417910447;0.8656716417910447;0.8592592592592593;0.8592592592592593;67;67;58;68;68;1;67;0
dk;incremental;True;1;35;73;276;0.9452054794520548;0.9583333333333334;0.9583333333333334;0.9517241379310345;0.9517241379310345;72;72;69;73;73;1;72;0
dk;incremental;True;1;36;62;276;0.9032258064516129;0.9180327868852459;0.9180327868852459;0.9105691056910569;0.9105691056910569;61;61;56;62;62;1;61;0
dk;incremental;True;1;37;64;276;0.90625;0.90625;0.90625;0.90625;0.90625;64;64;58;64;64;0;64;0
dk;incremental;True;1;38;53;276;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.9433962264150944;0.9433962264150944;53;53;50;53;53;0;53;0
dk;incremental;True;1;39;60;276;0.8833333333333333;0.8833333333333333;0.8833333333333333;0.8833333333333333;0.8833333333333333;60;60;53;60;60;0;60;0
dk;incremental;True;1;40;73;276;0.8356164383561644;0.8356164383561644;0.8356164383561644;0.8356164383561644;0.8356164383561644;73;73;61;73;73;0;73;0
dk;incremental;True;1;41;67;276;0.8805970149253731;0.8939393939393939;0.8939393939393939;0.887218045112782;0.887218045112782;66;66;59;67;67;1;66;0
dk;incremental;True;1;42;85;276;0.8470588235294118;0.8571428571428571;0.8571428571428571;0.8520710059171598;0.8520710059171598;84;84;72;85;85;1;84;0
dk;incremental;True;1;43;70;276;0.8714285714285714;0.8714285714285714;0.8714285714285714;0.8714285714285714;0.8714285714285714;70;70;61;70;70;0;70;0
dk;incremental;True;1;44;68;276;0.8529411764705882;0.8656716417910447;0.8656716417910447;0.8592592592592593;0.8592592592592593;67;67;58;68;68;1;67;0
dk;incremental;True;1;45;57;276;0.8771929824561403;0.8771929824561403;0.8771929824561403;0.8771929824561403;0.8771929824561403;57;57;50;57;57;0;57;0
dk;incremental;True;1;46;68;276;0.9117647058823529;0.9117647058823529;0.9117647058823529;0.9117647058823528;0.9117647058823528;68;68;62;68;68;0;68;0
dk;incremental;True;1;47;74;276;0.8243243243243243;0.8243243243243243;0.8243243243243243;0.8243243243243243;0.8243243243243243;74;74;61;74;74;0;74;0
dk;incremental;True;1;48;72;276;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;72;72;64;72;72;0;72;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;global;True;1;1;75;308;0.9066666666666666;0.9066666666666666;0.9066666666666666;0.9066666666666666;0.9066666666666666;75;75;68;75;75;0;75;0
dk;incremental;True;1;49;66;276;0.8939393939393939;0.8939393939393939;0.8939393939393939;0.8939393939393939;0.8939393939393939;66;66;59;66;66;0;66;0
dk;global;True;1;2;67;308;0.9104477611940298;0.9242424242424242;0.9242424242424242;0.9172932330827067;0.9172932330827067;66;66;61;67;67;1;66;0
dk;incremental;True;1;50;58;276;0.8448275862068966;0.8448275862068966;0.8448275862068966;0.8448275862068967;0.8448275862068967;58;58;49;58;58;0;58;0
dk;global;True;1;3;52;308;0.8846153846153846;0.8846153846153846;0.8846153846153846;0.8846153846153846;0.8846153846153846;52;52;46;52;52;0;52;0
dk;incremental;True;1;51;60;276;0.8833333333333333;0.8833333333333333;0.8833333333333333;0.8833333333333333;0.8833333333333333;60;60;53;60;60;0;60;0
dk;global;True;1;4;57;308;0.9473684210526315;0.9473684210526315;0.9473684210526315;0.9473684210526315;0.9473684210526315;57;57;54;57;57;0;57;0
dk;incremental;True;1;52;67;276;0.9552238805970149;0.9552238805970149;0.9552238805970149;0.9552238805970149;0.9552238805970149;67;67;64;67;67;0;67;0
dk;global;True;1;5;67;308;0.8955223880597015;0.8955223880597015;0.8955223880597015;0.8955223880597015;0.8955223880597015;67;67;60;67;67;0;67;0
