infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;65;280;0.3384615384615385;0.36065573770491804;0.36065573770491804;0.3492063492063492;0.3492063492063492;61;61;22;65;65;4;61;0
dk;incremental;True;1;2;55;280;0.2727272727272727;0.28846153846153844;0.28846153846153844;0.2803738317757009;0.2803738317757009;52;52;15;55;55;3;52;0
dk;incremental;True;1;3;54;280;0.5;0.5094339622641509;0.5094339622641509;0.5046728971962616;0.5046728971962616;53;53;27;54;54;1;53;0
dk;incremental;True;1;4;65;280;0.27692307692307694;0.28125;0.28125;0.27906976744186046;0.27906976744186046;64;64;18;65;65;1;64;0
dk;incremental;True;1;5;80;280;0.4;0.41025641025641024;0.41025641025641024;0.4050632911392405;0.4050632911392405;78;78;32;80;80;2;78;0
dk;incremental;True;1;6;66;280;0.4696969696969697;0.4696969696969697;0.4696969696969697;0.4696969696969697;0.4696969696969697;66;66;31;66;66;0;66;0
dk;incremental;True;1;7;61;280;0.4918032786885246;0.5;0.5;0.49586776859504134;0.49586776859504134;60;60;30;61;61;1;60;0
dk;incremental;True;1;8;75;280;0.3333333333333333;0.33783783783783783;0.33783783783783783;0.3355704697986577;0.3355704697986577;74;74;25;75;75;1;74;0
dk;incremental;True;1;9;64;280;0.421875;0.421875;0.421875;0.421875;0.421875;64;64;27;64;64;0;64;0
dk;incremental;True;1;10;72;280;0.4305555555555556;0.4305555555555556;0.4305555555555556;0.4305555555555556;0.4305555555555556;72;72;31;72;72;0;72;0
dk;incremental;True;1;11;66;280;0.2878787878787879;0.2878787878787879;0.2878787878787879;0.2878787878787879;0.2878787878787879;66;66;19;66;66;0;66;0
dk;incremental;True;1;12;62;280;0.5645161290322581;0.5833333333333334;0.5833333333333334;0.5737704918032787;0.5737704918032787;60;60;35;62;62;2;60;0
dk;incremental;True;1;13;72;280;0.4861111111111111;0.4861111111111111;0.4861111111111111;0.4861111111111111;0.4861111111111111;72;72;35;72;72;0;72;0
dk;incremental;True;1;14;68;280;0.36764705882352944;0.36764705882352944;0.36764705882352944;0.3676470588235295;0.3676470588235295;68;68;25;68;68;0;68;0
dk;incremental;True;1;15;60;280;0.36666666666666664;0.36666666666666664;0.36666666666666664;0.36666666666666664;0.36666666666666664;60;60;22;60;60;0;60;0
dk;incremental;True;1;16;64;280;0.5;0.5;0.5;0.5;0.5;64;64;32;64;64;0;64;0
dk;incremental;True;1;17;73;280;0.5205479452054794;0.5205479452054794;0.5205479452054794;0.5205479452054794;0.5205479452054794;73;73;38;73;73;0;73;0
dk;incremental;True;1;18;63;280;0.47619047619047616;0.47619047619047616;0.47619047619047616;0.47619047619047616;0.47619047619047616;63;63;30;63;63;0;63;0
dk;incremental;True;1;19;74;280;0.5135135135135135;0.5205479452054794;0.5205479452054794;0.5170068027210885;0.5170068027210885;73;73;38;74;74;1;73;0
dk;incremental;True;1;20;61;280;0.3770491803278688;0.3770491803278688;0.3770491803278688;0.3770491803278688;0.3770491803278688;61;61;23;61;61;0;61;0
dk;incremental;True;1;21;59;280;0.4406779661016949;0.4406779661016949;0.4406779661016949;0.4406779661016949;0.4406779661016949;59;59;26;59;59;0;59;0
dk;incremental;True;1;22;57;280;0.5263157894736842;0.5263157894736842;0.5263157894736842;0.5263157894736842;0.5263157894736842;57;57;30;57;57;0;57;0
dk;incremental;True;1;23;81;280;0.5432098765432098;0.55;0.55;0.546583850931677;0.546583850931677;80;80;44;81;81;1;80;0
dk;incremental;True;1;24;67;280;0.4925373134328358;0.4925373134328358;0.4925373134328358;0.4925373134328358;0.4925373134328358;67;67;33;67;67;0;67;0
dk;incremental;True;1;25;66;280;0.4696969696969697;0.4696969696969697;0.4696969696969697;0.4696969696969697;0.4696969696969697;66;66;31;66;66;0;66;0
dk;incremental;True;1;26;80;280;0.4875;0.4875;0.4875;0.4875;0.4875;80;80;39;80;80;0;80;0
dk;incremental;True;1;27;69;280;0.42028985507246375;0.42028985507246375;0.42028985507246375;0.42028985507246375;0.42028985507246375;69;69;29;69;69;0;69;0
dk;incremental;True;1;28;57;280;0.49122807017543857;0.49122807017543857;0.49122807017543857;0.49122807017543857;0.49122807017543857;57;57;28;57;57;0;57;0
dk;incremental;True;1;29;69;280;0.5797101449275363;0.5797101449275363;0.5797101449275363;0.5797101449275363;0.5797101449275363;69;69;40;69;69;0;69;0
dk;incremental;True;1;30;66;280;0.48484848484848486;0.48484848484848486;0.48484848484848486;0.48484848484848486;0.48484848484848486;66;66;32;66;66;0;66;0
dk;incremental;True;1;31;62;280;0.2903225806451613;0.2903225806451613;0.2903225806451613;0.2903225806451613;0.2903225806451613;62;62;18;62;62;0;62;0
dk;incremental;True;1;32;58;280;0.603448275862069;0.603448275862069;0.603448275862069;0.603448275862069;0.603448275862069;58;58;35;58;58;0;58;0
dk;incremental;True;1;33;73;280;0.589041095890411;0.589041095890411;0.589041095890411;0.589041095890411;0.589041095890411;73;73;43;73;73;0;73;0
dk;incremental;True;1;34;70;280;0.37142857142857144;0.37142857142857144;0.37142857142857144;0.37142857142857144;0.37142857142857144;70;70;26;70;70;0;70;0
dk;incremental;True;1;35;64;280;0.5625;0.5625;0.5625;0.5625;0.5625;64;64;36;64;64;0;64;0
dk;incremental;True;1;36;78;280;0.5384615384615384;0.5384615384615384;0.5384615384615384;0.5384615384615384;0.5384615384615384;78;78;42;78;78;0;78;0
dk;incremental;True;1;37;60;280;0.4166666666666667;0.4166666666666667;0.4166666666666667;0.4166666666666667;0.4166666666666667;60;60;25;60;60;0;60;0
dk;incremental;True;1;38;70;280;0.44285714285714284;0.44285714285714284;0.44285714285714284;0.44285714285714284;0.44285714285714284;70;70;31;70;70;0;70;0
dk;incremental;True;1;39;60;280;0.48333333333333334;0.48333333333333334;0.48333333333333334;0.48333333333333334;0.48333333333333334;60;60;29;60;60;0;60;0
dk;incremental;True;1;40;58;280;0.41379310344827586;0.41379310344827586;0.41379310344827586;0.41379310344827586;0.41379310344827586;58;58;24;58;58;0;58;0
dk;incremental;True;1;41;67;280;0.3582089552238806;0.3582089552238806;0.3582089552238806;0.35820895522388063;0.35820895522388063;67;67;24;67;67;0;67;0
dk;incremental;True;1;42;51;280;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;51;51;17;51;51;0;51;0
dk;incremental;True;1;43;57;280;0.631578947368421;0.631578947368421;0.631578947368421;0.631578947368421;0.631578947368421;57;57;36;57;57;0;57;0
dk;incremental;True;1;44;67;280;0.3880597014925373;0.3880597014925373;0.3880597014925373;0.3880597014925373;0.3880597014925373;67;67;26;67;67;0;67;0
dk;incremental;True;1;45;80;280;0.425;0.425;0.425;0.425;0.425;80;80;34;80;80;0;80;0
dk;incremental;True;1;46;62;280;0.5;0.5;0.5;0.5;0.5;62;62;31;62;62;0;62;0
dk;incremental;True;1;47;67;280;0.5223880597014925;0.5223880597014925;0.5223880597014925;0.5223880597014925;0.5223880597014925;67;67;35;67;67;0;67;0
dk;incremental;True;1;48;73;280;0.3424657534246575;0.3424657534246575;0.3424657534246575;0.3424657534246575;0.3424657534246575;73;73;25;73;73;0;73;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;global;True;1;1;65;273;0.4307692307692308;0.4307692307692308;0.4307692307692308;0.43076923076923074;0.43076923076923074;65;65;28;65;65;0;65;0
dk;incremental;True;1;49;73;280;0.3424657534246575;0.3424657534246575;0.3424657534246575;0.3424657534246575;0.3424657534246575;73;73;25;73;73;0;73;0
dk;global;True;1;2;55;273;0.4;0.4;0.4;0.4000000000000001;0.4000000000000001;55;55;22;55;55;0;55;0
dk;incremental;True;1;50;72;280;0.5;0.5;0.5;0.5;0.5;72;72;36;72;72;0;72;0
dk;global;True;1;3;54;273;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5555555555555556;54;54;30;54;54;0;54;0
dk;incremental;True;1;51;62;280;0.5645161290322581;0.5645161290322581;0.5645161290322581;0.5645161290322581;0.5645161290322581;62;62;35;62;62;0;62;0
dk;global;True;1;4;65;273;0.2923076923076923;0.2923076923076923;0.2923076923076923;0.2923076923076923;0.2923076923076923;65;65;19;65;65;0;65;0
dk;incremental;True;1;52;62;280;0.45161290322580644;0.45161290322580644;0.45161290322580644;0.45161290322580644;0.45161290322580644;62;62;28;62;62;0;62;0
dk;global;True;1;5;80;273;0.3875;0.3875;0.3875;0.3875;0.3875;80;80;31;80;80;0;80;0
dk;incremental;True;1;53;61;280;0.4098360655737705;0.4098360655737705;0.4098360655737705;0.4098360655737705;0.4098360655737705;61;61;25;61;61;0;61;0
dk;global;True;1;6;66;273;0.5303030303030303;0.5303030303030303;0.5303030303030303;0.5303030303030303;0.5303030303030303;66;66;35;66;66;0;66;0
dk;incremental;True;1;54;76;280;0.47368421052631576;0.47368421052631576;0.47368421052631576;0.47368421052631576;0.47368421052631576;76;76;36;76;76;0;76;0
dk;global;True;1;7;61;273;0.4918032786885246;0.4918032786885246;0.4918032786885246;0.4918032786885246;0.4918032786885246;61;61;30;61;61;0;61;0
dk;incremental;True;1;55;75;280;0.4266666666666667;0.4266666666666667;0.4266666666666667;0.42666666666666675;0.42666666666666675;75;75;32;75;75;0;75;0
dk;global;True;1;8;75;273;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;75;75;25;75;75;0;75;0
dk;incremental;True;1;56;62;280;0.6774193548387096;0.6774193548387096;0.6774193548387096;0.6774193548387096;0.6774193548387096;62;62;42;62;62;0;62;0
dk;global;True;1;9;64;273;0.4375;0.4375;0.4375;0.4375;0.4375;64;64;28;64;64;0;64;0
dk;incremental;True;1;57;48;280;0.5416666666666666;0.5416666666666666;0.5416666666666666;0.5416666666666666;0.5416666666666666;48;48;26;48;48;0;48;0
dk;global;True;1;10;72;273;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.4444444444444444;72;72;32;72;72;0;72;0
dk;incremental;True;1;58;59;280;0.3559322033898305;0.3559322033898305;0.3559322033898305;0.3559322033898305;0.3559322033898305;59;59;21;59;59;0;59;0
dk;global;True;1;11;66;273;0.2878787878787879;0.2878787878787879;0.2878787878787879;0.2878787878787879;0.2878787878787879;66;66;19;66;66;0;66;0
dk;incremental;True;1;59;64;280;0.5;0.5;0.5;0.5;0.5;64;64;32;64;64;0;64;0
dk;global;True;1;12;62;273;0.5483870967741935;0.5573770491803278;0.5573770491803278;0.5528455284552846;0.5528455284552846;61;61;34;62;62;1;61;0
dk;incremental;True;1;60;58;280;0.46551724137931033;0.46551724137931033;0.46551724137931033;0.46551724137931033;0.46551724137931033;58;58;27;58;58;0;58;0
dk;incremental;True;1;61;68;280;0.3382352941176471;0.3382352941176471;0.3382352941176471;0.3382352941176471;0.3382352941176471;68;68;23;68;68;0;68;0
dk;global;True;1;13;72;273;0.5277777777777778;0.5277777777777778;0.5277777777777778;0.5277777777777778;0.5277777777777778;72;72;38;72;72;0;72;0
