infer_mode;features;train_using_all_batches;batch;featurizer;attribute;feature;weight
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;ADDR_PCT_CD;0.0
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;BORO_NM;0.493
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;CRM_ATPT_CPTD_CD;-0.004
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;JURISDICTION_CODE;0.067
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;JURIS_DESC;0.054
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;KY_CD;0.065
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;LAW_CAT_CD;0.008
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;LOC_OF_OCCUR_DESC;-0.006
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;OFNS_DESC;0.05
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;PATROL_BORO;1.036
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;PD_CD;0.25
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;PD_DESC;0.246
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;PREM_TYP_DESC;0.221
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;X_COORD_CD;3.491
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;Y_COORD_CD;3.453
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;Latitude;3.588
dk;incremental;False;1;OccurAttrFeaturizer;ADDR_PCT_CD;Longitude;3.604
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;ADDR_PCT_CD;1.617
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;BORO_NM;0.0
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;CRM_ATPT_CPTD_CD;0.065
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;JURISDICTION_CODE;0.074
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;JURIS_DESC;0.083
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;KY_CD;0.117
dk;incremental;False;1;OccurAttrFeaturizer;BORO_NM;LAW_CAT_CD;0.075
