infer_mode;features;train_using_all_batches;batch;featurizer;attribute;feature;weight
dk;incremental;False;1;OccurAttrFeaturizer;birthplace;name;4.059
dk;incremental;False;1;OccurAttrFeaturizer;birthplace;surname;3.636
dk;incremental;False;1;OccurAttrFeaturizer;birthplace;birthyear;1.422
dk;incremental;False;1;OccurAttrFeaturizer;birthplace;birthplace;-0.0
dk;incremental;False;1;OccurAttrFeaturizer;birthplace;position;0.103
dk;incremental;False;1;OccurAttrFeaturizer;birthplace;team;0.695
dk;incremental;False;1;OccurAttrFeaturizer;birthplace;city;0.278
dk;incremental;False;1;OccurAttrFeaturizer;birthplace;stadium;0.435
dk;incremental;False;1;OccurAttrFeaturizer;birthplace;season;0.143
dk;incremental;False;1;OccurAttrFeaturizer;birthplace;manager;0.857
dk;incremental;False;1;OccurAttrFeaturizer;birthyear;name;3.499
dk;incremental;False;1;OccurAttrFeaturizer;birthyear;surname;2.124
dk;incremental;False;1;OccurAttrFeaturizer;birthyear;birthyear;-0.0
dk;incremental;False;1;OccurAttrFeaturizer;birthyear;birthplace;1.885
dk;incremental;False;1;OccurAttrFeaturizer;birthyear;position;0.064
dk;incremental;False;1;OccurAttrFeaturizer;birthyear;team;0.325
dk;incremental;False;1;OccurAttrFeaturizer;birthyear;city;0.186
dk;incremental;False;1;OccurAttrFeaturizer;birthyear;stadium;0.239
dk;incremental;False;1;OccurAttrFeaturizer;birthyear;season;0.075
dk;incremental;False;1;OccurAttrFeaturizer;birthyear;manager;0.354
dk;incremental;False;1;OccurAttrFeaturizer;city;name;2.328
dk;incremental;False;1;OccurAttrFeaturizer;city;surname;2.183
dk;incremental;False;1;OccurAttrFeaturizer;city;birthyear;0.389
dk;incremental;False;1;OccurAttrFeaturizer;city;birthplace;1.552
dk;incremental;False;1;OccurAttrFeaturizer;city;position;0.266
dk;incremental;False;1;OccurAttrFeaturizer;city;team;2.156
dk;incremental;False;1;OccurAttrFeaturizer;city;city;0.0
dk;incremental;False;1;OccurAttrFeaturizer;city;stadium;2.372
dk;incremental;False;1;OccurAttrFeaturizer;city;season;0.68
dk;incremental;False;1;OccurAttrFeaturizer;city;manager;1.462
dk;incremental;False;1;OccurAttrFeaturizer;manager;name;2.987
dk;incremental;False;1;OccurAttrFeaturizer;manager;surname;2.573
dk;incremental;False;1;OccurAttrFeaturizer;manager;birthyear;0.487
dk;incremental;False;1;OccurAttrFeaturizer;manager;birthplace;1.939
dk;incremental;False;1;OccurAttrFeaturizer;manager;position;0.179
dk;incremental;False;1;OccurAttrFeaturizer;manager;team;3.722
dk;incremental;False;1;OccurAttrFeaturizer;manager;city;1.711
dk;incremental;False;1;OccurAttrFeaturizer;manager;stadium;1.891
dk;incremental;False;1;OccurAttrFeaturizer;manager;season;1.035
