batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;3.5236189365386963;2.1756937503814697;-1.8791412406595797e-41;1.8344122171401978;0.048861563205718994;0.3013462722301483;0.1594042032957077;0.21876658499240875;0.045327603816986084;0.3498120903968811
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;3.446300506591797;2.1978325843811035;-1.8791412406595797e-41;1.8329575061798096;0.049774471670389175;0.3497665524482727;0.17616701126098633;0.2575417757034302;0.07644515484571457;0.4035070538520813
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;3.446300506591797;2.1978325843811035;-1.8791412406595797e-41;1.8329575061798096;0.049774471670389175;0.3497665524482727;0.17616701126098633;0.2575417757034302;0.07644515484571457;0.4035070538520813
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;3.5236189365386963;2.1756937503814697;-1.8791412406595797e-41;1.8344122171401978;0.048861563205718994;0.3013462722301483;0.1594042032957077;0.21876658499240875;0.045327603816986084;0.3498120903968811
2;3.4575889110565186;2.2115442752838135;-1.8791412406595797e-41;1.812362790107727;0.05089608579874039;0.2908807694911957;0.174825981259346;0.22130557894706726;0.0483371838927269;0.3412916958332062
2;3.450251579284668;2.2063663005828857;-1.8791412406595797e-41;1.7914081811904907;0.04833027720451355;0.3028813600540161;0.18175245821475983;0.22760771214962006;0.0809192806482315;0.35220959782600403
3;3.5309393405914307;2.1749355792999268;-1.8791412406595797e-41;1.8295162916183472;0.04434611648321152;0.30705884099006653;0.18235738575458527;0.25070276856422424;0.06418423354625702;0.3588505983352661
3;3.5108413696289062;2.1818370819091797;-1.8791412406595797e-41;1.8273289203643799;0.04338179901242256;0.3192881941795349;0.19078882038593292;0.25871145725250244;0.09613000601530075;0.3752903640270233
4;3.5198442935943604;2.149563789367676;-1.8791412406595797e-41;1.8664981126785278;0.047007616609334946;0.3334822952747345;0.18495748937129974;0.25100839138031006;0.06260287761688232;0.355309396982193
4;3.510815382003784;2.1522932052612305;-1.8791412406595797e-41;1.86123526096344;0.042010124772787094;0.34118494391441345;0.19129014015197754;0.25864318013191223;0.07828862965106964;0.3690755069255829
5;3.4943668842315674;2.178443431854248;-1.8791412406595797e-41;1.8701550960540771;0.053184159100055695;0.3172241449356079;0.16424687206745148;0.2434370070695877;0.06883138418197632;0.3527788519859314
5;3.4782638549804688;2.1862854957580566;-1.8791412406595797e-41;1.855736494064331;0.05027709901332855;0.3217467665672302;0.16991429030895233;0.24770598113536835;0.0896114930510521;0.35899192094802856
6;3.470430612564087;2.1740500926971436;-1.8791412406595797e-41;1.8510202169418335;0.05721431225538254;0.33451274037361145;0.19265983998775482;0.2637259066104889;0.07137197256088257;0.3269785940647125
6;3.4641170501708984;2.18634033203125;-1.8791412406595797e-41;1.8361843824386597;0.05398339033126831;0.33350670337677;0.19017134606838226;0.2640802264213562;0.08363649249076843;0.3262651562690735
7;3.508840560913086;2.1761066913604736;-1.8791412406595797e-41;1.8430123329162598;0.056170735508203506;0.3055763840675354;0.17088741064071655;0.21861425042152405;0.0660112202167511;0.36393535137176514
7;3.4989945888519287;2.185561180114746;-1.8791412406595797e-41;1.8332788944244385;0.052717674523591995;0.31100454926490784;0.17493847012519836;0.22451883554458618;0.07855589687824249;0.3684684634208679
8;3.502901077270508;2.1850130558013916;-1.8791412406595797e-41;1.8367931842803955;0.03442321717739105;0.30268198251724243;0.18370766937732697;0.23087352514266968;0.05751238763332367;0.3282979130744934
8;3.5099306106567383;2.1752920150756836;-1.8791412406595797e-41;1.8542171716690063;0.03645767271518707;0.3023126423358917;0.18103452026844025;0.2297751009464264;0.04706571251153946;0.32721441984176636
