infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;global;True;1;1;67;1933;0.8214285714285714;0.34328358208955223;0.34328358208955223;0.4842105263157894;0.4842105263157894;67;67;23;28;28;0;28;0
dk;global;True;1;2;67;1933;0.8333333333333334;0.29850746268656714;0.29850746268656714;0.4395604395604395;0.4395604395604395;67;67;20;24;24;0;24;0
dk;global;True;1;3;66;1933;0.7777777777777778;0.42424242424242425;0.42424242424242425;0.5490196078431373;0.5490196078431373;66;66;28;36;36;0;36;0
dk;global;True;1;4;62;1933;0.8076923076923077;0.3387096774193548;0.3387096774193548;0.4772727272727273;0.4772727272727273;62;62;21;26;26;0;26;0
dk;global;True;1;5;63;1933;0.8571428571428571;0.47619047619047616;0.47619047619047616;0.6122448979591837;0.6122448979591837;63;63;30;35;35;0;35;0
dk;global;True;1;6;57;1933;0.84;0.3684210526315789;0.3684210526315789;0.5121951219512195;0.5121951219512195;57;57;21;25;25;0;25;0
dk;global;True;1;7;62;1933;0.8148148148148148;0.3548387096774194;0.3548387096774194;0.4943820224719101;0.4943820224719101;62;62;22;27;27;0;27;0
dk;global;True;1;8;73;1933;0.8620689655172413;0.3424657534246575;0.3424657534246575;0.49019607843137253;0.49019607843137253;73;73;25;29;29;0;29;0
dk;global;True;1;9;67;1933;0.8571428571428571;0.3582089552238806;0.3582089552238806;0.5052631578947367;0.5052631578947367;67;67;24;28;28;0;28;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;67;1940;1.0;0.5074626865671642;0.5074626865671642;0.6732673267326732;0.6732673267326732;67;67;34;34;34;0;34;0
dk;global;True;1;10;64;1933;0.9615384615384616;0.390625;0.390625;0.5555555555555556;0.5555555555555556;64;64;25;26;26;0;26;0
dk;incremental;True;1;2;67;1940;0.8666666666666667;0.3880597014925373;0.3880597014925373;0.5360824742268041;0.5360824742268041;67;67;26;30;30;0;30;0
dk;global;True;1;11;78;1933;0.725;0.3717948717948718;0.3717948717948718;0.49152542372881347;0.49152542372881347;78;78;29;40;40;0;40;0
dk;incremental;True;1;3;66;1940;0.8095238095238095;0.5151515151515151;0.5151515151515151;0.6296296296296297;0.6296296296296297;66;66;34;42;42;0;42;0
dk;global;True;1;12;74;1933;0.8275862068965517;0.32432432432432434;0.32432432432432434;0.46601941747572806;0.46601941747572806;74;74;24;29;29;0;29;0
dk;incremental;True;1;4;62;1940;0.8333333333333334;0.4032258064516129;0.4032258064516129;0.5434782608695652;0.5434782608695652;62;62;25;30;30;0;30;0
dk;global;True;1;13;63;1933;0.8333333333333334;0.3968253968253968;0.3968253968253968;0.5376344086021505;0.5376344086021505;63;63;25;30;30;0;30;0
dk;incremental;True;1;5;63;1940;0.8837209302325582;0.6031746031746031;0.6031746031746031;0.7169811320754716;0.7169811320754716;63;63;38;43;43;0;43;0
dk;global;True;1;14;85;1933;0.8666666666666667;0.4588235294117647;0.4588235294117647;0.6;0.6;85;85;39;45;45;0;45;0
dk;incremental;True;1;6;57;1940;0.875;0.49122807017543857;0.49122807017543857;0.6292134831460674;0.6292134831460674;57;57;28;32;32;0;32;0
dk;incremental;True;1;7;62;1940;0.8529411764705882;0.46774193548387094;0.46774193548387094;0.6041666666666666;0.6041666666666666;62;62;29;34;34;0;34;0
dk;global;True;1;15;67;1933;0.9354838709677419;0.43283582089552236;0.43283582089552236;0.5918367346938774;0.5918367346938774;67;67;29;31;31;0;31;0
dk;incremental;True;1;8;73;1940;0.9024390243902439;0.5068493150684932;0.5068493150684932;0.6491228070175438;0.6491228070175438;73;73;37;41;41;0;41;0
dk;global;True;1;16;70;1933;0.8214285714285714;0.32857142857142857;0.32857142857142857;0.4693877551020408;0.4693877551020408;70;70;23;28;28;0;28;0
dk;incremental;True;1;9;67;1940;0.8857142857142857;0.4626865671641791;0.4626865671641791;0.6078431372549019;0.6078431372549019;67;67;31;35;35;0;35;0
dk;global;True;1;17;63;1933;0.9285714285714286;0.4126984126984127;0.4126984126984127;0.5714285714285714;0.5714285714285714;63;63;26;28;28;0;28;0
dk;incremental;True;1;10;64;1940;0.967741935483871;0.46875;0.46875;0.631578947368421;0.631578947368421;64;64;30;31;31;0;31;0
dk;global;True;1;18;85;1933;0.9459459459459459;0.4117647058823529;0.4117647058823529;0.5737704918032787;0.5737704918032787;85;85;35;37;37;0;37;0
