infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;global;True;1;1;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;2;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;3;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;4;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;5;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;6;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;7;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;8;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;9;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;10;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;2;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;11;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;3;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;12;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;4;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;13;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;5;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;14;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;6;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;7;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;15;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;8;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;16;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;9;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;17;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;10;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;18;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;19;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;11;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;20;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;12;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;21;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;13;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;22;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;14;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;23;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;15;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;24;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;16;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;25;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;17;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;26;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;18;0;2000;0;0;0;0;0;0;0;0;0;0;0;0;0
